Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Andaman and Nicobar Islands,14826,700,7,11950,2876,7391,4559,0,0,14826,,1,4663,6173,1111,11950
17-03-2021,Andaman and Nicobar Islands,15489,0,0,12509,2980,7719,4790,0,0,15489,,1,4682,6280,1544,12509
18-03-2021,Andaman and Nicobar Islands,16131,800,8,12948,3183,7962,4986,0,0,16131,,1,4717,6352,1876,12948
19-03-2021,Andaman and Nicobar Islands,16612,1000,10,13293,3319,8148,5145,0,0,16612,,1,4748,6478,2064,13293
20-03-2021,Andaman and Nicobar Islands,17451,1100,11,13852,3599,8440,5412,0,0,17451,,1,4806,6660,2383,13852
21-03-2021,Andaman and Nicobar Islands,17478,500,5,13868,3610,8449,5419,0,0,17478,,1,4809,6669,2387,13868
22-03-2021,Andaman and Nicobar Islands,18085,2000,20,14327,3758,8706,5621,0,0,18085,,1,4839,6756,2729,14327
23-03-2021,Andaman and Nicobar Islands,19121,2300,23,15017,4104,9055,5962,0,0,19121,,1,4915,7009,3090,15017
24-03-2021,Andaman and Nicobar Islands,19693,1400,14,15247,4446,9159,6088,0,0,19693,,1,4936,7062,3246,15247
25-03-2021,Andaman and Nicobar Islands,20318,2100,21,15652,4666,9355,6297,0,0,20318,,1,4966,7169,3515,15652
26-03-2021,Andaman and Nicobar Islands,20789,1700,17,15933,4856,9518,6415,0,0,20789,,1,5005,7252,3674,15933
27-03-2021,Andaman and Nicobar Islands,21356,1700,17,16292,5064,9709,6583,0,0,21356,,1,5036,7360,3894,16292
28-03-2021,Andaman and Nicobar Islands,21358,1950,14,16293,5065,9710,6583,0,0,21358,,1,5036,7361,3894,16293
29-03-2021,Andaman and Nicobar Islands,21357,1600,15,16292,5065,9709,6583,0,0,21357,,1,5036,7360,3894,16292
30-03-2021,Andaman and Nicobar Islands,21840,1600,16,16701,5139,9939,6762,0,0,21840,,1,5070,7465,4164,16701
31-03-2021,Andaman and Nicobar Islands,21938,1300,12,16798,5140,9989,6809,0,0,21938,,1,5076,7495,4225,16798
01-04-2021,Andaman and Nicobar Islands,22608,1700,17,17435,5173,10347,7088,0,0,22608,,1,5123,7806,4504,17435
02-04-2021,Andaman and Nicobar Islands,22738,1000,10,17559,5179,10407,7152,0,0,22738,,1,5131,7901,4525,17559
03-04-2021,Andaman and Nicobar Islands,23221,1200,11,17998,5223,10633,7365,0,0,23221,,1,5147,8153,4696,17998
04-04-2021,Andaman and Nicobar Islands,23901,1200,12,18677,5224,10996,7681,0,0,23901,,1,5165,8580,4930,18677
05-04-2021,Andaman and Nicobar Islands,24774,1800,18,19499,5275,11437,8062,0,0,24774,,1,5171,9040,5286,19499
06-04-2021,Andaman and Nicobar Islands,25766,2300,23,20445,5321,11897,8548,0,0,25766,,1,5179,9556,5708,20445
07-04-2021,Andaman and Nicobar Islands,27978,2400,23,22631,5347,12986,9645,0,0,27978,,1,5191,10861,6577,22631
08-04-2021,Andaman and Nicobar Islands,30766,2800,28,25363,5403,14405,10957,1,0,30766,,1,5196,12522,7643,25363
09-04-2021,Andaman and Nicobar Islands,33217,2800,28,27698,5519,15582,12115,1,0,33217,,1,5209,13951,8536,27698
10-04-2021,Andaman and Nicobar Islands,35433,3000,29,29863,5570,16690,13172,1,0,35433,,1,5221,15264,9376,29863
11-04-2021,Andaman and Nicobar Islands,37624,2800,28,32012,5612,17866,14145,1,0,37624,,1,5234,16701,10075,32012
12-04-2021,Andaman and Nicobar Islands,42285,3400,33,36572,5713,20175,16392,5,0,42285,,1,5259,19448,11863,36572
13-04-2021,Andaman and Nicobar Islands,48845,3400,32,43013,5832,23433,19575,5,0,48845,,1,5287,23593,14131,43013
14-04-2021,Andaman and Nicobar Islands,55595,3300,32,49654,5941,26959,22690,5,0,55595,,1,5307,28136,16209,49654
15-04-2021,Andaman and Nicobar Islands,60857,4000,35,54778,6079,29685,25088,5,0,60857,,1,5347,31563,17866,54778
16-04-2021,Andaman and Nicobar Islands,67662,4900,36,61339,6323,33196,28138,5,0,67662,,1,5382,36179,19776,61339
17-04-2021,Andaman and Nicobar Islands,74019,4300,40,67451,6568,36435,31010,6,0,74019,,1,5456,40346,21647,67451
18-04-2021,Andaman and Nicobar Islands,78153,4700,47,71275,6878,38500,32769,6,0,78153,,1,5515,43012,22746,71275
19-04-2021,Andaman and Nicobar Islands,83028,4750,46,75675,7353,40893,34776,6,0,83028,,1,5598,45987,24088,75675
20-04-2021,Andaman and Nicobar Islands,86910,4800,47,78973,7937,42718,36248,7,0,86910,,1,5687,48255,25029,78973
