Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Andhra Pradesh,1234075,331083,2204,976078,257997,501439,474547,92,145251,1088824,,246,449861,294123,231493,976078
17-03-2021,Andhra Pradesh,1380960,331021,2206,1112607,268353,574770,537734,103,170164,1210796,,249,456352,332896,322740,1112607
18-03-2021,Andhra Pradesh,1472043,335302,2210,1194255,277788,618525,575611,119,186695,1285348,,249,463443,359378,370810,1194255
19-03-2021,Andhra Pradesh,1569131,334210,2219,1280956,288175,664137,616691,128,202942,1366189,,252,471592,389071,419652,1280956
20-03-2021,Andhra Pradesh,1681001,335031,2219,1381802,299199,716836,664828,138,223400,1457601,,252,480556,426536,474050,1381802
21-03-2021,Andhra Pradesh,1689691,3050,23,1389085,300606,720620,668325,140,226239,1463452,,256,481919,429596,476906,1389085
22-03-2021,Andhra Pradesh,1803338,337475,2224,1494286,309052,775360,718779,147,244907,1558431,,257,489025,467683,536895,1494286
23-03-2021,Andhra Pradesh,1939162,335500,2213,1617797,321365,839203,778435,159,270231,1668931,,258,499489,515889,601710,1617797
24-03-2021,Andhra Pradesh,2062333,336601,2227,1729748,332585,897812,831772,164,295142,1767191,,259,508180,560161,660685,1729748
25-03-2021,Andhra Pradesh,2211652,370097,2396,1864559,347093,967527,896857,175,325173,1886479,,262,519359,614856,729605,1864559
26-03-2021,Andhra Pradesh,2320613,343411,2250,1960827,359786,1018958,941678,191,349550,1971063,,265,527970,657492,774602,1960827
27-03-2021,Andhra Pradesh,2451110,345300,2266,2078246,372864,1079183,998859,204,377544,2073566,,268,538183,709905,829386,2078246
28-03-2021,Andhra Pradesh,2461015,70050,490,2086565,374450,1083308,1003053,204,378976,2082039,,270,538599,713244,833949,2086565
29-03-2021,Andhra Pradesh,2527121,269220,1745,2149525,377596,1115491,1033824,210,397004,2130117,,273,542208,741726,864814,2149525
30-03-2021,Andhra Pradesh,2621769,370220,2333,2234331,387438,1159964,1074147,220,419605,2202164,,280,549548,778264,905732,2234331
31-03-2021,Andhra Pradesh,2725169,378570,2437,2328018,397151,1206900,1120885,233,448242,2276927,,285,555848,819554,951824,2328018
01-04-2021,Andhra Pradesh,2825721,422202,2550,2421043,404678,1253157,1167646,240,481315,2344406,,286,560696,869086,990468,2421043
02-04-2021,Andhra Pradesh,2898547,261339,1564,2487480,411067,1286771,1200459,250,505786,2392761,,287,564687,906705,1015288,2487480
03-04-2021,Andhra Pradesh,2986837,364450,2282,2566814,420023,1325949,1240608,257,530038,2456799,,289,568441,952168,1045407,2566814
04-04-2021,Andhra Pradesh,3047568,139081,922,2621707,425861,1352129,1269318,260,546389,2501179,,290,571565,985014,1064326,2621707
05-04-2021,Andhra Pradesh,3142814,407860,2470,2706804,436010,1392670,1313862,272,567792,2575022,,290,571890,1035803,1098306,2706804
06-04-2021,Andhra Pradesh,3207917,372084,2274,2764322,443595,1419795,1344250,277,584072,2623845,,292,572202,1070999,1120315,2764322
07-04-2021,Andhra Pradesh,3352010,416382,2308,2890332,461678,1479792,1410248,292,619956,2732054,,293,572851,1148111,1168563,2890332
08-04-2021,Andhra Pradesh,3496367,425051,2309,3020007,476360,1540961,1478742,304,652047,2844320,,295,573402,1229768,1216028,3020007
09-04-2021,Andhra Pradesh,3571106,315795,2000,3081066,490040,1572089,1508662,315,665935,2905171,,296,574582,1267493,1238183,3081066
10-04-2021,Andhra Pradesh,3803237,415755,2308,3281351,521886,1670720,1610286,345,688816,3114421,,297,593448,1384680,1302409,3281351
11-04-2021,Andhra Pradesh,3892459,374351,1465,3362926,529533,1710124,1652442,360,716938,3175521,,297,598424,1434553,1329131,3362926
12-04-2021,Andhra Pradesh,3913669,314600,1984,3380423,533246,1719378,1660680,365,728993,3184676,,301,599103,1445857,1334645,3380423
13-04-2021,Andhra Pradesh,3918519,182750,1357,3383754,534765,1721192,1662197,365,729750,3188769,,301,599131,1447980,1335825,3383754
14-04-2021,Andhra Pradesh,4558756,1150180,3403,3973533,585223,2001124,1971969,440,925165,3633591,,304,621824,1796875,1553988,3973533
15-04-2021,Andhra Pradesh,4597442,260050,1633,4003901,593541,2016874,1986583,444,939760,3657682,,309,624216,1814781,1564058,4003901
16-04-2021,Andhra Pradesh,4603722,111751,811,4007469,596253,2018845,1988180,444,942285,3661437,,310,624347,1816919,1565357,4007469
17-04-2021,Andhra Pradesh,4607860,83450,597,4009940,597920,2020113,1989380,447,944014,3663846,,311,624345,1818406,1566340,4009940
18-04-2021,Andhra Pradesh,4613016,58100,396,4013140,599876,2021729,1990964,447,944220,3668796,,311,624431,1820448,1567412,4013140
