Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Arunachal Pradesh,63404,6000,49,49653,13751,30356,19297,0,0,63404,,252,24107,18029,7495,49653
17-03-2021,Arunachal Pradesh,63870,200,2,50078,13792,30619,19459,0,0,63870,,252,24124,18187,7745,50078
18-03-2021,Arunachal Pradesh,67242,9700,80,52511,14731,32146,20365,0,0,67242,,252,24783,19138,8568,52511
19-03-2021,Arunachal Pradesh,69729,7350,65,54173,15556,33068,21104,1,0,69729,,252,25101,19870,9180,54173
20-03-2021,Arunachal Pradesh,71994,6450,59,55919,16075,34163,21755,1,0,71994,,252,25572,20604,9720,55919
21-03-2021,Arunachal Pradesh,72176,0,0,56082,16094,34242,21839,1,0,72176,,252,25610,20696,9753,56082
22-03-2021,Arunachal Pradesh,75417,9700,82,58541,16876,35693,22847,1,0,75417,,252,26164,21787,10566,58541
23-03-2021,Arunachal Pradesh,77761,6550,54,60221,17540,36567,23652,2,0,77761,,252,26371,22695,11131,60221
24-03-2021,Arunachal Pradesh,77826,0,0,60269,17557,36551,23716,2,0,77826,,252,26335,22770,11140,60269
25-03-2021,Arunachal Pradesh,81124,9550,76,62868,18256,37964,24847,57,0,81124,,252,26767,24152,11926,62868
26-03-2021,Arunachal Pradesh,84011,8950,80,64976,19035,39191,25721,64,0,84011,,253,27232,25191,12530,64976
27-03-2021,Arunachal Pradesh,86161,6550,54,66980,19181,40208,26708,64,0,86161,,253,27509,26277,13171,66980
28-03-2021,Arunachal Pradesh,86274,6610,39,67041,19233,40246,26731,64,0,86274,,253,27531,26311,13176,67041
29-03-2021,Arunachal Pradesh,86714,5800,40,67464,19250,40500,26900,64,0,86714,,253,27682,26504,13255,67464
30-03-2021,Arunachal Pradesh,88645,6150,48,68649,19996,41103,27482,64,0,88645,,253,27853,27105,13668,68649
31-03-2021,Arunachal Pradesh,88794,6330,38,68791,20003,41146,27581,64,0,88794,,253,27865,27163,13740,68791
01-04-2021,Arunachal Pradesh,94722,17200,115,73266,21456,43520,29682,64,0,94722,,253,28406,30184,14652,73266
02-04-2021,Arunachal Pradesh,96882,4900,38,75047,21835,44401,30582,64,0,96882,,254,28627,31386,15010,75047
03-04-2021,Arunachal Pradesh,100734,8000,63,78114,22620,46016,32034,64,0,100734,,254,28790,33596,15705,78114
04-04-2021,Arunachal Pradesh,102608,8050,53,79783,22825,46817,32902,64,0,102608,,254,28782,34924,16054,79783
05-04-2021,Arunachal Pradesh,106688,12600,100,82757,23931,48378,34315,64,0,106688,,254,28819,37234,16680,82757
06-04-2021,Arunachal Pradesh,109164,9200,76,84581,24583,49360,35157,64,0,109164,,254,28844,38609,17104,84581
07-04-2021,Arunachal Pradesh,113682,10500,80,88000,25682,51221,36714,65,0,113682,,254,28912,41275,17789,88000
08-04-2021,Arunachal Pradesh,120397,14150,113,93106,27291,53829,39212,65,0,120397,,255,28875,45150,19056,93106
09-04-2021,Arunachal Pradesh,126463,13350,112,97939,28524,56374,41500,65,0,126463,,255,29042,48717,20155,97939
10-04-2021,Arunachal Pradesh,131302,11700,91,101756,29546,58554,43136,66,0,131302,,255,29339,51483,20909,101756
11-04-2021,Arunachal Pradesh,134976,12450,96,104975,30001,60353,44556,66,0,134976,,256,29505,53785,21660,104975
12-04-2021,Arunachal Pradesh,144137,18900,145,112551,31586,64383,48102,66,0,144137,,257,29981,58916,23627,112551
13-04-2021,Arunachal Pradesh,151848,17370,116,118825,33023,67852,50907,66,0,151848,,257,30571,63120,25107,118825
14-04-2021,Arunachal Pradesh,158012,15350,120,124312,33700,70635,53610,67,0,158012,,257,30627,67040,26618,124312
15-04-2021,Arunachal Pradesh,161160,12050,93,126950,34210,72011,54872,67,0,161160,,257,30794,68891,27238,126950
16-04-2021,Arunachal Pradesh,166632,13500,115,130812,35820,74054,56691,67,0,166632,,257,31055,71461,28269,130812
17-04-2021,Arunachal Pradesh,170756,12300,96,133947,36809,75726,58152,69,0,170756,,257,31333,73645,28942,133947
18-04-2021,Arunachal Pradesh,172614,8250,69,135342,37272,76453,58820,69,0,172614,,257,31383,74606,29326,135342
19-04-2021,Arunachal Pradesh,180287,12950,105,140794,39493,79492,61233,69,0,180287,,257,31861,78350,30556,140794
20-04-2021,Arunachal Pradesh,186002,10750,82,145098,40904,81737,63291,70,0,186002,,257,32250,81300,31521,145098
21-04-2021,Arunachal Pradesh,190466,13050,105,148680,41786,83736,64874,70,0,190466,,257,32733,83681,32239,148680
22-04-2021,Arunachal Pradesh,197443,15600,120,153966,43477,86634,67261,71,0,197443,,257,33490,87086,33362,153966
23-04-2021,Arunachal Pradesh,204501,14300,115,159167,45334,89577,69519,71,0,204501,,257,34388,90440,34311,159167
24-04-2021,Arunachal Pradesh,209180,11900,89,162665,46515,91561,71033,71,0,209180,,257,34916,92805,34916,162665
25-04-2021,Arunachal Pradesh,210335,6100,43,163535,46800,92072,71392,71,0,210335,,257,35052,93364,35091,163535
26-04-2021,Arunachal Pradesh,216717,12700,99,168174,48543,94562,73540,72,0,216717,,257,35799,96376,35971,168174
27-04-2021,Arunachal Pradesh,222085,12200,89,172178,49907,96792,75313,73,0,222085,,257,45873,89586,36691,172178
28-04-2021,Arunachal Pradesh,227853,12250,89,176888,50965,99408,77407,73,0,227853,,258,47308,92050,37501,176888
29-04-2021,Arunachal Pradesh,234677,16200,123,182123,52554,102277,79773,73,0,234677,,258,48629,94983,38484,182123
30-04-2021,Arunachal Pradesh,241423,14600,111,187103,54320,104933,82096,74,0,241423,,259,50120,97584,39370,187103
01-05-2021,Arunachal Pradesh,245524,12750,96,189910,55614,106512,83322,76,0,245524,,259,51060,98975,39846,189910
