Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Assam,597787,119280,803,505646,92141,314712,190874,60,92483,505304,,106,169986,265168,70424,505646
17-03-2021,Assam,614990,85540,567,520961,94029,324142,196758,61,94505,520485,,107,171718,270237,78938,520961
18-03-2021,Assam,635553,116020,816,537405,98148,334494,202850,61,96435,539118,,107,174612,276736,85987,537405
19-03-2021,Assam,655677,120427,827,552023,103654,343161,208801,61,98209,557468,,107,176803,282082,93066,552023
20-03-2021,Assam,674602,113750,795,565687,108915,351292,214334,61,100725,573877,,107,179043,287348,99223,565687
21-03-2021,Assam,678170,12540,105,568629,109541,353042,215526,61,101067,577103,,107,179432,288415,100709,568629
22-03-2021,Assam,707326,143030,1067,590616,116710,365726,224828,62,104269,603057,,107,182150,295929,112461,590616
23-03-2021,Assam,837889,303310,2113,711817,126072,426192,285543,82,113631,724258,,110,186885,332826,192024,711817
24-03-2021,Assam,875007,131570,1007,745478,129529,443576,301816,86,116964,758043,,110,188951,344382,212060,745478
25-03-2021,Assam,965022,268200,1993,828339,136683,484398,343842,99,124396,840626,,118,192489,374783,260981,828339
26-03-2021,Assam,1020002,215810,1720,878784,141218,509031,369648,105,131324,888678,,125,194790,395242,288661,878784
27-03-2021,Assam,1043681,100930,909,900947,142734,519862,380980,105,135354,908327,,125,195907,405286,299663,900947
28-03-2021,Assam,1044730,26480,182,901960,142770,520433,381422,105,135434,909296,,125,195978,405754,300137,901960
29-03-2021,Assam,1047861,104610,599,904676,143185,521782,382789,105,135630,912231,,126,196209,406725,301651,904676
30-03-2021,Assam,1080940,243250,1541,932808,148132,535587,397106,115,141286,939654,,131,197798,417721,317197,932808
31-03-2021,Assam,1098355,207075,1222,946438,151917,542369,403954,115,144878,953477,,133,198720,423174,324451,946438
01-04-2021,Assam,1127935,233815,1482,970643,157292,553813,416712,118,148645,979290,,133,199758,437710,333080,970643
02-04-2021,Assam,1167002,210220,1423,1002220,164782,568626,433473,121,153608,1013394,,136,200977,457482,343666,1002220
