Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Bihar,1521806,246050,1207,1197777,324029,566198,631396,183,65440,1456366,,123,336619,402578,457893,1197777
17-03-2021,Bihar,1633471,222900,1070,1299718,333753,624902,674639,177,72439,1561032,,125,339861,421360,537801,1299718
18-03-2021,Bihar,1709461,245950,1197,1364201,345260,659869,704150,182,74135,1635326,,128,343727,435055,584707,1364201
19-03-2021,Bihar,1781915,219450,1104,1427007,354908,693990,732832,185,77749,1704166,,132,347282,448601,630405,1427007
20-03-2021,Bihar,1868362,244230,1261,1502913,365449,734590,768144,179,81766,1786596,,141,351126,465236,685818,1502913
21-03-2021,Bihar,1893344,25100,158,1526471,366873,746582,779709,180,82392,1810952,,141,352088,469883,703764,1526471
22-03-2021,Bihar,1960951,259150,1367,1588734,372217,779567,808985,182,83030,1877921,,142,354396,481201,752393,1588734
23-03-2021,Bihar,2090147,309250,1692,1708266,381881,841340,866742,184,87057,2003090,,143,358917,503564,845017,1708266
24-03-2021,Bihar,2199108,330750,1797,1810293,388815,894173,915930,190,91237,2107871,,144,362540,522394,924583,1810293
25-03-2021,Bihar,2326623,345050,2002,1931442,395181,954918,976327,197,92898,2233725,,145,365874,545559,1019223,1931442
26-03-2021,Bihar,2440263,319450,2076,2039444,400819,1009347,1029889,208,95536,2344727,,145,368723,566393,1103528,2039444
27-03-2021,Bihar,2555647,309630,2019,2150425,405222,1065255,1084956,214,97860,2457787,,154,371142,588886,1189577,2150425
28-03-2021,Bihar,2584553,140400,950,2179032,405521,1079393,1099424,215,98243,2486310,,154,371545,595414,1211245,2179032
29-03-2021,Bihar,2587193,57950,276,2181647,405546,1080620,1100812,215,98253,2488940,,154,371559,596063,1213196,2181647
30-03-2021,Bihar,2632950,287050,1719,2225891,407059,1103249,1122425,217,99511,2533439,,156,372310,606035,1246710,2225891
31-03-2021,Bihar,2739610,354550,2093,2326918,412692,1155192,1171501,225,103764,2635846,,158,374331,629323,1322413,2326918
01-04-2021,Bihar,2851813,377050,2284,2433633,418180,1209360,1224039,234,109343,2742470,,159,376501,676552,1379721,2433633
02-04-2021,Bihar,3064854,354600,2122,2638486,426368,1311120,1327112,254,123987,2940867,,159,380026,776394,1481196,2638486
03-04-2021,Bihar,3195814,313140,2040,2763236,432578,1374291,1388678,267,137266,3058548,,159,382249,840257,1539850,2763236
