Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Chandigarh,49179,7000,49,42234,6945,27417,14817,0,0,49179,,48,13462,13318,15449,42234
17-03-2021,Chandigarh,57449,7300,49,50040,7409,31679,18360,1,0,57449,,49,13705,14342,21988,50040
18-03-2021,Chandigarh,59520,6800,47,51658,7862,32583,19074,1,0,59520,,50,13971,14648,23034,51658
19-03-2021,Chandigarh,61642,7100,50,53379,8263,33496,19882,1,0,61642,,54,14204,15017,24153,53379
20-03-2021,Chandigarh,63645,6700,46,54986,8659,34335,20650,1,0,63645,,55,14453,15378,25149,54986
21-03-2021,Chandigarh,63808,1700,11,55144,8664,34418,20725,1,0,63808,,55,14471,15420,25247,55144
22-03-2021,Chandigarh,65746,6900,48,56588,9158,35201,21386,1,0,65746,,56,14665,15739,26178,56588
23-03-2021,Chandigarh,67392,7200,50,57782,9610,35877,21904,1,0,67392,,59,14866,16046,26864,57782
24-03-2021,Chandigarh,68959,7100,50,58992,9967,36577,22414,1,0,68959,,60,15048,16286,27652,58992
25-03-2021,Chandigarh,70827,7400,52,60519,10308,37415,23103,1,0,70827,,60,15377,16608,28527,60519
26-03-2021,Chandigarh,72558,7100,50,61839,10719,38164,23674,1,0,72558,,60,15612,16929,29291,61839
27-03-2021,Chandigarh,74151,6700,46,63168,10983,38829,24338,1,0,74151,,61,15806,17222,30133,63168
28-03-2021,Chandigarh,74257,1700,9,63269,10988,38883,24385,1,0,74257,,61,15818,17257,30187,63269
29-03-2021,Chandigarh,74284,2400,11,63294,10990,38893,24400,1,0,74284,,61,15817,17266,30204,63294
30-03-2021,Chandigarh,76009,8300,51,64574,11435,39599,24974,1,0,76009,,61,15962,17528,31077,64574
31-03-2021,Chandigarh,77711,7200,49,65748,11963,40264,25483,1,0,77711,,62,16118,17720,31903,65748
01-04-2021,Chandigarh,81055,7450,52,68591,12464,41784,26806,1,0,81055,,62,16295,19741,32548,68591
02-04-2021,Chandigarh,84378,7300,50,71565,12813,43392,28172,1,0,84378,,62,16428,21779,33351,71565
03-04-2021,Chandigarh,87837,7100,50,74528,13309,45010,29517,1,0,87837,,63,16659,23828,34034,74528
04-04-2021,Chandigarh,90843,6550,44,77241,13602,46562,30678,1,0,90843,,64,16774,25763,34697,77241
05-04-2021,Chandigarh,94240,7450,53,80058,14182,48139,31918,1,0,94240,,65,16833,27664,35554,80058
06-04-2021,Chandigarh,96011,7650,55,81444,14567,48949,32494,1,0,96011,,65,16869,28578,35990,81444
07-04-2021,Chandigarh,101532,7650,54,85979,15553,51487,34490,2,0,101532,,68,17006,31697,37269,85979
08-04-2021,Chandigarh,105815,7650,55,89382,16433,53305,36075,2,0,105815,,70,17106,33961,38308,89382
09-04-2021,Chandigarh,110149,7650,55,92814,17335,55177,37635,2,0,110149,,72,17357,36239,39211,92814
