Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Dadra and Nagar Haveli and Daman and Diu,19497,4500,45,15828,3669,8135,7693,0,0,19497,,83,6074,4164,5579,15828
17-03-2021,Dadra and Nagar Haveli and Daman and Diu,21037,2600,26,17143,3894,8851,8292,0,0,21037,,83,6087,4499,6546,17143
18-03-2021,Dadra and Nagar Haveli and Daman and Diu,21695,3800,38,17573,4122,9063,8510,0,0,21695,,83,6122,4629,6811,17573
19-03-2021,Dadra and Nagar Haveli and Daman and Diu,22889,4900,49,18481,4408,9526,8955,0,0,22889,,83,6147,4877,7446,18481
20-03-2021,Dadra and Nagar Haveli and Daman and Diu,23782,1600,16,19170,4612,9898,9272,0,0,23782,,83,6338,5081,7740,19170
21-03-2021,Dadra and Nagar Haveli and Daman and Diu,23840,200,2,19218,4622,9921,9297,0,0,23840,,83,6359,5095,7753,19218
22-03-2021,Dadra and Nagar Haveli and Daman and Diu,24700,5300,53,19992,4708,10328,9664,0,0,24700,,83,6390,5332,8259,19992
23-03-2021,Dadra and Nagar Haveli and Daman and Diu,26241,2500,25,21322,4919,11008,10314,0,0,26241,,83,6457,5774,9080,21322
24-03-2021,Dadra and Nagar Haveli and Daman and Diu,26823,4200,42,21779,5044,11274,10505,0,0,26823,,83,6490,5955,9323,21779
25-03-2021,Dadra and Nagar Haveli and Daman and Diu,27819,4800,48,22593,5226,11715,10878,0,0,27819,,83,6523,6328,9731,22593
26-03-2021,Dadra and Nagar Haveli and Daman and Diu,28419,1800,18,23111,5308,12018,11093,0,0,28419,,83,6590,6610,9900,23111
27-03-2021,Dadra and Nagar Haveli and Daman and Diu,28447,4000,40,23138,5309,12031,11107,0,0,28447,,83,6590,6629,9908,23138
28-03-2021,Dadra and Nagar Haveli and Daman and Diu,28457,3600,33,23148,5309,12038,11110,0,0,28457,,83,6590,6638,9909,23148
29-03-2021,Dadra and Nagar Haveli and Daman and Diu,29349,5800,54,23794,5555,12315,11479,0,0,29349,,83,6684,6899,10200,23794
30-03-2021,Dadra and Nagar Haveli and Daman and Diu,30198,5100,49,24471,5727,12683,11788,0,0,30198,,83,6807,7177,10476,24471
31-03-2021,Dadra and Nagar Haveli and Daman and Diu,32990,6250,57,27071,5919,14326,12745,0,0,32990,,83,6937,9254,10869,27071
01-04-2021,Dadra and Nagar Haveli and Daman and Diu,37137,4450,39,30937,6200,16908,14029,0,0,37137,,84,7084,12431,11412,30937
02-04-2021,Dadra and Nagar Haveli and Daman and Diu,40942,6900,52,34424,6518,19261,15163,0,0,40942,,85,7222,15212,11980,34424
03-04-2021,Dadra and Nagar Haveli and Daman and Diu,44217,6850,62,37495,6722,21173,16322,0,0,44217,,85,7326,17733,12426,37495
04-04-2021,Dadra and Nagar Haveli and Daman and Diu,48053,7900,70,40921,7132,23368,17553,0,0,48053,,85,7334,20561,13016,40921
05-04-2021,Dadra and Nagar Haveli and Daman and Diu,50515,7300,69,43184,7331,24851,18333,0,0,50515,,85,7338,22470,13366,43184
06-04-2021,Dadra and Nagar Haveli and Daman and Diu,56029,6950,67,48313,7716,28194,20119,0,0,56029,,85,7342,26855,14106,48313
07-04-2021,Dadra and Nagar Haveli and Daman and Diu,60292,7750,70,52156,8136,30681,21475,0,0,60292,,85,7358,30038,14750,52156
08-04-2021,Dadra and Nagar Haveli and Daman and Diu,64160,6950,69,55718,8442,33023,22695,0,0,64160,,85,7409,32931,15368,55718
09-04-2021,Dadra and Nagar Haveli and Daman and Diu,67908,7100,71,59130,8778,34983,24146,1,0,67908,,85,7504,35676,15940,59130
10-04-2021,Dadra and Nagar Haveli and Daman and Diu,70523,7350,73,61498,9025,36272,25224,2,0,70523,,85,7516,37444,16528,61498
11-04-2021,Dadra and Nagar Haveli and Daman and Diu,74110,7600,76,64703,9407,38111,26590,2,0,74110,,85,7894,39742,17057,64703
