Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Delhi,682847,61450,520,539287,143560,370906,168264,117,137588,545259,,604,244554,211503,83130,539287
17-03-2021,Delhi,884805,47950,387,731870,152935,473623,258086,161,184514,700291,,616,246868,236904,247984,731870
18-03-2021,Delhi,925610,64550,550,758842,166768,488818,269860,164,195177,730433,,617,249686,242209,266829,758842
19-03-2021,Delhi,954512,48800,390,776830,177682,498736,277926,168,202405,752107,,619,251622,246205,278885,776830
20-03-2021,Delhi,1002671,64800,548,810104,192567,516701,293229,174,215262,787409,,622,255046,253617,301322,810104
21-03-2021,Delhi,1004072,900,8,811261,192811,517351,293736,174,215631,788441,,624,255275,254002,301865,811261
22-03-2021,Delhi,1046767,71300,591,839942,206825,533079,306685,178,227593,819174,,632,257457,259762,322600,839942
23-03-2021,Delhi,1090763,80200,669,871370,219393,550333,320853,184,240728,850035,,639,260931,267059,343248,871370
24-03-2021,Delhi,1115802,56425,429,889115,226687,560185,328745,185,247730,868072,,648,263219,270951,354812,889115
25-03-2021,Delhi,1158650,84625,700,923806,234844,579493,344123,190,261334,897316,,650,266322,278121,379227,923806
26-03-2021,Delhi,1180586,57955,433,941076,239510,589085,351798,193,267273,913313,,653,268796,281983,390159,941076
27-03-2021,Delhi,1222108,87250,721,977993,244115,608614,369184,195,280988,941120,,660,272127,290857,414867,977993
28-03-2021,Delhi,1222713,9400,91,978569,244144,608920,369454,195,281159,941554,,660,272177,291017,415233,978569
29-03-2021,Delhi,1222719,12400,112,978572,244147,608913,369464,195,281150,941569,,660,272170,291019,415241,978572
30-03-2021,Delhi,1265239,89375,727,1013442,251797,627800,385438,204,295739,969500,,661,274791,298838,439669,1013442
31-03-2021,Delhi,1294057,61050,445,1034327,259730,639330,394788,209,304874,989183,,663,277349,303641,453187,1034327
01-04-2021,Delhi,1355145,93500,745,1087850,267295,667341,420294,215,325561,1029584,,675,279422,336530,471743,1087850
02-04-2021,Delhi,1427069,84600,676,1152888,274181,702254,450407,227,351251,1075818,,685,282359,379009,491359,1152888
03-04-2021,Delhi,1493167,95600,743,1211419,281748,734068,477117,234,373679,1119488,,687,284791,417320,509140,1211419
04-04-2021,Delhi,1578252,92900,735,1290748,287504,777740,512765,243,404762,1173490,,696,286470,472313,531797,1290748
05-04-2021,Delhi,1649227,97350,787,1352825,296402,811003,541572,250,429497,1219730,,703,286882,512970,552804,1352825
06-04-2021,Delhi,1698781,101850,797,1396046,302735,833942,561844,260,447796,1250985,,707,287187,541742,566947,1396046
07-04-2021,Delhi,1784983,66300,480,1469113,315870,873038,595813,262,477505,1307478,,716,287834,590533,590572,1469113
08-04-2021,Delhi,1897519,102100,809,1565572,331947,923456,641838,278,515071,1382448,,724,288370,653853,623173,1565572
09-04-2021,Delhi,1956686,68250,483,1613146,343540,948404,664454,288,532226,1424460,,731,289149,686491,637324,1613146
10-04-2021,Delhi,2062691,105320,803,1705350,357341,995965,709088,297,570732,1491959,,740,290244,750137,664785,1705350
11-04-2021,Delhi,2145719,100310,785,1780609,365110,1037794,742505,310,602240,1543479,,751,290843,804360,685221,1780609
12-04-2021,Delhi,2235902,105250,835,1855493,380409,1079935,775235,323,635229,1600673,,758,292180,855483,707642,1855493
13-04-2021,Delhi,2304883,105650,835,1912002,392881,1115142,796535,325,661547,1643336,,762,293884,894496,723433,1912002
14-04-2021,Delhi,2376987,104650,827,1971274,405713,1149522,821419,333,688050,1688937,,766,295034,935490,740560,1971274
15-04-2021,Delhi,2454871,108050,836,2031982,422889,1185074,846567,341,716471,1738400,,773,297185,976688,757922,2031982
16-04-2021,Delhi,2504071,72850,516,2065695,438376,1205218,860130,347,730737,1773334,,774,299301,999917,766289,2065695
17-04-2021,Delhi,2572685,105020,803,2121099,451586,1239449,881283,367,756067,1816618,,775,301395,1039772,779738,2121099
18-04-2021,Delhi,2621277,98950,787,2162307,458970,1264802,897129,376,774240,1847037,,780,302210,1070170,789733,2162307
19-04-2021,Delhi,2682092,103300,827,2202752,479340,1289105,913261,386,795593,1886499,,788,304718,1096491,801347,2202752
20-04-2021,Delhi,2732507,103450,831,2238271,494236,1310586,927296,389,813979,1918528,,788,306651,1121279,810146,2238271
21-04-2021,Delhi,2787116,100950,802,2277803,509313,1332312,945097,394,832393,1954723,,789,307801,1149491,820315,2277803
22-04-2021,Delhi,2855657,104550,823,2325997,529660,1358333,967263,401,857044,1998613,,792,309990,1183104,832700,2325997
23-04-2021,Delhi,2891857,71000,529,2347381,544476,1370063,976915,403,866767,2025090,,793,311497,1197830,837853,2347381
24-04-2021,Delhi,2962231,99450,792,2395935,566296,1396008,999520,407,892412,2069819,,794,313572,1232683,849474,2395935
25-04-2021,Delhi,3003477,95000,757,2425352,578125,1411612,1013331,409,904993,2098484,,795,314730,1256034,854384,2425352
26-04-2021,Delhi,3061567,99400,805,2461970,599597,1431247,1030308,415,924779,2136788,,800,317012,1281151,863593,2461970
27-04-2021,Delhi,3114832,98800,799,2495676,619156,1449537,1045720,419,943088,2171744,,806,393341,1229853,872266,2495676
28-04-2021,Delhi,3147893,67550,501,2512508,635385,1458364,1053721,423,951007,2196886,,806,394993,1240384,876918,2512508
29-04-2021,Delhi,3224828,97850,796,2558135,666693,1482632,1075072,431,978857,2245971,,809,399636,1269711,888629,2558135
30-04-2021,Delhi,3271950,68640,507,2581651,690299,1495036,1086175,440,992050,2279900,,809,402529,1284424,894533,2581651
01-05-2021,Delhi,3323249,89110,685,2611942,711307,1511816,1099682,444,1014760,2308489,,809,408335,1302811,900631,2611942
02-05-2021,Delhi,3324902,15500,122,2613227,711675,1512591,1100192,444,1015048,2309854,,809,408706,1303758,900669,2613227
03-05-2021,Delhi,3415728,122850,900,2676373,739355,1551202,1124715,456,1054775,2360953,,810,450157,1319948,906172,2676373
04-05-2021,Delhi,3507635,121000,882,2742953,764682,1591565,1150913,475,1093302,2414333,,817,495662,1335733,911451,2742953
05-05-2021,Delhi,3576091,94420,599,2800013,776078,1626372,1173158,483,1117442,2458649,,831,545220,1341313,913373,2800013
06-05-2021,Delhi,3693814,126950,922,2883317,810497,1676526,1206289,502,1165057,2528757,,840,604542,1359039,919621,2883317
07-05-2021,Delhi,3774068,102390,665,2951479,822589,1717488,1233474,517,1193011,2581057,,855,664812,1365071,921479,2951479
