Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Goa,78377,17600,59,65739,12638,34486,31252,1,0,78377,,498,15629,16293,33809,65739
17-03-2021,Goa,85431,7700,51,72357,13074,38007,34349,1,0,85431,,498,15754,17396,39198,72357
18-03-2021,Goa,88064,7400,51,74794,13270,39245,35547,2,0,88064,,501,15841,17901,41043,74794
19-03-2021,Goa,91419,7200,49,77616,13803,40635,36979,2,0,91419,,501,16036,18683,42888,77616
20-03-2021,Goa,94735,6900,49,80447,14288,41956,38488,3,0,94735,,501,16187,19516,44735,80447
21-03-2021,Goa,94819,100,1,80522,14297,41993,38526,3,0,94819,,502,16193,19550,44770,80522
22-03-2021,Goa,98125,7400,52,83315,14810,43342,39970,3,0,98125,,502,16365,20211,46730,83315
23-03-2021,Goa,101464,7200,51,86286,15178,44796,41487,3,0,101464,,502,16517,20910,48850,86286
24-03-2021,Goa,104768,6900,49,88974,15794,46162,42809,3,0,104768,,502,16657,21643,50665,88974
25-03-2021,Goa,107821,7300,52,91525,16296,47481,44041,3,0,107821,,507,16818,22277,52421,91525
26-03-2021,Goa,111081,8300,56,94110,16971,48822,45285,3,0,111081,,508,17009,22932,54160,94110
27-03-2021,Goa,113726,6900,49,96611,17115,49949,46659,3,0,113726,,508,17173,23582,55847,96611
28-03-2021,Goa,113726,600,5,96611,17115,49948,46660,3,0,113726,,508,17173,23581,55848,96611
29-03-2021,Goa,114575,4200,39,97343,17232,50330,47010,3,0,114575,,508,17209,23775,56350,97343
30-03-2021,Goa,118688,9450,54,100317,18371,51791,48523,3,0,118688,,513,17310,24416,58582,100317
31-03-2021,Goa,121981,12100,69,102595,19386,52951,49640,4,0,121981,,515,17424,24906,60256,102595
01-04-2021,Goa,125601,9700,64,105426,20175,54497,50925,4,0,125601,,515,17529,26642,61246,105426
02-04-2021,Goa,129693,7500,51,108867,20826,56373,52490,4,0,129693,,515,17653,29060,62145,108867
03-04-2021,Goa,133134,7500,54,111519,21615,57777,53738,4,0,133134,,515,17813,30746,62951,111519
04-04-2021,Goa,135851,7300,47,113879,21972,59025,54850,4,0,135851,,516,17866,32439,63565,113879
05-04-2021,Goa,139746,8700,61,116633,23113,60453,56176,4,0,139746,,517,17871,34105,64648,116633
06-04-2021,Goa,142463,9700,70,118691,23772,61494,57193,4,0,142463,,518,17882,35354,65446,118691
07-04-2021,Goa,149580,10200,69,123996,25584,64278,59714,4,0,149580,,519,17899,38665,67422,123996
08-04-2021,Goa,155376,9400,64,128428,26948,66610,61814,4,0,155376,,520,17915,41483,69020,128428
09-04-2021,Goa,162057,8900,64,133268,28789,69290,63974,4,0,162057,,524,17943,44810,70505,133268
10-04-2021,Goa,171070,8600,57,140385,30685,72757,67624,4,0,171070,,524,17973,49667,72735,140385
11-04-2021,Goa,178329,9600,58,147178,31151,76153,71021,4,0,178329,,525,17993,53940,75235,147178
12-04-2021,Goa,188080,18000,65,154523,33557,79862,74654,7,0,188080,,526,18070,58577,77866,154523
13-04-2021,Goa,192563,8200,56,158206,34357,81735,76464,7,0,192563,,526,18091,60898,79207,158206
14-04-2021,Goa,203125,10500,61,167443,35682,86145,81290,8,0,203125,,526,18123,66473,82837,167443
15-04-2021,Goa,213122,10200,59,173909,39213,89205,84695,9,0,213122,,529,18157,70194,85547,173909
16-04-2021,Goa,224966,8900,59,182574,42392,93412,89150,12,0,224966,,534,18238,75283,89041,182574
17-04-2021,Goa,237156,8800,56,191878,45278,97780,94085,13,0,237156,,534,18297,81039,92530,191878
18-04-2021,Goa,244577,7700,52,198368,46209,100810,97544,14,0,244577,,536,18331,85044,94981,198368
19-04-2021,Goa,253784,8500,59,204861,48923,103836,101010,15,0,253784,,536,18394,88888,97566,204861
20-04-2021,Goa,264363,8500,61,212256,52107,107462,104778,16,0,264363,,536,18490,93292,100461,212256
21-04-2021,Goa,272843,9500,65,218280,54563,110516,107748,16,0,272843,,536,18573,97001,102692,218280
22-04-2021,Goa,281424,10100,66,224561,56863,113504,111041,16,0,281424,,538,18639,100851,105057,224561
23-04-2021,Goa,289688,9200,64,230437,59251,116263,114157,17,0,289688,,541,18836,104536,107051,230437
24-04-2021,Goa,299120,8200,59,237544,61576,119513,118013,18,0,299120,,541,18964,109294,109271,237544
25-04-2021,Goa,304009,4700,43,241453,62556,121382,120053,18,0,304009,,541,19013,111838,110586,241453
26-04-2021,Goa,313009,8100,58,248280,64729,124565,123697,18,0,313009,,542,19147,116061,113055,248280
27-04-2021,Goa,323213,9200,63,256196,67017,128306,127872,18,0,323213,,543,24498,115719,115962,256196
28-04-2021,Goa,331720,9920,68,262802,68918,131482,131302,18,0,331720,,543,24921,119670,118194,262802
29-04-2021,Goa,340659,8920,61,269749,70910,134717,135014,18,0,340659,,545,25352,123938,120451,269749
30-04-2021,Goa,349718,8820,65,277125,72593,138452,138655,18,0,349718,,546,25910,128663,122543,277125
01-05-2021,Goa,355269,7000,48,282005,73264,140915,141071,19,0,355269,,547,26125,132003,123868,282005
