Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Gujarat,2772614,429226,2997,2208185,564429,1176802,1031250,133,409421,2363193,,830,588839,572477,1044914,2208185
17-03-2021,Gujarat,2923717,146585,972,2349458,574259,1250281,1099019,158,413862,2509855,,834,592114,598883,1156489,2349458
18-03-2021,Gujarat,3112038,534218,3853,2521859,590179,1336946,1184732,181,426330,2685708,,836,599698,637757,1282421,2521859
19-03-2021,Gujarat,3309060,611443,4358,2705730,603330,1429011,1276525,194,439823,2869237,,841,606677,681121,1415928,2705730
20-03-2021,Gujarat,3546628,708147,5021,2933180,613448,1541678,1391288,214,460253,3086375,,844,614521,739293,1577346,2933180
21-03-2021,Gujarat,3756195,559156,4099,3140047,616148,1643518,1496292,237,489360,3266835,,844,617789,791019,1729205,3140047
22-03-2021,Gujarat,3931630,715281,5283,3308984,622646,1726847,1581878,259,513578,3418052,,848,623052,833937,1849951,3308984
23-03-2021,Gujarat,4201102,721968,5376,3571094,630008,1853941,1716869,284,562336,3638766,,849,629971,901751,2037305,3571094
24-03-2021,Gujarat,4381443,599444,4567,3746626,634817,1939996,1806318,312,597932,3783511,,851,635537,952908,2156103,3746626
25-03-2021,Gujarat,4618906,806230,5670,3979710,639196,2055993,1923375,342,632475,3986431,,857,644996,1026343,2306284,3979710
26-03-2021,Gujarat,4861329,822146,5731,4217590,643739,2175802,2041414,374,663383,4197946,,864,665458,1110770,2439247,4217590
27-03-2021,Gujarat,5116383,773331,5312,4469272,647111,2304300,2164568,404,670729,4445654,,868,688839,1207160,2571137,4469272
28-03-2021,Gujarat,5207119,572833,4007,4559341,647778,2352888,2206042,411,671258,4535861,,868,694774,1244234,2618189,4559341
29-03-2021,Gujarat,5225227,395284,2565,4576803,648424,2362943,2213448,412,671316,4553911,,869,696253,1254215,2624191,4576803
