Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Himachal Pradesh,273299,60690,453,203011,70288,102426,100574,11,0,273299,,504,56838,66517,79591,203011
17-03-2021,Himachal Pradesh,308812,27150,193,236523,72289,120682,115821,20,2,308810,,509,57386,68863,110204,236523
18-03-2021,Himachal Pradesh,337481,60800,515,262915,74566,134225,128667,23,2,337479,,515,57994,70304,134543,262915
19-03-2021,Himachal Pradesh,358451,42500,319,281109,77342,143557,137527,25,2,358449,,518,58328,71867,150840,281109
20-03-2021,Himachal Pradesh,369805,23000,181,290409,79396,148344,142039,26,2,369803,,521,58723,72717,158894,290409
21-03-2021,Himachal Pradesh,371574,11750,86,292027,79547,149138,142862,27,2,371572,,523,58771,72887,160294,292027
22-03-2021,Himachal Pradesh,381047,27350,210,300139,80908,153388,146723,28,2,381045,,524,59108,73564,167391,300139
23-03-2021,Himachal Pradesh,404158,57800,457,321471,82687,164076,157364,31,2,404156,,526,59836,75089,186465,321471
24-03-2021,Himachal Pradesh,416718,30750,236,333002,83716,170230,162739,33,2,416716,,529,60231,75946,196744,333002
25-03-2021,Himachal Pradesh,455004,81900,729,370260,84744,188658,181561,41,2,455002,,536,61031,78068,231074,370260
26-03-2021,Himachal Pradesh,476805,45900,347,390817,85988,199037,191736,44,2,476803,,538,61953,79607,249169,390817
27-03-2021,Himachal Pradesh,496972,43950,361,410497,86475,208804,201644,49,2,496970,,543,62521,80862,267020,410497
28-03-2021,Himachal Pradesh,498085,10450,88,411591,86494,209300,202242,49,2,498083,,543,62556,81252,267689,411591
29-03-2021,Himachal Pradesh,498916,14950,124,412400,86516,209674,202677,49,2,498914,,543,62580,81292,268434,412400
30-03-2021,Himachal Pradesh,527330,72261,573,439684,87646,223247,216384,53,2,527328,,547,63013,83305,293270,439684
31-03-2021,Himachal Pradesh,536465,38550,319,448077,88388,227646,220378,53,2,536463,,547,63295,84292,300393,448077
01-04-2021,Himachal Pradesh,574177,77820,700,484952,89225,244680,240210,62,2,574175,,549,63577,101879,319398,484952
02-04-2021,Himachal Pradesh,594644,28220,239,504793,89851,254201,250525,67,2,594642,,552,63886,113136,327672,504793
03-04-2021,Himachal Pradesh,611300,33900,272,520521,90779,262034,258417,70,2,611298,,554,64126,122874,333422,520521
04-04-2021,Himachal Pradesh,631189,26950,234,539485,91704,271327,268087,71,2,631187,,555,64308,135926,339151,539485
