Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Haryana,678896,149920,973,561120,117776,315003,246080,37,140404,538492,,694,159476,145562,254685,561120
17-03-2021,Haryana,748352,62490,393,627943,120409,350493,277402,48,151043,597309,,702,161565,156005,308907,627943
18-03-2021,Haryana,818792,157999,1063,694688,124104,383709,310919,60,163990,654802,,703,163885,167755,361577,694688
19-03-2021,Haryana,883097,139207,912,755578,127519,414270,341242,66,173487,709610,,709,166684,180019,407389,755578
20-03-2021,Haryana,908710,82094,552,779704,129006,426249,353388,67,176459,732251,,711,168081,186406,423728,779704
21-03-2021,Haryana,915108,25700,157,785932,129176,429425,356440,67,177459,737649,,713,168385,188953,427103,785932
22-03-2021,Haryana,1064213,284650,1777,930026,134187,498739,431210,77,191794,872419,,715,173273,218708,536548,930026
23-03-2021,Haryana,1152753,126200,796,1016305,136448,540039,476179,87,200452,952301,,723,176966,241978,595862,1016305
24-03-2021,Haryana,1172883,104550,536,1035137,137746,549677,485372,88,203252,969631,,734,178312,247592,607733,1035137
25-03-2021,Haryana,1227860,163274,1005,1087408,140452,575736,511578,94,209216,1018644,,742,181149,260013,644741,1087408
26-03-2021,Haryana,1279258,165020,1023,1136611,142647,599792,536720,99,214663,1064595,,750,183576,272402,679126,1136611
27-03-2021,Haryana,1302499,98400,570,1158970,143529,610768,548102,100,216683,1085816,,751,185032,279683,692748,1158970
28-03-2021,Haryana,1305966,27950,206,1162379,143587,612439,549840,100,217423,1088543,,751,185349,281128,694393,1162379
29-03-2021,Haryana,1306530,33270,238,1162932,143598,612702,550130,100,217795,1088735,,751,185388,281319,694716,1162932
30-03-2021,Haryana,1425730,213650,1534,1278501,147229,666279,612102,120,220955,1204775,,755,190530,316015,770434,1278501
31-03-2021,Haryana,1516855,176330,1218,1366981,149874,707269,659578,134,224287,1292568,,757,193960,347985,823511,1366981
01-04-2021,Haryana,1594582,199820,1451,1441284,153298,743873,697271,140,227583,1366999,,757,197331,387944,854478,1441284
02-04-2021,Haryana,1702590,149670,1148,1545216,157374,795798,749268,150,232473,1470117,,767,202522,446826,894333,1545216
03-04-2021,Haryana,1753953,113900,853,1594393,159560,821004,773229,160,234301,1519652,,770,205048,475857,911952,1594393
04-04-2021,Haryana,1800611,116450,899,1639535,161076,844132,795225,178,236106,1564505,,773,206653,503019,928327,1639535
05-04-2021,Haryana,1882164,213401,1594,1717234,164930,882871,834174,189,238299,1643865,,773,206883,548748,960066,1717234
06-04-2021,Haryana,1942196,163560,1228,1774869,167327,911424,863248,197,239555,1702641,,774,206963,583068,983301,1774869
07-04-2021,Haryana,2028171,136961,955,1855846,172325,952775,902869,202,241762,1786409,,778,207070,631376,1015859,1855846
08-04-2021,Haryana,2118410,189132,1381,1939723,178687,995409,944092,222,243696,1874714,,784,207191,682983,1048003,1939723
09-04-2021,Haryana,2212252,207931,1529,2024825,187427,1039028,985564,233,248469,1963783,,789,207880,735473,1079924,2024825
10-04-2021,Haryana,2283262,173950,1254,2088650,194612,1071694,1016710,246,253295,2029967,,789,208517,775338,1103243,2088650
11-04-2021,Haryana,2382114,319191,2183,2181488,200626,1117273,1063953,262,258387,2123727,,797,208792,832142,1139002,2181488
12-04-2021,Haryana,2525834,295422,2187,2307539,218295,1179606,1127642,291,270088,2255746,,800,210855,906639,1188491,2307539
13-04-2021,Haryana,2657270,261440,2041,2421185,236085,1237344,1183535,306,284223,2373047,,802,213098,973406,1233127,2421185
14-04-2021,Haryana,2804984,307328,2345,2544240,260744,1300023,1243893,324,305886,2499098,,805,215597,1046117,1280969,2544240
15-04-2021,Haryana,2873554,217708,1550,2596134,277420,1327245,1268557,332,315598,2557956,,806,217047,1075798,1301730,2596134
16-04-2021,Haryana,2957111,235504,1752,2657655,299456,1359818,1297497,340,326233,2630878,,808,218846,1111302,1325947,2657655
17-04-2021,Haryana,3022626,172100,1307,2706244,316382,1386238,1319663,343,333602,2689024,,808,220299,1139856,1344527,2706244
18-04-2021,Haryana,3065865,268400,1865,2740333,325532,1404779,1335205,349,339345,2726520,,809,220934,1160837,1357000,2740333
19-04-2021,Haryana,3162209,250560,1842,2804924,357285,1440213,1364349,362,354736,2807473,,810,223481,1197070,1382809,2804924
20-04-2021,Haryana,3241332,228150,1687,2858633,382699,1468968,1389297,368,370276,2871056,,812,225590,1227400,1404080,2858633
21-04-2021,Haryana,3287414,214974,1495,2890194,397220,1485750,1404071,373,380372,2907042,,812,226602,1245724,1416304,2890194
22-04-2021,Haryana,3344006,217940,1570,2928139,415867,1505643,1422112,384,393076,2950930,,812,228061,1267696,1430815,2928139
23-04-2021,Haryana,3429738,208280,1538,2983811,445927,1535024,1448398,389,406664,3023074,,816,230569,1300058,1451612,2983811
24-04-2021,Haryana,3502761,163528,1346,3032220,470541,1560587,1471238,395,416043,3086718,,820,232514,1329514,1468615,3032220
25-04-2021,Haryana,3539875,108570,958,3059704,480171,1574902,1484399,403,421983,3117892,,821,233325,1346507,1478295,3059704
26-04-2021,Haryana,3595069,258089,1968,3096107,498962,1594014,1501681,412,432816,3162253,,823,234658,1367670,1492202,3096107
27-04-2021,Haryana,3634905,202500,1575,3122680,512225,1608384,1513879,417,442538,3192367,,824,294732,1324686,1501682,3122680
28-04-2021,Haryana,3675837,137450,1172,3147907,527930,1621945,1525542,420,450010,3225827,,824,296731,1339894,1509703,3147907
29-04-2021,Haryana,3723444,177400,1336,3177552,545892,1637925,1539202,425,457255,3266189,,825,298462,1357485,1520092,3177552
30-04-2021,Haryana,3758377,173700,1371,3199035,559342,1649527,1549077,431,464918,3293459,,825,300154,1370412,1526951,3199035
01-05-2021,Haryana,3776747,125300,975,3211614,565133,1656445,1554738,431,469669,3307078,,825,301726,1377777,1530593,3211614
02-05-2021,Haryana,3796956,81250,585,3230331,566625,1667947,1561950,434,471634,3325322,,825,315465,1381663,1531711,3230331
03-05-2021,Haryana,3855063,172602,1263,3279593,575470,1699019,1580136,438,475976,3379087,,825,356869,1387041,1534194,3279593
04-05-2021,Haryana,3926299,152538,1085,3335067,591232,1733506,1601110,451,479717,3446582,,826,402220,1393814,1537539,3335067
05-05-2021,Haryana,3987098,109273,768,3374963,612135,1757310,1617197,456,483343,3503755,,828,427596,1403485,1542392,3374963
06-05-2021,Haryana,4094206,173759,1194,3447474,646732,1800382,1646623,469,486720,3607486,,828,475136,1420242,1550607,3447474
07-05-2021,Haryana,4204923,161601,1099,3518724,686199,1841638,1676608,478,491438,3713485,,829,513672,1441547,1562015,3518724
08-05-2021,Haryana,4288127,135577,990,3573590,714537,1873745,1699359,486,497059,3791068,,829,544456,1457507,1570136,3573590
09-05-2021,Haryana,4344758,105165,759,3612642,732116,1896228,1715919,495,499858,3844900,,829,570065,1466366,1574718,3612642
10-05-2021,Haryana,4475905,197469,1508,3692472,783433,1941942,1750014,516,505235,3970670,,829,613033,1489867,1587983,3692472
