Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Jammu and Kashmir,490249,116450,947,409038,81211,301373,107565,100,0,490249,,74,142009,153180,113742,409038
17-03-2021,Jammu and Kashmir,506212,11400,110,424693,81519,310019,114565,109,0,506212,,75,142100,155058,127427,424693
18-03-2021,Jammu and Kashmir,545897,123400,993,452341,93556,327169,125058,114,0,545897,,75,144967,161389,145873,452341
19-03-2021,Jammu and Kashmir,569002,107000,862,467694,101308,336355,131224,115,0,569002,,76,146349,164798,156433,467694
20-03-2021,Jammu and Kashmir,583776,83808,662,477578,106198,342569,134893,116,0,583776,,76,147435,167568,162459,477578
21-03-2021,Jammu and Kashmir,585549,7700,76,478715,106834,343371,135227,117,0,585549,,76,147674,167961,162964,478715
22-03-2021,Jammu and Kashmir,615587,124908,1010,499326,116261,355589,143620,117,0,615587,,76,149376,172985,176849,499326
23-03-2021,Jammu and Kashmir,643931,123900,1004,520247,123684,368041,152087,119,0,643931,,77,151178,179111,189842,520247
24-03-2021,Jammu and Kashmir,645295,10500,104,520936,124359,368480,152337,119,0,645295,,77,151165,179452,190203,520936
25-03-2021,Jammu and Kashmir,680969,127550,1041,549986,130983,385769,164095,122,0,680969,,77,152948,186981,209939,549986
26-03-2021,Jammu and Kashmir,708706,130750,1058,573587,135119,399481,173983,123,0,708706,,77,154462,193311,225694,573587
27-03-2021,Jammu and Kashmir,734150,128750,1032,595686,138464,412130,183431,125,0,734150,,79,156092,200697,238775,595686
28-03-2021,Jammu and Kashmir,735216,46650,317,596652,138564,412693,183834,125,0,735216,,80,156182,201018,239330,596652
29-03-2021,Jammu and Kashmir,760669,146430,1085,618375,142294,425394,192853,128,0,760669,,80,157457,208236,252555,618375
30-03-2021,Jammu and Kashmir,787931,131333,1065,641299,146632,438451,202718,130,0,787931,,80,158846,215579,266743,641299
31-03-2021,Jammu and Kashmir,789202,70800,469,642348,146854,439033,203185,130,0,789202,,80,158852,215961,267404,642348
01-04-2021,Jammu and Kashmir,820121,135450,1069,669358,150763,454336,214891,131,0,820121,,80,160350,229556,279320,669358
02-04-2021,Jammu and Kashmir,862951,133000,1067,707269,155682,475992,231140,137,0,862951,,80,162335,251379,293422,707269
03-04-2021,Jammu and Kashmir,896589,110000,936,737067,159522,493126,243797,144,0,896589,,81,164047,269553,303331,737067
04-04-2021,Jammu and Kashmir,926410,123700,994,764873,161537,508463,256262,148,0,926410,,82,164666,287727,312344,764873
05-04-2021,Jammu and Kashmir,965018,151100,1234,799804,165214,527366,272287,151,0,965018,,82,164709,309695,325263,799804
06-04-2021,Jammu and Kashmir,1000073,139050,1183,831857,168216,544586,287111,160,0,1000073,,82,164788,330057,336875,831857
07-04-2021,Jammu and Kashmir,1083663,147750,1244,909465,174198,587413,321876,176,0,1083663,,83,165039,380566,363723,909465
08-04-2021,Jammu and Kashmir,1177106,170203,1370,994678,182428,633548,360947,183,0,1177106,,84,165346,435553,393642,994678
09-04-2021,Jammu and Kashmir,1240399,171700,1417,1053587,186812,666037,387357,193,0,1240399,,84,165779,474769,412903,1053587
10-04-2021,Jammu and Kashmir,1286329,142250,1212,1095604,190725,688808,406597,199,0,1286329,,86,166058,502704,426706,1095604
11-04-2021,Jammu and Kashmir,1321714,169900,1423,1128724,192990,706302,422217,205,0,1321714,,87,166216,524640,437731,1128724
12-04-2021,Jammu and Kashmir,1390071,182102,1499,1190462,199609,740183,450063,216,0,1390071,,90,166743,564286,459298,1190462
13-04-2021,Jammu and Kashmir,1420580,144250,1256,1217666,202914,755761,461685,220,0,1420580,,90,166998,581627,468906,1217666
14-04-2021,Jammu and Kashmir,1452639,176050,1460,1245840,206799,771032,474584,224,0,1452639,,90,167205,600111,478389,1245840
15-04-2021,Jammu and Kashmir,1500140,179200,1470,1285404,214736,792215,492963,226,0,1500140,,90,167670,625171,492429,1285404
16-04-2021,Jammu and Kashmir,1544416,179408,1484,1322027,222389,812420,509377,230,0,1544416,,91,168336,648773,504782,1322027
17-04-2021,Jammu and Kashmir,1588988,157750,1381,1358605,230383,832897,525472,236,0,1588988,,91,169135,672125,517207,1358605
18-04-2021,Jammu and Kashmir,1622097,175508,1468,1386560,235537,848883,537439,238,0,1622097,,93,170199,689994,526229,1386560
19-04-2021,Jammu and Kashmir,1688073,181000,1509,1439317,248756,877926,561147,244,0,1688073,,93,171680,721821,545676,1439317
20-04-2021,Jammu and Kashmir,1752949,161950,1421,1492291,260658,906912,585130,249,0,1752949,,94,172336,754730,565086,1492291
21-04-2021,Jammu and Kashmir,1801163,175050,1484,1532708,268455,929452,602999,257,0,1801163,,96,173088,780836,578644,1532708
22-04-2021,Jammu and Kashmir,1856450,183350,1541,1576508,279942,953499,622746,263,0,1856450,,96,173994,809737,592625,1576508
23-04-2021,Jammu and Kashmir,1924526,185550,1562,1632265,292261,984732,647259,274,0,1924526,,98,175173,847320,609614,1632265
24-04-2021,Jammu and Kashmir,1996721,165150,1474,1691210,305511,1016079,674843,288,0,1996721,,98,176374,885221,629455,1691210
25-04-2021,Jammu and Kashmir,2043208,178650,1544,1731283,311925,1037167,693824,292,0,2043208,,98,176895,912202,642002,1731283
26-04-2021,Jammu and Kashmir,2125643,190108,1626,1798206,327437,1072720,725177,309,0,2125643,,98,178339,954978,664658,1798206
27-04-2021,Jammu and Kashmir,2186894,172050,1533,1848389,338505,1099445,748619,325,0,2186894,,99,241172,925842,681122,1848389
28-04-2021,Jammu and Kashmir,2256066,174150,1573,1904409,351657,1128488,775588,333,0,2256066,,99,242616,961147,700380,1904409
29-04-2021,Jammu and Kashmir,2311019,174250,1569,1946913,364106,1150154,796417,342,0,2311019,,100,243831,987862,715119,1946913
30-04-2021,Jammu and Kashmir,2348049,174200,1564,1974919,373130,1164880,809691,348,0,2348049,,102,244536,1005855,724426,1974919
01-05-2021,Jammu and Kashmir,2376239,149150,1365,1995989,380250,1176433,819204,352,194,2376045,,102,245938,1018904,731044,1995989
02-05-2021,Jammu and Kashmir,2415072,165400,1412,2027309,387763,1193509,833440,360,2234,2412838,,102,248088,1038828,740308,2027309
03-05-2021,Jammu and Kashmir,2467470,180900,1562,2065375,402095,1214597,850410,368,5705,2461765,,102,253490,1060368,751432,2065375
04-05-2021,Jammu and Kashmir,2503624,177627,1467,2091960,411664,1229623,861964,373,11063,2492561,,102,260121,1073710,758042,2091960
05-05-2021,Jammu and Kashmir,2560453,180850,1504,2133638,426815,1252863,880394,381,16549,2543904,,106,267065,1096833,769653,2133638
06-05-2021,Jammu and Kashmir,2610901,183783,1542,2166988,443913,1271320,895282,386,21374,2589527,,106,273772,1114473,778656,2166988
07-05-2021,Jammu and Kashmir,2673010,188280,1587,2208633,464377,1294220,914021,392,26337,2646673,,107,280322,1138274,789950,2208633
08-05-2021,Jammu and Kashmir,2717486,186794,1539,2236255,481231,1309381,926476,398,28864,2688622,,107,284419,1153911,797836,2236255
09-05-2021,Jammu and Kashmir,2730327,140400,1217,2244582,485745,1313928,930256,398,28873,2701454,,107,285054,1158871,800568,2244582
10-05-2021,Jammu and Kashmir,2762379,149800,1304,2261462,500917,1322863,938198,401,29358,2733021,,107,286552,1168981,805822,2261462
11-05-2021,Jammu and Kashmir,2792754,154400,1302,2277054,515700,1331225,945425,404,29877,2762877,,107,288193,1178152,810584,2277054
12-05-2021,Jammu and Kashmir,2806013,127800,1129,2286567,519446,1336452,949707,408,30376,2775637,,108,289520,1183584,813334,2286567
13-05-2021,Jammu and Kashmir,2811983,125700,1108,2290511,521472,1338566,951537,408,30376,2781607,,108,289841,1185949,814587,2290511
14-05-2021,Jammu and Kashmir,2829044,135300,1185,2301414,527630,1344429,956576,409,30833,2798211,,108,291208,1192304,817757,2301414
15-05-2021,Jammu and Kashmir,2846293,155150,1319,2313307,532986,1350850,962039,418,31365,2814928,,109,292654,1199361,821138,2313307
16-05-2021,Jammu and Kashmir,2854854,141224,1069,2321690,533164,1355183,966089,418,31365,2823489,,109,293132,1204797,823606,2321690
17-05-2021,Jammu and Kashmir,2869473,182396,1130,2335697,533776,1362535,972741,421,31905,2837568,,109,294727,1213282,827532,2335697
18-05-2021,Jammu and Kashmir,2882672,190028,1254,2348544,534128,1369295,978828,421,32440,2850232,,110,296260,1220845,831282,2348544
19-05-2021,Jammu and Kashmir,2890348,103069,704,2356090,534258,1373150,982517,423,32440,2857908,,111,296734,1225442,833756,2356090
20-05-2021,Jammu and Kashmir,2905453,142262,834,2370453,535000,1380864,989165,424,32991,2872462,,112,298817,1233786,837689,2370453
21-05-2021,Jammu and Kashmir,2919082,141332,834,2383343,535739,1388226,994689,428,33533,2885549,0,112,301232,1240932,841017,2383343
22-05-2021,Jammu and Kashmir,2955597,236407,1386,2418184,537413,1406533,1011214,437,34116,2921481,0,112,304925,1262496,850595,2418184
23-05-2021,Jammu and Kashmir,2973265,158543,1011,2435203,538062,1415191,1019569,443,34192,2939073,0,112,305840,1273836,855359,2435203
24-05-2021,Jammu and Kashmir,3010300,251617,1402,2470847,539453,1434278,1036121,448,35640,2974660,0,112,311483,1294893,864300,2470847
