Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Jharkhand,691414,92800,813,520822,170592,280951,239854,17,48441,642973,,278,201633,183428,135477,520822
17-03-2021,Jharkhand,747474,97901,862,566563,180911,305683,260854,26,53167,694307,,281,205113,193220,167940,566563
18-03-2021,Jharkhand,779686,92300,823,589818,189868,318421,271369,28,55383,724303,,283,207969,199537,182020,589818
19-03-2021,Jharkhand,815129,101500,914,617091,198038,332732,284325,34,57862,757267,,283,211099,206719,198976,617091
20-03-2021,Jharkhand,922788,240201,1962,716690,206098,381265,335384,41,65479,857309,,284,215048,227599,273736,716690
21-03-2021,Jharkhand,1087557,227800,1925,877428,210129,456442,420924,62,73772,1013785,,289,218505,268053,390545,877428
22-03-2021,Jharkhand,1131165,115200,1075,914943,216222,474853,440025,65,77510,1053655,,290,220657,279210,414747,914943
23-03-2021,Jharkhand,1286679,260950,2215,1062427,224252,544350,517999,78,95779,1190900,,292,224755,317698,519626,1062427
24-03-2021,Jharkhand,1406423,266351,2266,1177165,229258,598473,578599,93,115969,1290454,,294,227707,349980,599119,1177165
25-03-2021,Jharkhand,1448065,122750,1111,1214880,233185,616972,597812,96,125607,1322458,,294,229224,360189,625106,1214880
26-03-2021,Jharkhand,1510164,213450,1868,1273664,236500,644518,629042,104,161360,1348804,,295,231011,376213,666077,1273664
27-03-2021,Jharkhand,1609918,235551,1974,1370655,239263,689612,680932,111,176781,1433137,,296,233516,406271,730497,1370655
28-03-2021,Jharkhand,1624010,74400,648,1384612,239398,695904,688597,111,178154,1445856,,297,233782,412051,738407,1384612
29-03-2021,Jharkhand,1625662,54551,452,1386163,239499,696602,689450,111,178278,1447384,,299,233795,412681,739315,1386163
30-03-2021,Jharkhand,1636559,84999,745,1394924,241635,701132,693681,111,180616,1455943,,299,234350,415915,744287,1394924
31-03-2021,Jharkhand,1660956,110550,998,1415140,245816,711492,703536,112,183387,1477569,,299,235592,423518,755656,1415140
01-04-2021,Jharkhand,1686394,109400,972,1437104,249290,723006,713986,112,185253,1501141,,303,236525,436670,763535,1437104
02-04-2021,Jharkhand,1729117,103750,942,1475614,253503,743240,732254,120,187646,1541471,,315,238081,461780,775380,1475614
03-04-2021,Jharkhand,1758073,100650,918,1501006,257067,757066,743818,122,188887,1569186,,317,239163,478722,782748,1501006
04-04-2021,Jharkhand,1839503,193470,1659,1578359,261144,795067,783168,124,191267,1648236,,322,240091,530510,807382,1578359
05-04-2021,Jharkhand,1913640,221800,1926,1649049,264591,829452,819465,132,192540,1721100,,323,240199,577383,831089,1649049
06-04-2021,Jharkhand,1973281,127750,1148,1705435,267846,856890,848407,138,193574,1779707,,326,240337,615546,849173,1705435
07-04-2021,Jharkhand,2062758,226100,2000,1788075,274683,898543,889385,147,196170,1866588,,331,240495,672156,875044,1788075
08-04-2021,Jharkhand,2134827,197400,1788,1855020,279807,932330,922535,155,198353,1936474,,334,240629,717453,896558,1855020
09-04-2021,Jharkhand,2162617,137050,1221,1879293,283324,945139,933996,158,202123,1960494,,340,240862,733544,904507,1879293
10-04-2021,Jharkhand,2260123,243290,2194,1970433,289690,990122,980141,170,206072,2054051,,342,241396,795183,933474,1970433
11-04-2021,Jharkhand,2359684,257850,2322,2065113,294571,1036840,1028092,181,208265,2151419,,345,241866,859189,963677,2065113
12-04-2021,Jharkhand,2429156,184150,1640,2127045,302111,1070180,1056672,193,210623,2218533,,346,242559,901279,982828,2127045
13-04-2021,Jharkhand,2505707,260301,2304,2196926,308781,1107805,1088922,199,212617,2293090,,347,243597,948713,1004238,2196926
14-04-2021,Jharkhand,2595718,253700,2286,2279843,315875,1150162,1129470,211,214501,2381217,,350,244558,1004628,1030279,2279843
15-04-2021,Jharkhand,2640772,175650,1614,2318245,322527,1171510,1146520,215,216038,2424734,,354,245336,1030821,1041710,2318245
16-04-2021,Jharkhand,2681749,283920,2408,2351517,330232,1190884,1160415,218,217591,2464158,,357,246475,1053272,1051391,2351517
17-04-2021,Jharkhand,2733464,305600,2662,2393775,339689,1214184,1179366,225,218889,2514575,,357,247686,1081824,1063884,2393775
18-04-2021,Jharkhand,2775262,223350,2077,2427024,348238,1231702,1195094,228,220573,2554689,,357,248538,1103181,1074924,2427024
19-04-2021,Jharkhand,2807543,291000,2518,2449014,358529,1244634,1204150,230,222787,2584756,,358,249397,1117568,1081666,2449014
20-04-2021,Jharkhand,2848719,326351,2839,2477515,371204,1260887,1216395,233,227604,2621115,,359,250163,1135658,1091311,2477515
21-04-2021,Jharkhand,2877453,226370,2052,2496708,380745,1271782,1224689,237,231690,2645763,,359,250666,1148079,1097580,2496708
22-04-2021,Jharkhand,2901875,252950,2247,2512136,389739,1281274,1230623,239,235917,2665958,,359,251465,1158549,1101738,2512136
23-04-2021,Jharkhand,2935365,310601,2656,2532881,402484,1293553,1239087,241,242888,2692477,,359,252666,1172013,1107813,2532881
24-04-2021,Jharkhand,2965021,188800,1688,2550782,414239,1303973,1246566,243,251321,2713700,,359,253964,1183820,1112609,2550782
25-04-2021,Jharkhand,2977865,113300,1039,2558670,419195,1308648,1249778,244,255987,2721878,,359,254592,1189134,1114554,2558670
26-04-2021,Jharkhand,3005317,193750,1739,2574711,430606,1317847,1256616,248,266107,2739210,,361,255742,1199207,1119371,2574711
27-04-2021,Jharkhand,3029124,199500,1810,2589148,439976,1326494,1262405,249,275310,2753814,,380,331982,1133560,1123213,2589148
28-04-2021,Jharkhand,3053082,126300,1146,2603179,449903,1334639,1268287,253,282093,2770989,,448,333390,1142258,1127136,2603179
29-04-2021,Jharkhand,3083117,178450,1576,2619343,463774,1344030,1275058,255,290291,2792826,,481,335097,1152364,1131586,2619343
30-04-2021,Jharkhand,3114125,186850,1640,2635993,478132,1353708,1282028,257,298246,2815879,,512,337396,1162376,1135916,2635993
01-05-2021,Jharkhand,3135680,163150,1499,2647485,488195,1360718,1286510,257,303722,2831958,,513,339610,1168793,1138777,2647485
02-05-2021,Jharkhand,3146799,209100,1840,2653112,493687,1364039,1288816,257,306394,2840405,,513,338258,1174399,1140180,2653112
03-05-2021,Jharkhand,3165998,234750,2054,2661873,504125,1369364,1292251,258,310644,2855354,,513,339982,1179316,1142300,2661873
04-05-2021,Jharkhand,3186484,135750,1247,2671304,515180,1375124,1295918,262,314835,2871649,,513,341886,1184573,1144567,2671304
05-05-2021,Jharkhand,3211894,243350,2128,2681933,529961,1381596,1300073,264,319092,2892802,,513,344096,1190246,1147312,2681933
06-05-2021,Jharkhand,3233186,206250,1842,2691611,541575,1387433,1303911,267,323010,2910176,,513,346204,1195591,1149536,2691611
07-05-2021,Jharkhand,3257332,147300,1331,2702393,554939,1393906,1308219,268,328316,2929016,,512,348582,1201375,1152156,2702393
08-05-2021,Jharkhand,3284802,239790,2102,2714194,570608,1401048,1312875,271,335224,2949578,,513,351184,1207565,1155164,2714194
09-05-2021,Jharkhand,3303003,233300,2013,2722859,580144,1406035,1316552,272,339761,2963242,,513,352454,1212577,1157547,2722859
10-05-2021,Jharkhand,3336638,185550,1572,2738946,597692,1415468,1323205,273,348346,2988292,,514,354942,1221915,1161786,2738946
11-05-2021,Jharkhand,3373071,252550,2123,2754830,618241,1424853,1329701,276,356554,3016517,,515,357865,1230561,1166086,2754830
12-05-2021,Jharkhand,3402653,260350,2143,2769962,632691,1433720,1335959,283,365329,3037324,,515,360633,1239074,1169930,2769962
13-05-2021,Jharkhand,3428810,174200,1392,2782611,646199,1441026,1341301,284,371456,3057354,,515,363176,1246066,1173037,2782611
14-05-2021,Jharkhand,3480054,232425,1482,2825315,654739,1468779,1356250,286,390932,3089122,,516,397079,1252118,1175742,2825315
15-05-2021,Jharkhand,3541498,266006,1642,2876996,664502,1501678,1375010,308,414774,3126724,,516,439629,1258483,1178475,2876996
16-05-2021,Jharkhand,3585174,243237,1619,2919090,666084,1528357,1390409,324,427393,3157781,,516,476184,1262553,1179926,2919090
17-05-2021,Jharkhand,3640643,216786,1267,2972741,667902,1562216,1410182,343,439574,3201069,,520,519148,1270559,1182566,2972741
18-05-2021,Jharkhand,3692552,233960,1388,3023461,669091,1594503,1428598,360,449565,3242987,,522,560222,1277965,1184761,3023461
19-05-2021,Jharkhand,3743211,254732,1597,3072388,670823,1624892,1447120,376,459652,3283559,,524,600462,1284612,1186765,3072388
20-05-2021,Jharkhand,3791168,196895,1129,3118200,672968,1653512,1464296,392,466974,3324194,,524,638672,1290462,1188477,3118200
21-05-2021,Jharkhand,3840095,230064,1438,3165104,674991,1682802,1481895,407,473899,3366196,0,524,678039,1296239,1190195,3165104
22-05-2021,Jharkhand,3877535,240096,1594,3200833,676702,1705242,1495175,416,479462,3398073,0,526,706753,1301724,1191703,3200833
23-05-2021,Jharkhand,3922615,203426,1248,3243983,678632,1732043,1511498,442,483529,3439086,0,529,744826,1305635,1192842,3243983
24-05-2021,Jharkhand,3973018,266203,1687,3291812,681206,1760837,1530505,470,488613,3484405,0,530,784870,1311628,1194588,3291812
25-05-2021,Jharkhand,4012657,243621,1544,3328296,684361,1783062,1544751,483,494210,3518447,0,546,813646,1317424,1196483,3328296
26-05-2021,Jharkhand,4037120,177050,1073,3350619,686501,1796704,1553425,490,497805,3539315,0,547,831666,1320823,1197366,3350619
27-05-2021,Jharkhand,4053662,166004,973,3365244,688418,1805516,1559234,494,500385,3553277,0,550,842449,1323692,1198316,3365244
28-05-2021,Jharkhand,4084905,198164,1040,3391607,693298,1821194,1569914,499,507584,3577321,0,552,861481,1328867,1200453,3391607
29-05-2021,Jharkhand,4124267,216386,1069,3424365,699902,1840658,1583200,507,517383,3606884,0,552,884004,1336102,1203413,3424365
30-05-2021,Jharkhand,4156776,181414,895,3452239,704537,1856821,1594907,511,523909,3632867,0,552,902489,1343019,1205864,3452239
31-05-2021,Jharkhand,4194352,231286,1105,3484293,710059,1874952,1608823,518,533344,3661008,0,554,921240,1352798,1209346,3484293
01-06-2021,Jharkhand,4227513,216804,1048,3512443,715070,1891028,1620893,522,543490,3684023,0,555,936929,1362009,1212562,3512443
02-06-2021,Jharkhand,4266420,211775,1070,3545235,721185,1909179,1635524,532,559482,3706938,0,592,954651,1372839,1216777,3545235
03-06-2021,Jharkhand,4306358,195799,1003,3580164,726194,1929268,1650356,540,581158,3725200,0,599,976538,1382438,1220188,3580164
04-06-2021,Jharkhand,4378641,362934,1532,3646348,732293,1967427,1678353,568,597383,3781258,0,617,1024326,1396188,1224782,3646348
05-06-2021,Jharkhand,4470721,388228,1706,3732019,738702,2017158,1714267,594,614300,3856421,0,669,1085772,1414178,1230951,3732019
06-06-2021,Jharkhand,4549765,374040,1708,3806892,742873,2060048,1746230,614,630289,3919476,0,714,1134196,1434033,1237492,3806892
07-06-2021,Jharkhand,4613214,283108,1311,3864177,749037,2092976,1770569,632,643971,3969243,0,757,1170688,1449214,1243042,3864177
08-06-2021,Jharkhand,4673692,289535,1312,3918642,755050,2124673,1793328,641,659466,4014226,0,768,1204383,1464315,1248653,3918642
09-06-2021,Jharkhand,4732666,283856,1292,3971153,761513,2155494,1815002,657,672971,4059695,0,768,1233881,1480933,1255008,3971153
10-06-2021,Jharkhand,4802571,316420,1338,4036613,765958,2194678,1841263,672,680429,4122142,0,770,1279521,1495026,1260671,4036613
11-06-2021,Jharkhand,4896908,437674,1743,4123823,773085,2243580,1879553,690,692201,4204707,0,770,1337248,1516692,1268421,4123823
12-06-2021,Jharkhand,4998435,419376,1641,4212899,785536,2292607,1919584,708,708506,4289929,0,771,1392158,1541652,1277567,4212899
13-06-2021,Jharkhand,5107681,435233,1597,4309176,798505,2346745,1961708,723,725793,4381888,0,777,1453844,1566733,1287040,4309176
14-06-2021,Jharkhand,5200591,363908,1336,4385314,815277,2389879,1994696,739,744948,4455643,0,778,1504880,1584379,1294456,4385314
15-06-2021,Jharkhand,5275846,347934,1276,4445031,830815,2422895,2021386,750,760694,4515152,0,779,1540960,1600627,1301799,4445031
16-06-2021,Jharkhand,5351699,367080,1321,4506462,845237,2456942,2048763,757,774021,4577678,0,779,1580566,1615869,1308339,4506462
17-06-2021,Jharkhand,5439159,355605,1241,4580622,858537,2498473,2081375,774,788070,4651089,0,779,1636419,1628636,1313820,4580622
18-06-2021,Jharkhand,5546776,464320,1612,4670691,876085,2548854,2121037,800,803471,4743305,0,779,1701893,1645758,1321256,4670691
19-06-2021,Jharkhand,5656138,457212,1586,4762333,893805,2600676,2160840,817,818059,4838079,0,779,1767172,1664179,1329153,4762333
20-06-2021,Jharkhand,5778609,536819,1593,4869438,909171,2661665,2206938,835,832575,4946034,0,783,1847507,1682587,1337467,4869438
21-06-2021,Jharkhand,5883561,429831,1352,4957150,926411,2712262,2244017,871,847517,5036044,0,783,1911183,1699418,1344587,4957150
22-06-2021,Jharkhand,6000196,459592,1336,5055364,944832,2767615,2286853,896,870989,5129207,0,783,1987617,1714594,1351125,5055364
23-06-2021,Jharkhand,6131818,515339,1363,5167917,963901,2829105,2337892,920,898324,5233359,135,783,2075467,1732143,1358229,5167917
24-06-2021,Jharkhand,6255348,584308,1284,5275892,979456,2889864,2385085,943,936318,5318805,225,790,2161940,1747293,1364509,5275892
25-06-2021,Jharkhand,6403158,788900,1488,5408550,994608,3521613,2880527,1018,985041,5417787,330,791,2590307,2104763,1708088,5408550
26-06-2021,Jharkhand,6547873,917267,1445,5536533,1011340,3601521,2945304,1048,1059822,5487646,405,807,2698261,2129799,1719813,5536533
27-06-2021,Jharkhand,6668652,766435,1199,5640086,1028566,3668946,2998641,1065,1097573,5570674,405,887,2785697,2152519,1730436,5640086
28-06-2021,Jharkhand,6770349,703959,979,5724536,1045813,3724308,3044949,1092,1117377,5652507,465,888,2854647,2174636,1741066,5724536
29-06-2021,Jharkhand,6830286,407640,693,5771964,1058322,3758004,3071173,1109,1131781,5697930,575,888,2893544,2188520,1748222,5771964
30-06-2021,Jharkhand,6854142,327966,464,5789884,1064258,3771415,3081612,1115,1139001,5714477,664,890,2908247,2194765,1751130,5789884
01-07-2021,Jharkhand,6893417,243708,499,5821359,1072058,3793263,3099021,1133,1168258,5724395,764,890,2938952,2200825,1753640,5821359
02-07-2021,Jharkhand,6924097,160907,385,5846418,1077679,3810313,3112648,1136,1189507,5733706,884,890,2960522,2207036,1756539,5846418
