Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Karnataka,1621831,274440,2057,1271286,350545,608554,662594,138,16074,1605757,,2298,449054,369813,451073,1271286
17-03-2021,Karnataka,2013637,427880,3444,1649513,364124,792662,856669,182,21237,1992400,,2306,460322,444273,743513,1649513
18-03-2021,Karnataka,2124428,268930,1958,1752016,372412,842262,909560,194,28245,2096183,,2311,467911,472520,810161,1752016
19-03-2021,Karnataka,2371563,443280,3548,1987433,384130,952427,1034791,215,40560,2331003,,2320,479656,532481,973825,1987433
20-03-2021,Karnataka,2578280,451230,3671,2182510,395770,1044384,1137892,234,66464,2511816,,2328,491694,588747,1100582,2182510
21-03-2021,Karnataka,2611299,144950,1097,2214176,397123,1059302,1154634,240,71413,2539886,,2337,494055,599127,1119499,2214176
22-03-2021,Karnataka,2806130,484730,3936,2399962,406168,1144372,1255328,262,110840,2695290,,2342,501768,647975,1248698,2399962
23-03-2021,Karnataka,2954336,375880,2994,2539195,415141,1209220,1329701,274,161808,2792528,,2344,511092,691509,1335057,2539195
24-03-2021,Karnataka,3140034,514570,4255,2716069,423965,1291036,1424740,293,226117,2913917,,2348,519756,742024,1452734,2716069
25-03-2021,Karnataka,3234506,327530,2592,2805919,428587,1333339,1472280,300,270281,2964225,,2353,524781,771216,1508363,2805919
26-03-2021,Karnataka,3396982,525850,4394,2960802,436180,1405527,1554963,312,323185,3073797,,2358,532652,819060,1607491,2960802
27-03-2021,Karnataka,3522500,447531,3717,3080769,441731,1461483,1618958,328,353843,3168657,,2363,540694,862219,1676249,3080769
28-03-2021,Karnataka,3542620,219350,1768,3100377,442243,1470931,1629114,332,356600,3186020,,2365,542239,869984,1686546,3100377
29-03-2021,Karnataka,3682325,522590,4326,3234131,448194,1531084,1702703,344,378391,3303934,,2368,548729,912209,1771571,3234131
30-03-2021,Karnataka,3800933,452550,3730,3346567,454366,1581954,1764252,361,395682,3405251,,2373,555147,953554,1836227,3346567
31-03-2021,Karnataka,3952215,541080,4529,3489527,462688,1647009,1842139,379,412737,3539478,,2379,563318,1004149,1920381,3489527
01-04-2021,Karnataka,4066715,452680,3875,3599566,467149,1698361,1900816,389,425440,3641275,,2381,567373,1067206,1963298,3599566
02-04-2021,Karnataka,4266426,514400,4568,3793071,473355,1788626,2004033,412,442763,3823663,,2386,573707,1185018,2032646,3793071
03-04-2021,Karnataka,4450751,591470,5431,3971518,479233,1871702,2099382,434,454895,3995856,,2388,579191,1292667,2097951,3971518
04-04-2021,Karnataka,4592345,510310,4510,4108669,483676,1936005,2172207,457,464461,4127884,,2396,583070,1380617,2143269,4108669
05-04-2021,Karnataka,4765091,675771,6103,4274168,490923,2009976,2263714,478,478207,4286884,,2401,583316,1480104,2209031,4274168
06-04-2021,Karnataka,4874443,705350,6304,4378738,495705,2057498,2320752,488,491658,4382785,,2405,583468,1546571,2246979,4378738
07-04-2021,Karnataka,5193089,743223,6734,4681696,511393,2194018,2487150,528,522784,4670305,,2417,583935,1734612,2361430,4681696
08-04-2021,Karnataka,5463170,739551,6527,4936256,526914,2310232,2625464,560,541190,4921980,,2426,584226,1893421,2456890,4936256
09-04-2021,Karnataka,5788229,817850,7338,5241266,546963,2451971,2788693,602,555182,5233047,,2434,586619,2086069,2566857,5241266
10-04-2021,Karnataka,6066457,752250,6838,5502062,564395,2575155,2926258,649,566845,5499612,,2442,589227,2254327,2656782,5502062
11-04-2021,Karnataka,6208540,692240,6163,5635988,572552,2640037,2995283,668,572077,5636463,,2449,590532,2340569,2703160,5635988
12-04-2021,Karnataka,6407151,779510,6980,5814005,593146,2729159,3084145,701,578395,5828756,,2457,593719,2454248,2764307,5814005
13-04-2021,Karnataka,6446449,679710,6051,5848181,598268,2747459,3100011,711,580152,5866297,,2460,594496,2477094,2774859,5848181
14-04-2021,Karnataka,6550378,702910,6246,5935191,615187,2789071,3145397,723,585978,5964400,,2463,595473,2533761,2804222,5935191
15-04-2021,Karnataka,6704302,713610,6219,6060959,643343,2847597,3212623,739,595970,6108332,,2467,597673,2611371,2850173,6060959
16-04-2021,Karnataka,6910211,753660,6538,6226534,683677,2925945,3299828,761,613354,6296857,,2471,601463,2714568,2908765,6226534
17-04-2021,Karnataka,7191885,740050,6682,6449119,742766,3031185,3417138,796,642055,6549830,,2474,606671,2855049,2985658,6449119
18-04-2021,Karnataka,7296541,707510,6265,6532361,764180,3071706,3459851,804,654574,6641967,,2476,608452,2908828,3013337,6532361
19-04-2021,Karnataka,7542740,810010,7256,6710926,831814,3157425,3552673,828,688768,6853972,,2478,613534,3016712,3078937,6710926
20-04-2021,Karnataka,7768341,829600,7385,6871164,897177,3236053,3634252,859,723260,7045081,,2482,619385,3114152,3135887,6871164
21-04-2021,Karnataka,7957698,774590,6960,7004724,952974,3302074,3701769,881,753927,7203771,,2487,624778,3195370,3182837,7004724
22-04-2021,Karnataka,8189265,802100,7148,7158532,1030733,3378086,3779537,909,788176,7401089,,2489,631531,3289216,3236032,7158532
