Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Kerala,1500473,193345,1385,1188099,312374,506856,681178,65,82435,1418038,,1902,374000,455351,358304,1188099
17-03-2021,Kerala,2016703,117310,846,1695387,321316,768897,926350,140,89070,1927633,,1922,378681,487885,828313,1695387
18-03-2021,Kerala,2165652,205825,1439,1832205,333447,834871,997172,162,95005,2070647,,1928,386607,501613,943454,1832205
19-03-2021,Kerala,2298455,205740,1474,1954868,343587,892887,1061807,174,101174,2197281,,1941,393442,513029,1047850,1954868
20-03-2021,Kerala,2418931,190250,1365,2066624,352307,944605,1121838,181,107378,2311553,,1955,399459,523703,1142906,2066624
21-03-2021,Kerala,2426827,18950,121,2073902,352925,948016,1125704,182,107808,2319019,,1956,399879,524512,1148954,2073902
22-03-2021,Kerala,2564049,223760,1580,2203735,360314,1008762,1194773,200,113327,2450722,,1979,404097,534800,1264269,2203735
23-03-2021,Kerala,2712712,222431,1574,2339164,373548,1071966,1266982,216,124751,2587961,,2001,408808,546705,1383069,2339164
24-03-2021,Kerala,2776155,117740,824,2398567,377588,1099916,1298425,226,127294,2648861,,2005,411519,552346,1434110,2398567
25-03-2021,Kerala,2939242,228540,1552,2555550,383692,1173561,1381745,244,131207,2808035,,2024,416361,563722,1574867,2555550
26-03-2021,Kerala,3070352,215440,1533,2682089,388263,1231380,1450450,259,133243,2937109,,2040,420884,573409,1687188,2682089
27-03-2021,Kerala,3188068,193450,1397,2795930,392138,1283227,1512430,273,135202,3052866,,2052,425319,586631,1783366,2795930
28-03-2021,Kerala,3199659,44970,342,2807351,392308,1288539,1518538,274,135210,3064449,,2053,425671,588086,1792979,2807351
29-03-2021,Kerala,3353041,222970,1563,2956227,396814,1355104,1600818,305,136924,3216117,,2061,429603,606659,1919332,2956227
30-03-2021,Kerala,3510207,240701,1588,3106682,403525,1421478,1684885,319,139738,3370469,,2072,433707,628610,2043721,3106682
31-03-2021,Kerala,3574857,159940,1071,3167015,407842,1448053,1718636,326,141297,3433560,,2082,436365,642543,2087461,3167015
01-04-2021,Kerala,3653814,170390,1173,3242747,411067,1481276,1761139,332,141781,3512033,,2089,438433,680966,2122699,3242747
02-04-2021,Kerala,3721899,117886,805,3307374,414525,1510014,1797019,341,142408,3579491,,2095,440164,718525,2148027,3307374
03-04-2021,Kerala,3838483,195200,1400,3416400,422083,1555388,1860659,353,143446,3695037,,2105,442162,781457,2192120,3416400
04-04-2021,Kerala,3888331,66010,458,3463563,424768,1575071,1888134,358,143892,3744439,,2107,443088,810067,2209745,3463563
05-04-2021,Kerala,4005217,218935,1570,3573568,431649,1620368,1952832,368,144425,3860792,,2118,443204,874414,2255286,3573568
06-04-2021,Kerala,4042344,93940,713,3608126,434218,1635201,1972554,371,144684,3897660,,2123,443270,895600,2268591,3608126
07-04-2021,Kerala,4140687,201340,1308,3698854,441833,1673913,2024554,387,145437,3995250,,2137,443420,953134,2301634,3698854
08-04-2021,Kerala,4356948,259252,1692,3899533,457415,1757681,2141438,414,146408,4210540,,2157,443767,1074369,2380727,3899533
09-04-2021,Kerala,4575579,262105,1730,4099009,476570,1841931,2256641,437,147850,4427729,,2168,444541,1201366,2452428,4099009
10-04-2021,Kerala,4763750,224225,1520,4270854,492896,1915320,2355073,461,149328,4614422,,2178,445246,1313963,2510969,4270854
11-04-2021,Kerala,4830666,134861,867,4333798,496868,1944347,2388985,466,149990,4680676,,2184,445378,1355327,2532414,4333798
12-04-2021,Kerala,5098015,290180,1822,4571524,526491,2045082,2525926,516,152985,4945030,,2195,446438,1502254,2622148,4571524
13-04-2021,Kerala,5267173,271852,1736,4714085,553088,2109225,2604323,537,156460,5110713,,2205,447508,1592577,2673315,4714085
14-04-2021,Kerala,5287486,118910,900,4730173,557313,2117216,2612419,538,157699,5129787,,2207,447642,1602880,2678965,4730173
15-04-2021,Kerala,5496553,245990,1658,4899502,597051,2193316,2705623,563,172708,5323845,,2221,448708,1713396,2736720,4899502
16-04-2021,Kerala,5680114,217590,1531,5040807,639307,2257490,2782737,580,199162,5480952,,2251,449799,1807572,2782761,5040807
17-04-2021,Kerala,5832548,154580,1165,5158591,673957,2312598,2845392,601,240926,5591622,,2264,451199,1888038,2818675,5158591
18-04-2021,Kerala,5870232,122710,880,5189796,680436,2328909,2860281,606,255745,5614487,,2264,451415,1909315,2828387,5189796
19-04-2021,Kerala,6026332,203991,1441,5299053,727279,2381261,2917173,619,288756,5737576,,2272,452951,1981397,2864026,5299053
20-04-2021,Kerala,6243615,192246,1429,5443386,800229,2449699,2993054,633,312000,5931615,,2278,454948,2077264,2910496,5443386
21-04-2021,Kerala,6353600,170365,1213,5512304,841296,2483037,3028625,642,322945,6030655,,2288,456096,2122327,2933201,5512304
22-04-2021,Kerala,6503034,172874,1301,5602945,900089,2525828,3076458,659,333703,6169331,,2298,457658,2181702,2962902,5602945
23-04-2021,Kerala,6628388,172728,1247,5673943,954445,2559741,3113525,677,339373,6289015,,2300,459063,2228506,2985696,5673943
24-04-2021,Kerala,6827755,205317,1310,5788568,1039187,2615457,3172415,696,343411,6484344,,2301,460467,2305785,3021630,5788568
25-04-2021,Kerala,6847075,80837,597,5801281,1045794,2621806,3178777,698,344350,6502725,,2301,460544,2314002,3026049,5801281
26-04-2021,Kerala,6991118,180172,1325,5885170,1105948,2662083,3222372,715,349708,6641410,,2304,462008,2369111,3053362,5885170
27-04-2021,Kerala,7106942,146869,1075,5947361,1159581,2691909,3254720,732,352774,6754168,,2307,616768,2255283,3074625,5947361
28-04-2021,Kerala,7144083,62950,475,5967887,1176196,2701673,3265481,733,362293,6781790,,2311,617376,2268382,3081442,5967887
29-04-2021,Kerala,7229177,93760,731,6006391,1222786,2720059,3285590,742,368302,6860875,,2314,618567,2292415,3095020,6006391
30-04-2021,Kerala,7376934,154900,1141,6051350,1325584,2741857,3308741,752,375938,7000996,,2319,620532,2318284,3112082,6051350
01-05-2021,Kerala,7425416,69210,594,6069726,1355690,2750902,3318069,755,382103,7043313,,2319,621053,2329584,3118636,6069726
02-05-2021,Kerala,7426176,18200,156,6069760,1356416,2750908,3318097,755,382111,7044065,,2319,619769,2331017,3118641,6069760
03-05-2021,Kerala,7511454,106630,869,6092349,1419105,2761697,3329892,760,387629,7123825,,2321,620875,2343224,3127917,6092349
04-05-2021,Kerala,7577304,98340,767,6110419,1466885,2770380,3339264,775,396731,7180573,,2323,621803,2353344,3134926,6110419
05-05-2021,Kerala,7600484,59670,455,6118358,1482126,2774337,3343245,776,402333,7198151,,2323,622368,2358023,3137621,6118358
06-05-2021,Kerala,7705285,120290,945,6137985,1567300,2784001,3353206,778,407131,7298154,,2326,623864,2367398,3146378,6137985
