Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Ladakh,38926,3700,27,35573,3353,20363,15207,3,0,38926,,0,8051,7966,19534,35573
17-03-2021,Ladakh,40726,2900,22,37044,3682,21178,15863,3,0,40726,,0,8180,8326,20516,37044
18-03-2021,Ladakh,42033,2100,15,37810,4223,21589,16218,3,0,42033,,0,8292,8512,20983,37810
19-03-2021,Ladakh,43189,3600,22,38440,4749,21883,16554,3,0,43189,,0,8348,8797,21272,38440
20-03-2021,Ladakh,44169,2300,15,38954,5215,22160,16791,3,0,44169,,1,8433,8937,21561,38954
21-03-2021,Ladakh,44234,600,3,39005,5229,22186,16816,3,0,44234,,1,8440,8949,21593,39005
22-03-2021,Ladakh,45135,3100,20,39419,5716,22395,17021,3,0,45135,,1,8514,9091,21791,39419
23-03-2021,Ladakh,45814,1000,7,39767,6047,22558,17206,3,0,45814,,1,8557,9189,21997,39767
24-03-2021,Ladakh,46093,900,6,39950,6143,22677,17270,3,0,46093,,1,8614,9250,22062,39950
25-03-2021,Ladakh,46261,800,5,40010,6251,22702,17305,3,0,46261,,1,8607,9271,22108,40010
26-03-2021,Ladakh,46461,700,4,40083,6378,22733,17347,3,0,46461,,1,8602,9300,22157,40083
27-03-2021,Ladakh,46590,700,4,40195,6395,22813,17379,3,0,46590,,1,8651,9326,22194,40195
28-03-2021,Ladakh,46589,700,5,40194,6395,22812,17379,3,0,46589,,1,8650,9326,22194,40194
29-03-2021,Ladakh,46588,1100,5,40193,6395,22811,17379,3,0,46588,,1,8649,9326,22194,40193
30-03-2021,Ladakh,46645,2220,11,40215,6430,22811,17401,3,0,46645,,1,8633,9331,22227,40215
31-03-2021,Ladakh,46872,1900,11,40372,6500,22926,17443,3,0,46872,,1,8702,9372,22273,40372
01-04-2021,Ladakh,50362,6500,38,43815,6547,24557,19255,3,0,50362,,1,8710,12630,22449,43815
02-04-2021,Ladakh,55631,6900,44,49045,6586,27091,21951,3,0,55631,,1,8716,17617,22686,49045
03-04-2021,Ladakh,59338,5100,32,52707,6631,28893,23811,3,0,59338,,1,8720,21042,22919,52707
04-04-2021,Ladakh,62214,5600,39,55578,6636,30350,25225,3,0,62214,,2,8723,23737,23092,55578
05-04-2021,Ladakh,65089,6600,45,58417,6672,31792,26622,3,0,65089,,2,8717,26406,23268,58417
06-04-2021,Ladakh,66613,6400,44,59863,6750,32542,27318,3,0,66613,,2,8713,27767,23357,59863
07-04-2021,Ladakh,69391,6000,41,62372,7019,33902,28466,4,0,69391,,2,8700,30118,23528,62372
08-04-2021,Ladakh,71259,3400,24,63903,7356,34662,29237,4,0,71259,,2,8674,31577,23627,63903
09-04-2021,Ladakh,71960,6200,44,64284,7676,34882,29398,4,0,71960,,2,8688,31903,23668,64284
10-04-2021,Ladakh,72431,2400,18,64518,7913,35014,29500,4,0,72431,,2,8679,32116,23699,64518
