Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Lakshadweep,3860,1000,10,2753,1107,2089,664,0,0,3860,,0,1059,1136,558,2753
17-03-2021,Lakshadweep,4555,900,9,3420,1135,2492,928,0,0,4555,,0,1069,1266,1085,3420
18-03-2021,Lakshadweep,4904,800,8,3617,1287,2652,965,0,0,4904,,0,1102,1395,1120,3617
19-03-2021,Lakshadweep,5088,900,9,3735,1353,2722,1013,0,0,5088,,0,1139,1437,1159,3735
20-03-2021,Lakshadweep,5387,1000,10,3915,1472,2818,1097,0,0,5387,,0,1218,1497,1200,3915
21-03-2021,Lakshadweep,5394,0,0,3920,1474,2822,1098,0,0,5394,,0,1220,1500,1200,3920
22-03-2021,Lakshadweep,5521,1000,10,4018,1503,2881,1137,0,0,5521,,0,1231,1543,1244,4018
23-03-2021,Lakshadweep,5707,900,9,4145,1562,2949,1196,0,0,5707,,0,1260,1588,1297,4145
24-03-2021,Lakshadweep,5826,800,8,4233,1593,3007,1226,0,0,5826,,0,1278,1620,1335,4233
25-03-2021,Lakshadweep,5901,900,9,4277,1624,3027,1250,0,0,5901,,0,1289,1641,1347,4277
26-03-2021,Lakshadweep,6053,800,8,4405,1648,3098,1307,0,0,6053,,0,1306,1675,1424,4405
27-03-2021,Lakshadweep,6266,900,9,4601,1665,3207,1394,0,0,6266,,0,1315,1762,1524,4601
28-03-2021,Lakshadweep,6333,200,2,4653,1680,3231,1421,1,0,6333,,0,1321,1795,1537,4653
29-03-2021,Lakshadweep,6333,900,9,4653,1680,3231,1421,1,0,6333,,0,1321,1795,1537,4653
30-03-2021,Lakshadweep,6552,1000,10,4804,1748,3347,1456,1,0,6552,,0,1342,1866,1596,4804
31-03-2021,Lakshadweep,6824,1000,10,5034,1790,3479,1554,1,0,6824,,0,1370,1958,1706,5034
01-04-2021,Lakshadweep,6953,1300,12,5156,1797,3545,1610,1,0,6953,,0,1375,2024,1757,5156
02-04-2021,Lakshadweep,7168,1200,12,5365,1803,3670,1694,1,0,7168,,0,1380,2161,1824,5365
03-04-2021,Lakshadweep,7399,1200,11,5578,1821,3774,1803,1,0,7399,,0,1384,2310,1884,5578
04-04-2021,Lakshadweep,7746,1000,10,5912,1834,3942,1969,1,0,7746,,0,1396,2549,1967,5912
05-04-2021,Lakshadweep,7993,1100,11,6130,1863,4084,2045,1,0,7993,,0,1398,2706,2026,6130
06-04-2021,Lakshadweep,8434,1100,10,6501,1933,4285,2215,1,0,8434,,0,1398,2989,2114,6501
