Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Madhya Pradesh,1582017,26800,78,1204532,377485,668813,535656,63,178772,1403245,,294,398331,373401,432056,1204532
17-03-2021,Madhya Pradesh,1894779,502900,1984,1483101,411678,820896,662088,117,194660,1700119,,297,407270,422774,652295,1483101
18-03-2021,Madhya Pradesh,2061982,566859,2636,1630087,431895,900109,729842,136,203540,1858442,,297,413540,447586,768191,1630087
19-03-2021,Madhya Pradesh,2082196,34270,136,1648828,433368,909911,738776,141,203833,1878363,,297,414458,451740,781852,1648828
20-03-2021,Madhya Pradesh,2392868,701036,4032,1936427,456441,1059583,876679,165,220006,2172862,,299,422989,494086,1018544,1936427
21-03-2021,Madhya Pradesh,2447794,1350,8,1988398,459396,1085844,902376,178,223081,2224713,,300,424215,502264,1061107,1988398
22-03-2021,Madhya Pradesh,2645609,530380,3228,2173688,471921,1181427,992049,212,238878,2406731,,302,429540,533437,1209891,2173688
23-03-2021,Madhya Pradesh,2709136,30980,133,2233935,475201,1212270,1021443,222,245080,2464056,,304,431551,545753,1255799,2233935
24-03-2021,Madhya Pradesh,2970294,513846,3273,2484618,485676,1340212,1144150,256,266221,2704073,,306,438226,589494,1456047,2484618
25-03-2021,Madhya Pradesh,3117583,409390,2479,2625418,492165,1412654,1212489,275,282339,2835244,,307,443006,622026,1559525,2625418
26-03-2021,Madhya Pradesh,3124997,31860,136,2632468,492529,1416399,1215790,279,283258,2841739,,307,443610,624379,1563617,2632468
27-03-2021,Madhya Pradesh,3235027,353447,2103,2737954,497073,1471968,1265689,297,297487,2937540,,312,448877,653105,1635099,2737954
28-03-2021,Madhya Pradesh,3238287,75914,354,2740984,497303,1473456,1267230,298,298095,2940192,,314,449160,654545,1636405,2740984
29-03-2021,Madhya Pradesh,3238300,6450,32,2740995,497305,1473461,1267236,298,298095,2940205,,316,449164,654547,1636410,2740995
30-03-2021,Madhya Pradesh,3241368,127203,467,2743883,497485,1474945,1268639,299,298175,2943193,,318,449565,655682,1637760,2743883
31-03-2021,Madhya Pradesh,3399721,553283,3307,2890848,508873,1551819,1338710,319,309233,3090488,,320,455540,693199,1741223,2890848
01-04-2021,Madhya Pradesh,3632471,582967,3857,3115146,517325,1672487,1442310,349,318623,3313848,,323,460399,845804,1808047,3115146
02-04-2021,Madhya Pradesh,3871927,268960,1350,3346831,525096,1798113,1548342,376,328095,3543832,,326,465988,1009384,1870554,3346831
03-04-2021,Madhya Pradesh,4043380,418415,2451,3510799,532581,1888110,1622294,395,346154,3697226,,328,470963,1123203,1915724,3510799
04-04-2021,Madhya Pradesh,4214544,190991,778,3675945,538599,1977803,1697721,421,373561,3840983,,331,476073,1239433,1959524,3675945
05-04-2021,Madhya Pradesh,4376033,416609,2360,3831368,544665,2061133,1769793,442,444884,3931149,,337,476197,1350040,2004216,3831368
06-04-2021,Madhya Pradesh,4528210,414416,1999,3977455,550755,2139507,1837489,459,508381,4019829,,338,476300,1455328,2044908,3977455
07-04-2021,Madhya Pradesh,4902462,590355,3590,4334898,567564,2329211,2005206,481,567777,4334685,,351,476486,1708971,2148521,4334898
08-04-2021,Madhya Pradesh,5233168,479140,2771,4649680,583488,2491279,2157893,508,607953,4625215,,364,476716,1927139,2244898,4649680
09-04-2021,Madhya Pradesh,5361979,423998,2072,4770269,591710,2553081,2216665,523,625339,4736640,,374,477375,2011710,2280256,4770269
