Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Maharashtra,2785457,334780,2211,2316957,468500,1267604,1049059,294,100256,2685201,,1983,719923,798647,797374,2316957
17-03-2021,Maharashtra,3729963,464690,3316,3229723,500240,1744987,1484314,422,181565,3548398,,2094,740032,972732,1515883,3229723
18-03-2021,Maharashtra,3933965,393730,2742,3408977,524988,1841970,1566567,440,247217,3686748,,2129,754715,1018705,1634460,3408977
19-03-2021,Maharashtra,4178758,442920,3167,3622709,556049,1957125,1665128,456,313185,3865573,,2149,773937,1076650,1771002,3622709
20-03-2021,Maharashtra,4404844,413781,2831,3815920,588924,2060334,1755107,479,394596,4010248,,2225,794595,1135547,1884634,3815920
21-03-2021,Maharashtra,4440954,45720,348,3847301,593653,2077416,1769401,484,406716,4034238,,2234,799405,1145864,1900882,3847301
22-03-2021,Maharashtra,4682864,564326,3827,4060919,621945,2191844,1868558,517,481938,4200926,,2250,816090,1200795,2042860,4060919
23-03-2021,Maharashtra,4911726,466945,3027,4262362,649364,2300351,1961476,535,550924,4360802,,2263,836965,1259159,2165039,4262362
24-03-2021,Maharashtra,5164217,545325,3729,4494807,669410,2424948,2069291,568,604161,4560056,,2298,858387,1322357,2312836,4494807
25-03-2021,Maharashtra,5386656,505730,3394,4701964,684692,2538168,2163205,591,643432,4743224,,2332,879850,1380823,2440041,4701964
26-03-2021,Maharashtra,5648523,552180,3793,4944116,704407,2668802,2274706,608,678503,4970020,,2368,906832,1452755,2583251,4944116
27-03-2021,Maharashtra,5881573,510650,3458,5163746,717827,2785993,2377123,630,708937,5172636,,2402,934213,1525615,2702623,5163746
28-03-2021,Maharashtra,5902265,179230,1295,5183711,718554,2797355,2385726,630,712396,5189869,,2412,936994,1532670,2712751,5183711
29-03-2021,Maharashtra,5956802,271970,1875,5235606,721196,2825369,2409604,633,719696,5237106,,2419,942490,1550684,2741130,5235606
30-03-2021,Maharashtra,6156334,531190,3729,5421876,734458,2923002,2498222,652,747431,5408903,,2428,959925,1606988,2853643,5421876
31-03-2021,Maharashtra,6370261,588630,4238,5618555,751706,3028628,2589252,675,771814,5598447,,2487,980249,1669118,2967853,5618555
01-04-2021,Maharashtra,6596079,555664,4044,5833743,762336,3143391,2689657,695,797453,5798626,,2516,995152,1799984,3037257,5833743
02-04-2021,Maharashtra,6960404,584960,4021,6182629,777775,3330683,2851204,742,831611,6128793,,2744,1020675,2018888,3141695,6182629
03-04-2021,Maharashtra,7288572,611805,4223,6496037,792535,3498169,2997098,770,854490,6434082,,2878,1042761,2211668,3240222,6496037
04-04-2021,Maharashtra,7647126,525322,3715,6841397,805729,3682530,3158056,811,876863,6770263,,2898,1061755,2432945,3345300,6841397
05-04-2021,Maharashtra,7989165,752060,5159,7167016,822149,3851303,3314856,857,894246,7094919,,2926,1062609,2631984,3471012,7167016
06-04-2021,Maharashtra,8257040,719948,5124,7421245,835795,3983541,3436823,881,906206,7350834,,2949,1063410,2793603,3562808,7421245
07-04-2021,Maharashtra,8856664,748140,5192,7988151,868513,4285845,3701369,937,938502,7918162,,2996,1065562,3158551,3762597,7988151
