Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Manipur,84604,4930,42,71446,13158,47313,24131,2,0,84604,,61,40407,29730,1263,71446
17-03-2021,Manipur,87642,7300,67,72675,14967,48156,24517,2,0,87642,,61,41046,30192,1391,72675
18-03-2021,Manipur,89359,4300,38,73312,16047,48718,24592,2,0,89359,,61,41348,30494,1423,73312
19-03-2021,Manipur,91987,7150,67,74154,17833,49372,24780,2,0,91987,,61,41784,30846,1477,74154
20-03-2021,Manipur,94867,7150,65,75140,19727,50029,25109,2,0,94867,,61,42277,31278,1539,75140
21-03-2021,Manipur,95182,500,5,75302,19880,50135,25165,2,0,95182,,61,42358,31351,1547,75302
22-03-2021,Manipur,97948,6970,62,76185,21763,50740,25443,2,0,97948,,61,42777,31748,1614,76185
23-03-2021,Manipur,100723,5140,49,77298,23425,51685,25611,2,0,100723,,61,43392,32177,1683,77298
24-03-2021,Manipur,103524,5800,54,78329,25195,52411,25916,2,0,103524,,62,43947,32590,1745,78329
25-03-2021,Manipur,105588,3900,33,78954,26634,52876,26076,2,0,105588,,62,44288,32836,1783,78954
26-03-2021,Manipur,108414,7200,65,79939,28475,53537,26400,2,0,108414,,62,44735,33263,1894,79939
27-03-2021,Manipur,110588,6900,63,80812,29776,54135,26675,2,0,110588,,62,45105,33669,1989,80812
28-03-2021,Manipur,110709,2000,9,80836,29873,54159,26675,2,0,110709,,62,45117,33681,1989,80836
29-03-2021,Manipur,110710,5410,34,80834,29876,54157,26675,2,0,110710,,62,45115,33681,1989,80834
30-03-2021,Manipur,111499,6900,51,81234,30265,54505,26727,2,0,111499,,62,45321,33831,2032,81234
31-03-2021,Manipur,112388,6700,46,81536,30852,54746,26788,2,0,112388,,62,45481,33937,2068,81536
01-04-2021,Manipur,113879,5900,52,82143,31736,55302,26839,2,0,113879,,62,45776,34211,2106,82143
02-04-2021,Manipur,114328,4850,44,82302,32026,55435,26865,2,0,114328,,62,45855,34273,2124,82302
03-04-2021,Manipur,116963,4150,37,83195,33768,56164,27029,2,0,116963,,62,46292,34644,2208,83195
04-04-2021,Manipur,117983,4750,39,83536,34447,56441,27093,2,0,117983,,62,46490,34752,2242,83536
05-04-2021,Manipur,120166,7900,72,84193,35973,56999,27192,2,0,120166,,62,46773,35025,2343,84193
06-04-2021,Manipur,121511,8300,75,84616,36895,57332,27282,2,0,121511,,62,46929,35210,2425,84616
07-04-2021,Manipur,125009,7700,69,85872,39137,58341,27529,2,0,125009,,62,47363,35799,2658,85872
08-04-2021,Manipur,128096,5350,44,86907,41189,59151,27754,2,0,128096,,62,47787,36254,2828,86907
09-04-2021,Manipur,130943,10500,90,88290,42653,60223,28065,2,0,130943,,62,48243,36879,3131,88290
10-04-2021,Manipur,132200,3400,32,88814,43386,60625,28187,2,0,132200,,62,48450,37100,3227,88814
11-04-2021,Manipur,134396,11959,106,90439,43957,61820,28617,2,0,134396,,63,48974,37826,3602,90439
12-04-2021,Manipur,137680,12580,117,92519,45161,63247,29269,3,0,137680,,63,49440,38819,4222,92519
13-04-2021,Manipur,139965,12900,119,94163,45802,64239,29920,4,0,139965,,63,49633,39668,4824,94163
14-04-2021,Manipur,142872,12050,115,96373,46499,65590,30778,5,0,142872,,64,49776,40904,5655,96373
15-04-2021,Manipur,145449,11750,110,97755,47694,66470,31280,5,0,145449,,64,50036,41535,6146,97755
16-04-2021,Manipur,148586,13000,121,99881,48705,67757,32119,5,0,148586,,64,50321,42620,6902,99881
17-04-2021,Manipur,152126,11700,110,102116,50010,69215,32896,5,0,152126,,64,50689,43780,7608,102116
18-04-2021,Manipur,153104,8690,80,102983,50121,69797,33181,5,0,153104,,64,50770,44304,7869,102983
19-04-2021,Manipur,157712,12290,118,106513,51199,71882,34626,5,0,157712,,65,51208,46097,9168,106513
20-04-2021,Manipur,162104,11400,108,109878,52226,73805,36068,5,0,162104,,65,51577,47841,10420,109878
21-04-2021,Manipur,167519,12150,114,114345,53174,76271,38069,5,0,167519,,65,52013,50227,12066,114345
22-04-2021,Manipur,171740,11000,103,117450,54290,78007,39438,5,0,171740,,65,52568,51776,13067,117450
23-04-2021,Manipur,174249,8800,84,119440,54809,79346,40089,5,0,174249,,66,53068,52755,13578,119440
24-04-2021,Manipur,180200,10890,97,124435,55765,82247,42183,5,0,180200,,66,53800,55349,15244,124435
25-04-2021,Manipur,182546,3600,34,126565,55981,83400,43160,5,0,182546,,66,54094,56419,16010,126565
26-04-2021,Manipur,192152,11250,104,134935,57217,87966,46963,6,0,192152,,66,55040,60891,18962,134935
27-04-2021,Manipur,200674,10200,93,142612,58062,91999,50606,7,0,200674,,67,69729,51264,21576,142612
28-04-2021,Manipur,214148,11250,97,155151,58997,98606,56537,8,0,214148,,71,71332,57750,26025,155151
29-04-2021,Manipur,228164,12560,106,168095,60069,105076,63010,9,0,228164,,71,72844,64650,30566,168095
30-04-2021,Manipur,250108,14450,108,188954,61154,115274,73667,13,0,250108,,71,74538,76378,38002,188954
01-05-2021,Manipur,263966,11300,89,202264,61702,121738,80512,14,0,263966,,71,75565,84102,42561,202264
02-05-2021,Manipur,266791,2000,17,205037,61754,122989,82034,14,0,266791,,71,75612,85807,43584,205037
03-05-2021,Manipur,281500,13300,107,218548,62952,129539,88992,17,0,281500,,72,76802,93388,48324,218548
04-05-2021,Manipur,292122,11650,102,228369,63753,134397,93953,19,0,292122,,72,77996,98642,51697,228369
05-05-2021,Manipur,304470,13200,106,239758,64712,140067,99672,19,0,304470,,72,79200,104765,55759,239758
06-05-2021,Manipur,314431,12250,95,248868,65563,144705,104142,21,0,314431,,73,80703,109336,58795,248868
07-05-2021,Manipur,322790,11350,85,256439,66351,148562,107856,21,0,322790,,73,81720,113239,61446,256439
08-05-2021,Manipur,330507,10150,89,263612,66895,152158,111432,22,0,330507,,73,82417,117201,63959,263612
09-05-2021,Manipur,330717,1600,15,263801,66916,152261,111518,22,0,330717,,73,82443,117302,64021,263801
10-05-2021,Manipur,341766,15500,115,273723,68043,157169,116530,24,0,341766,,73,83391,122696,67595,273723
11-05-2021,Manipur,350180,12100,103,281137,69043,160952,120160,25,0,350180,,75,84361,126558,70175,281137
12-05-2021,Manipur,358501,14650,120,289255,69246,164944,124283,28,0,358501,,75,85170,131014,73027,289255
13-05-2021,Manipur,364547,12050,101,295024,69523,167885,127110,29,0,364547,,76,85952,134158,74860,295024
14-05-2021,Manipur,370000,9200,78,300409,69591,170577,129802,30,0,370000,,76,86537,137176,76641,300409
15-05-2021,Manipur,376997,14650,114,307272,69725,174158,133079,35,0,376997,,76,87569,140763,78881,307272
16-05-2021,Manipur,377312,2365,16,307585,69727,174306,133244,35,0,377312,,76,87588,140951,78987,307585
17-05-2021,Manipur,386041,21452,115,316243,69798,178682,137525,36,0,386041,,76,90059,144894,81229,316243
18-05-2021,Manipur,390976,18060,92,321100,69876,181261,139803,36,0,390976,,76,91109,147333,82592,321100
19-05-2021,Manipur,399475,20816,115,329532,69943,185661,143832,39,0,399475,,76,96191,149435,83840,329532
20-05-2021,Manipur,403292,12720,78,333308,69984,187718,145550,40,0,403292,,76,97347,151145,84749,333308
21-05-2021,Manipur,409970,19331,103,339942,70028,191330,148571,41,0,409970,0,76,100976,153086,85809,339942
22-05-2021,Manipur,413778,15602,93,343712,70066,193227,150442,43,0,413778,0,76,102279,154666,86695,343712
23-05-2021,Manipur,413789,1250,12,343723,70066,193235,150445,43,0,413789,0,76,102286,154668,86697,343723
24-05-2021,Manipur,420969,19133,115,350862,70107,197037,153781,44,0,420969,0,76,106698,156322,87768,350862
25-05-2021,Manipur,424213,14555,89,354051,70162,198642,155364,45,0,424213,0,76,108025,157590,88361,354051
26-05-2021,Manipur,435973,20129,126,365796,70177,204873,160870,53,0,435973,0,76,119163,158009,88540,365796
27-05-2021,Manipur,439064,10277,53,368847,70217,206470,162324,53,0,439064,0,76,120734,158943,89084,368847
28-05-2021,Manipur,444143,16077,84,373870,70273,209111,164704,55,0,444143,0,76,123902,160112,89767,373870
29-05-2021,Manipur,451025,15764,76,380689,70336,212663,167969,57,0,451025,0,76,128471,161558,90563,380689
30-05-2021,Manipur,451219,954,8,380882,70337,212773,168052,57,0,451219,0,76,128473,161669,90643,380882
31-05-2021,Manipur,457938,17630,101,387493,70445,216156,171275,62,0,457938,0,76,132641,163249,91500,387493
01-06-2021,Manipur,462332,12195,65,391812,70520,218370,173364,78,0,462332,0,76,135206,164378,92123,391812
02-06-2021,Manipur,469900,16978,112,399272,70628,222336,176843,93,0,469900,0,76,141125,165410,92625,399272
03-06-2021,Manipur,472549,8690,55,401838,70711,223725,178013,100,0,472549,0,76,142924,165913,92888,401838
04-06-2021,Manipur,483199,19379,109,412409,70790,229186,183116,107,0,483199,0,76,151960,166936,93386,412409
05-06-2021,Manipur,492404,16428,87,421488,70916,233837,187541,110,0,492404,0,78,159481,167960,93911,421488
06-06-2021,Manipur,492511,554,5,421595,70916,233882,187603,110,0,492511,0,78,159525,168007,93927,421595
07-06-2021,Manipur,504594,20722,128,433599,70995,239970,193508,121,0,504594,0,78,169567,169320,94554,433599
08-06-2021,Manipur,511639,17038,108,440535,71104,243702,196708,125,0,511639,0,79,175237,170165,94967,440535
09-06-2021,Manipur,522579,22737,127,451370,71209,249589,201649,132,0,522579,0,80,185241,170709,95233,451370
10-06-2021,Manipur,527496,14155,87,456202,71294,252343,203727,132,0,527496,0,80,189255,171318,95440,456202
11-06-2021,Manipur,535179,22600,120,463768,71411,256722,206913,133,0,535179,0,80,195705,172053,95814,463768
12-06-2021,Manipur,537537,8360,40,466105,71432,258139,207832,134,0,537537,0,80,197673,172307,95923,466105
13-06-2021,Manipur,538075,2160,10,466634,71441,258455,208045,134,0,538075,0,80,198073,172391,95966,466634
14-06-2021,Manipur,543694,20773,119,472128,71566,261552,210440,136,0,543694,0,80,202967,172813,96135,472128
15-06-2021,Manipur,548282,16138,91,476657,71625,264134,212386,137,0,548282,0,81,206537,173507,96396,476657
16-06-2021,Manipur,554243,24461,130,482536,71707,267342,215051,143,0,554243,0,82,211856,173895,96558,482536
17-06-2021,Manipur,556448,11859,71,484633,71815,268451,216039,143,0,556448,0,82,213410,174279,96713,484633
18-06-2021,Manipur,561047,20841,115,489047,72000,270740,218163,144,0,561047,0,83,216960,174832,97020,489047
19-06-2021,Manipur,565195,18921,88,493052,72143,272837,220066,149,0,565195,0,83,220273,175274,97269,493052
20-06-2021,Manipur,565710,1843,12,493565,72145,273082,220334,149,0,565710,0,83,220684,175327,97318,493565
21-06-2021,Manipur,572397,34750,119,500102,72295,276452,223501,149,0,572397,0,83,225954,176174,97724,500102
22-06-2021,Manipur,576461,29421,90,504048,72413,278485,225413,150,0,576461,0,83,229185,176694,97916,504048
23-06-2021,Manipur,582812,44995,116,510253,72559,281682,228419,152,0,582812,0,83,234175,177468,98352,510253
24-06-2021,Manipur,588117,33130,83,515401,72716,284492,230755,154,0,588117,0,83,238283,178194,98664,515401
25-06-2021,Manipur,596468,51688,120,523660,72808,339176,257132,160,0,596468,0,83,294421,199646,102401,523660
26-06-2021,Manipur,603780,51819,111,530732,73048,343079,260539,162,0,603780,0,85,300051,200818,102911,530732
27-06-2021,Manipur,606673,11950,37,533606,73067,344745,261766,162,0,606673,0,85,302260,201275,103138,533606
28-06-2021,Manipur,621399,66544,138,548026,73373,352766,268468,165,0,621399,0,86,313540,203664,104195,548026
29-06-2021,Manipur,637207,70485,128,563425,73782,361295,275745,167,0,637207,0,86,325419,206383,105405,563425
