Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Meghalaya,75591,17050,166,61441,14150,35116,26319,6,0,75591,,218,30323,21472,9626,61441
17-03-2021,Meghalaya,79544,15350,141,63623,15921,36280,27337,6,0,79544,,219,30694,22189,10720,63623
18-03-2021,Meghalaya,83678,18600,177,65544,18134,37342,28196,6,0,83678,,219,31073,22909,11542,65544
19-03-2021,Meghalaya,87664,14600,137,67370,20294,38351,29013,6,0,87664,,219,31516,23579,12255,67370
20-03-2021,Meghalaya,89583,8700,82,68157,21426,38852,29298,7,0,89583,,219,31755,23855,12527,68157
21-03-2021,Meghalaya,89631,0,0,68189,21442,38864,29318,7,0,89631,,220,31761,23865,12543,68189
22-03-2021,Meghalaya,93369,16250,161,69870,23499,39726,30137,7,0,93369,,220,32165,24388,13298,69870
23-03-2021,Meghalaya,97710,17550,171,71810,25900,40564,31239,7,0,97710,,221,32446,24991,14352,71810
24-03-2021,Meghalaya,100271,13800,137,73095,27176,41113,31975,7,0,100271,,221,32562,25449,15063,73095
25-03-2021,Meghalaya,104331,19400,191,75260,29071,42127,33126,7,0,104331,,221,32879,26161,16198,75260
26-03-2021,Meghalaya,106715,17000,168,76757,29958,42863,33886,8,0,106715,,221,33100,26702,16933,76757
27-03-2021,Meghalaya,107235,8100,80,77163,30072,43022,34133,8,0,107235,,221,33113,26836,17192,77163
28-03-2021,Meghalaya,107245,7800,72,77173,30072,43029,34136,8,0,107245,,221,33113,26846,17192,77173
29-03-2021,Meghalaya,108601,19250,164,78278,30323,43482,34788,8,0,108601,,221,33208,27240,17808,78278
30-03-2021,Meghalaya,110987,18000,164,79778,31209,44155,35615,8,0,110987,,222,33429,27790,18537,79778
31-03-2021,Meghalaya,112575,16850,153,80790,31785,44606,36176,8,0,112575,,222,33534,28256,18978,80790
01-04-2021,Meghalaya,116161,23280,210,83658,32503,45907,37743,8,0,116161,,222,33711,30141,19784,83658
02-04-2021,Meghalaya,116994,2800,24,84328,32666,46171,38149,8,0,116994,,222,33759,30578,19969,84328
03-04-2021,Meghalaya,118120,9700,90,85243,32877,46604,38631,8,0,118120,,222,33787,31219,20215,85243
04-04-2021,Meghalaya,118451,4300,42,85528,32923,46695,38825,8,0,118451,,222,33775,31429,20302,85528
05-04-2021,Meghalaya,120925,21350,201,87294,33631,47491,39795,8,0,120925,,222,33769,32702,20801,87294
06-04-2021,Meghalaya,122904,22270,206,88683,34221,48089,40586,8,0,122904,,224,33770,33687,21204,88683
07-04-2021,Meghalaya,129112,19950,190,93455,35657,50130,43317,8,0,129112,,227,33845,36913,22675,93455
08-04-2021,Meghalaya,135189,23020,212,98204,36985,52226,45969,9,0,135189,,228,33890,40250,24042,98204
09-04-2021,Meghalaya,139127,19650,187,101170,37957,53553,47608,9,0,139127,,229,33914,42320,24914,101170
10-04-2021,Meghalaya,141326,10100,92,103084,38242,54490,48585,9,0,141326,,229,33936,43691,25435,103084
11-04-2021,Meghalaya,142445,8350,73,104057,38388,54997,49051,9,0,142445,,229,33904,44429,25702,104057
12-04-2021,Meghalaya,146598,21250,190,107560,39038,56737,50814,9,0,146598,,229,33951,46919,26668,107560
13-04-2021,Meghalaya,152825,31150,278,112619,40206,59142,53468,9,0,152825,,229,34131,50331,28135,112619
14-04-2021,Meghalaya,157493,29900,278,116428,41065,60984,55435,9,0,157493,,229,34236,53032,29138,116428
15-04-2021,Meghalaya,163242,33900,282,120703,42539,62871,57821,11,0,163242,,229,34429,55765,30487,120703
16-04-2021,Meghalaya,167533,26150,220,124078,43455,64352,59715,11,0,167533,,230,34490,58115,31451,124078
17-04-2021,Meghalaya,169475,11550,101,125525,43950,64971,60542,12,0,169475,,230,34523,59140,31839,125525
18-04-2021,Meghalaya,169578,9200,91,125611,43967,65012,60587,12,0,169578,,230,34515,59205,31868,125611
19-04-2021,Meghalaya,174722,27000,256,129164,45558,66540,62612,12,0,174722,,230,34620,61631,32890,129164
20-04-2021,Meghalaya,180648,29000,260,133716,46932,68644,65059,13,0,180648,,233,34771,64760,34162,133716
21-04-2021,Meghalaya,185229,28000,259,137342,47887,70343,66986,13,0,185229,,233,34962,67174,35183,137342
22-04-2021,Meghalaya,194508,37050,316,144721,49787,73803,70905,13,0,194508,,233,35458,72123,37115,144721
23-04-2021,Meghalaya,203223,35250,279,151994,51229,77501,74479,14,0,203223,,233,36111,76988,38869,151994
24-04-2021,Meghalaya,209522,35430,212,157665,51857,80233,77418,14,0,209522,,236,36417,80918,40304,157665
25-04-2021,Meghalaya,210172,6100,48,158278,51894,80637,77627,14,0,210172,,236,36483,81377,40392,158278
26-04-2021,Meghalaya,225338,57600,421,171659,53679,87275,84369,15,0,225338,,236,37463,90375,43792,171659
27-04-2021,Meghalaya,242572,69390,493,187409,55163,94885,92508,16,0,242572,,237,47192,92501,47685,187409
28-04-2021,Meghalaya,258617,63630,488,201997,56620,102175,99805,17,0,258617,,240,48909,101786,51271,201997
29-04-2021,Meghalaya,275009,64250,467,216622,58387,109466,107139,17,0,275009,,244,50836,110894,54866,216622
30-04-2021,Meghalaya,290380,59450,464,230464,59916,116434,114013,17,0,290380,,244,53058,119347,58028,230464
01-05-2021,Meghalaya,298016,34600,293,237480,60536,120067,117396,17,0,298016,,245,54736,123328,59385,237480
02-05-2021,Meghalaya,298411,4700,46,237840,60571,120255,117568,17,0,298411,,245,54837,123549,59428,237840
03-05-2021,Meghalaya,307452,41950,369,245544,61908,124170,121356,18,0,307452,,249,56554,128043,60921,245544
04-05-2021,Meghalaya,314897,39620,340,251797,63100,127598,124181,18,0,314897,,252,58413,131302,62056,251797
05-05-2021,Meghalaya,321391,30400,285,257079,64312,130555,126506,18,0,321391,,255,59978,134177,62898,257079
06-05-2021,Meghalaya,330208,41700,378,264289,65919,134409,129860,20,0,330208,,255,62420,137707,64136,264289
07-05-2021,Meghalaya,338720,38600,354,271522,67198,138438,133064,20,0,338720,,256,65249,140920,65327,271522
08-05-2021,Meghalaya,343288,24600,222,275381,67907,140512,134849,20,0,343288,,257,66455,142869,66031,275381
09-05-2021,Meghalaya,343383,1900,12,275458,67925,140552,134886,20,0,343383,,257,66474,142918,66040,275458
10-05-2021,Meghalaya,354169,48200,398,284513,69656,145265,139226,22,0,354169,,257,69727,147187,67573,284513
11-05-2021,Meghalaya,366010,52500,423,294637,71373,150727,143885,25,0,366010,,260,74078,151484,69048,294637
12-05-2021,Meghalaya,376361,47050,426,304094,72267,155976,148092,26,0,376361,,261,78290,155476,70301,304094
13-05-2021,Meghalaya,386756,47450,414,313442,73314,161060,152356,26,0,386756,,264,82666,159137,71611,313442
14-05-2021,Meghalaya,395450,45252,394,321576,73874,165463,156085,28,0,395450,,264,86753,162119,72676,321576
15-05-2021,Meghalaya,400823,27664,247,326762,74061,168275,158458,29,0,400823,,264,89881,163700,73153,326762
16-05-2021,Meghalaya,403743,5411,49,329682,74061,169748,159904,30,0,403743,,266,92325,164008,73321,329682
