Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Mizoram,60487,4200,14,49846,10641,29373,20472,1,0,60487,,417,17076,17270,15485,49846
17-03-2021,Mizoram,61546,2400,7,50734,10812,29817,20916,1,0,61546,,417,17144,17439,16136,50734
18-03-2021,Mizoram,62606,3350,12,51317,11289,30177,21139,1,0,62606,,418,17275,17640,16387,51317
19-03-2021,Mizoram,63610,1870,12,51766,11844,30487,21278,1,0,63610,,419,17395,17794,16562,51766
20-03-2021,Mizoram,64315,850,5,52285,12030,30780,21504,1,0,64315,,421,17439,17877,16954,52285
21-03-2021,Mizoram,64323,100,1,52290,12033,30784,21505,1,0,64323,,422,17441,17879,16955,52290
22-03-2021,Mizoram,65068,2250,7,52737,12331,31154,21582,1,0,65068,,422,17596,18067,17059,52737
23-03-2021,Mizoram,65994,2450,12,53292,12702,31535,21756,1,0,65994,,422,17793,18268,17216,53292
24-03-2021,Mizoram,66383,1100,6,53576,12807,31727,21848,1,0,66383,,422,17860,18379,17322,53576
25-03-2021,Mizoram,67197,1900,11,54238,12959,32167,22070,1,0,67197,,422,17994,18605,17624,54238
26-03-2021,Mizoram,68394,2700,11,55046,13348,32715,22329,2,0,68394,,425,18232,18953,17845,55046
27-03-2021,Mizoram,68478,0,0,55117,13361,32762,22353,2,0,68478,,425,18252,18992,17857,55117
28-03-2021,Mizoram,68478,4380,26,55117,13361,32762,22353,2,0,68478,,425,18252,18992,17857,55117
29-03-2021,Mizoram,68563,5440,32,55127,13436,32770,22355,2,0,68563,,425,18259,18995,17857,55127
30-03-2021,Mizoram,69079,8375,43,55372,13707,32930,22440,2,0,69079,,425,18309,19088,17959,55372
31-03-2021,Mizoram,69467,6950,37,55525,13942,33044,22479,2,0,69467,,425,18330,19166,18013,55525
01-04-2021,Mizoram,70821,4100,22,56300,14521,33456,22842,2,0,70821,,425,18411,19541,18331,56300
02-04-2021,Mizoram,71071,2700,15,56479,14592,33539,22938,2,0,71071,,425,18408,19636,18418,56479
03-04-2021,Mizoram,71115,100,1,56509,14606,33566,22941,2,0,71115,,425,18425,19646,18421,56509
04-04-2021,Mizoram,71104,2400,19,56489,14615,33539,22948,2,0,71104,,430,18411,19636,18425,56489
05-04-2021,Mizoram,72921,7620,41,57385,15536,33940,23443,2,0,72921,,430,18420,20053,18895,57385
06-04-2021,Mizoram,74692,11450,46,58483,16209,34449,24032,2,0,74692,,430,18428,20668,19370,58483
07-04-2021,Mizoram,81395,6500,30,63319,18076,36562,26755,2,0,81395,,430,18448,23775,21079,63319
08-04-2021,Mizoram,86987,6800,29,67481,19506,38486,28993,2,0,86987,,432,18456,26526,22482,67481
09-04-2021,Mizoram,92638,10850,39,71502,21136,40347,31153,2,0,92638,,432,18507,28926,24052,71502
10-04-2021,Mizoram,95185,4100,19,73602,21583,41310,32290,2,0,95185,,432,18563,30351,24671,73602
11-04-2021,Mizoram,95806,2270,11,73831,21975,41391,32438,2,0,95806,,432,18538,30485,24791,73831
12-04-2021,Mizoram,104685,13550,54,80821,23864,44647,36171,3,0,104685,,432,18631,34498,27675,80821
13-04-2021,Mizoram,112978,11450,51,87233,25745,47632,39598,3,0,112978,,446,18808,38530,29878,87233
14-04-2021,Mizoram,123061,11200,50,94676,28385,51060,43613,3,0,123061,,447,18913,42511,33235,94676
15-04-2021,Mizoram,135355,12850,54,105054,30301,55665,49384,5,0,135355,,454,19089,48979,36968,105054
16-04-2021,Mizoram,148073,12920,53,117031,31042,60831,56195,5,0,148073,,456,19436,56385,41191,117031
17-04-2021,Mizoram,153856,5900,27,122168,31688,62986,59177,5,0,153856,,464,19508,59470,43171,122168
18-04-2021,Mizoram,154183,450,4,122419,31764,63134,59280,5,0,154183,,467,19519,59656,43225,122419
19-04-2021,Mizoram,164801,13650,59,131756,33045,67388,64362,6,0,164801,,469,19663,65416,46659,131756
20-04-2021,Mizoram,174363,19650,57,139758,34605,71205,68547,6,0,174363,,469,19794,70165,49781,139758
21-04-2021,Mizoram,180790,16200,49,144492,36298,73668,70818,6,0,180790,,469,20013,72974,51487,144492
22-04-2021,Mizoram,194062,20720,65,156035,38027,79146,76883,6,0,194062,,480,20438,80259,55320,156035
23-04-2021,Mizoram,206177,17500,56,166665,39512,84167,82491,7,0,206177,,493,21278,87234,58134,166665
24-04-2021,Mizoram,211110,8040,29,170765,40345,86195,84563,7,0,211110,,528,21532,89894,59292,170765
25-04-2021,Mizoram,211220,550,4,170856,40364,86239,84610,7,0,211220,,542,21530,89960,59319,170856
26-04-2021,Mizoram,223397,16362,57,181115,42282,91102,90006,7,0,223397,,544,21924,96158,62965,181115
27-04-2021,Mizoram,235041,25810,65,191344,43697,95978,95359,7,0,235041,,545,29137,95973,66165,191344
28-04-2021,Mizoram,243364,16939,49,199452,43912,99905,99540,7,0,243364,,557,29294,101066,69021,199452
29-04-2021,Mizoram,250446,16685,48,206116,44330,103083,103024,9,0,250446,,562,29451,105182,71471,206116
30-04-2021,Mizoram,256067,13050,47,211334,44733,105870,105455,9,0,256067,,566,30297,108176,72848,211334
01-05-2021,Mizoram,258683,5823,16,213866,44817,107117,106740,9,0,258683,,569,30449,109639,73765,213866
02-05-2021,Mizoram,258830,0,0,213944,44886,107163,106772,9,0,258830,,572,30436,109721,73775,213944
03-05-2021,Mizoram,263667,10950,37,218549,45118,109485,109055,9,0,263667,,573,30716,112391,75430,218549
04-05-2021,Mizoram,267561,15500,44,221866,45695,111268,110589,9,0,267561,,592,31382,114302,76170,221866
05-05-2021,Mizoram,271141,11100,35,225232,45909,113033,112190,9,0,271141,,592,31810,116294,77116,225232
06-05-2021,Mizoram,275391,11133,44,229045,46346,115040,113996,9,0,275391,,594,32443,118520,78069,229045
07-05-2021,Mizoram,277545,9915,36,230710,46835,115942,114759,9,0,277545,,611,32676,119508,78513,230710
08-05-2021,Mizoram,278197,2400,12,231165,47032,116223,114933,9,0,278197,,611,32739,119776,78637,231165
09-05-2021,Mizoram,278252,200,1,231200,47052,116257,114934,9,0,278252,,611,32765,119785,78637,231200
10-05-2021,Mizoram,281704,12763,42,232953,48751,117250,115693,10,0,281704,,611,33227,120706,79006,232953
11-05-2021,Mizoram,284591,7700,44,234267,50324,117951,116306,10,0,284591,,611,33405,121538,79310,234267
12-05-2021,Mizoram,286159,10840,50,235691,50468,118730,116951,10,0,286159,,611,33551,122455,79671,235691
13-05-2021,Mizoram,288186,10318,46,237420,50766,119619,117791,10,0,288186,,623,33840,123522,80043,237420
14-05-2021,Mizoram,288999,9200,42,238093,50906,119988,118095,10,0,288999,,628,34021,123873,80184,238093
15-05-2021,Mizoram,289770,6150,30,238803,50967,120413,118379,11,0,289770,,628,34182,124257,80349,238803
16-05-2021,Mizoram,289783,330,3,238816,50967,120416,118389,11,0,289783,,628,34182,124270,80349,238816
17-05-2021,Mizoram,291676,11424,47,240707,50969,121709,118985,13,0,291676,,630,35911,124384,80396,240707
18-05-2021,Mizoram,294300,13400,54,243325,50975,123444,119868,13,0,294300,,665,38060,124732,80513,243325
19-05-2021,Mizoram,297576,9525,33,246598,50978,125843,120742,13,0,297576,,678,40910,125050,80618,246598
