Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Nagaland,53973,6800,57,42008,11965,31110,10897,1,0,53973,,33,20852,16518,4627,42008
17-03-2021,Nagaland,56257,6960,59,43476,12781,32042,11433,1,0,56257,,33,21246,17030,5189,43476
18-03-2021,Nagaland,58558,7000,57,44648,13910,32725,11922,1,0,58558,,33,21512,17502,5623,44648
19-03-2021,Nagaland,60026,2450,18,45526,14500,33337,12187,2,0,60026,,33,21788,17894,5833,45526
20-03-2021,Nagaland,60616,2150,13,45805,14811,33506,12297,2,0,60616,,33,21881,18013,5900,45805
21-03-2021,Nagaland,60847,200,2,45993,14854,33607,12384,2,0,60847,,33,21919,18073,5990,45993
22-03-2021,Nagaland,65231,9400,82,48252,16979,35163,13087,2,0,65231,,33,22642,18841,6756,48252
23-03-2021,Nagaland,68921,8750,67,50722,18199,36523,14195,4,0,68921,,33,23154,19940,7614,50722
24-03-2021,Nagaland,71113,7200,61,51977,19136,37243,14730,4,0,71113,,33,23378,20403,8183,51977
25-03-2021,Nagaland,73282,7700,65,53328,19954,38041,15283,4,0,73282,,33,23662,20938,8715,53328
26-03-2021,Nagaland,73861,2950,26,53766,20095,38273,15489,4,0,73861,,33,23761,21091,8901,53766
27-03-2021,Nagaland,74090,450,4,53903,20187,38353,15546,4,0,74090,,33,23825,21144,8921,53903
28-03-2021,Nagaland,74120,800,8,53931,20189,38370,15557,4,0,74120,,33,23827,21148,8943,53931
29-03-2021,Nagaland,74228,2450,19,54037,20191,38411,15622,4,0,74228,,33,23831,21200,8993,54037
30-03-2021,Nagaland,77812,10770,86,56501,21311,39863,16634,4,0,77812,,33,24296,21998,10194,56501
31-03-2021,Nagaland,79927,7950,67,58021,21906,40707,17310,4,0,79927,,33,24528,22570,10910,58021
01-04-2021,Nagaland,81935,7500,68,59588,22347,41616,17968,4,0,81935,,33,24919,23344,11312,59588
02-04-2021,Nagaland,82335,1200,10,59916,22419,41802,18110,4,0,82335,,33,24987,23506,11410,59916
03-04-2021,Nagaland,82476,800,7,59973,22503,41846,18123,4,0,82476,,33,25009,23527,11424,59973
04-04-2021,Nagaland,82573,3700,27,60027,22546,41892,18131,4,0,82573,,33,25019,23565,11430,60027
05-04-2021,Nagaland,85256,9950,87,61890,23366,42970,18916,4,0,85256,,33,25190,24670,12017,61890
06-04-2021,Nagaland,87452,12000,94,63628,23824,43884,19740,4,0,87452,,33,25294,25694,12627,63628
07-04-2021,Nagaland,93357,11400,93,68608,24749,46320,22282,6,0,93357,,33,25444,28650,14501,68608
08-04-2021,Nagaland,97862,10650,86,72338,25524,48173,24159,6,0,97862,,33,25528,30996,15801,72338
09-04-2021,Nagaland,100533,6850,57,74498,26035,49298,25194,6,0,100533,,33,25673,32311,16501,74498
10-04-2021,Nagaland,101480,3950,28,75334,26146,49778,25550,6,0,101480,,33,25723,32858,16740,75334
11-04-2021,Nagaland,105837,12150,94,79469,26368,51823,27640,6,0,105837,,34,25775,35443,18238,79469
12-04-2021,Nagaland,113933,14900,125,86333,27600,55248,31079,6,0,113933,,34,26205,39541,20573,86333
13-04-2021,Nagaland,120848,16660,141,92497,28351,58368,34123,6,0,120848,,34,26533,43351,22598,92497
14-04-2021,Nagaland,128130,16650,136,98957,29173,61604,37347,6,0,128130,,34,26947,47141,24854,98957
15-04-2021,Nagaland,133050,13750,106,102973,30077,63955,39012,6,0,133050,,34,27538,49427,25993,102973
16-04-2021,Nagaland,137621,11500,85,107176,30445,66187,40983,6,0,137621,,34,27984,51852,27325,107176
17-04-2021,Nagaland,139052,4800,36,108525,30527,66955,41563,7,0,139052,,34,28161,52603,27745,108525
18-04-2021,Nagaland,140107,8050,73,109571,30536,67505,42059,7,0,140107,,34,28193,53259,28103,109571
19-04-2021,Nagaland,148682,20800,164,117085,31597,71815,45262,8,0,148682,,34,29131,57622,30316,117085
20-04-2021,Nagaland,155195,19000,153,122616,32579,74828,47779,9,0,155195,,34,29956,60835,31809,122616
21-04-2021,Nagaland,162415,19050,143,128948,33467,78202,50737,9,0,162415,,34,30370,64582,33980,128948
22-04-2021,Nagaland,169219,17650,132,134903,34316,81342,53552,9,0,169219,,34,30966,67972,35949,134903
23-04-2021,Nagaland,171602,10450,75,136694,34908,82296,54389,9,0,171602,,34,31127,69010,36541,136694
24-04-2021,Nagaland,172279,3150,20,137232,35047,82611,54612,9,0,172279,,34,31249,69274,36693,137232
25-04-2021,Nagaland,172649,2450,17,137582,35067,82794,54779,9,0,172649,,34,31252,69478,36836,137582
26-04-2021,Nagaland,178198,14550,110,141446,36752,84763,56674,9,0,178198,,34,31547,71792,38090,141446
27-04-2021,Nagaland,183201,17700,137,145555,37646,86919,58627,9,0,183201,,34,41720,64629,39189,145555
28-04-2021,Nagaland,189590,19950,139,150753,38837,89641,61101,11,0,189590,,34,42702,67462,40572,150753
29-04-2021,Nagaland,195428,17800,124,155613,39815,92563,63039,11,0,195428,,34,43834,70128,41637,155613
30-04-2021,Nagaland,198817,11900,75,158602,40215,94159,64431,12,0,198817,,34,44368,71814,42405,158602
01-05-2021,Nagaland,199845,7050,36,159555,40290,94635,64908,12,0,199845,,34,44437,72335,42768,159555
02-05-2021,Nagaland,200279,6700,26,159934,40345,94837,65085,12,0,200279,,34,44417,72598,42904,159934
03-05-2021,Nagaland,205316,32350,172,163607,41709,96912,66683,12,0,205316,,34,44867,74699,44026,163607
04-05-2021,Nagaland,209918,32800,172,166102,43816,98273,67817,12,0,209918,,34,45061,76268,44757,166102
05-05-2021,Nagaland,213511,31400,178,168825,44686,99746,69067,12,0,213511,,34,45289,77810,45710,168825
06-05-2021,Nagaland,216162,30700,167,170531,45631,100659,69860,12,0,216162,,34,45423,78844,46248,170531
07-05-2021,Nagaland,218384,13650,86,172092,46292,101653,70427,12,0,218384,,34,45794,79599,46683,172092
08-05-2021,Nagaland,218617,7550,41,172228,46389,101733,70483,12,0,218617,,34,45793,79671,46748,172228
09-05-2021,Nagaland,219061,7900,50,172658,46403,101993,70653,12,0,219061,,34,45791,79928,46923,172658
10-05-2021,Nagaland,223069,17400,129,175150,47919,103439,71699,12,0,223069,,34,46022,81421,47691,175150
11-05-2021,Nagaland,226669,18450,140,177071,49598,104472,72587,12,0,226669,,34,46467,82386,48200,177071
12-05-2021,Nagaland,229033,19200,130,178737,50296,105561,73164,12,0,229033,,34,47119,83095,48505,178737
13-05-2021,Nagaland,232245,17600,116,180874,51371,107080,73782,12,0,232245,,34,48395,83731,48730,180874
14-05-2021,Nagaland,233433,13350,90,181746,51687,107673,74061,12,0,233433,,34,49011,83901,48816,181746
15-05-2021,Nagaland,233825,7050,49,182048,51777,107893,74143,12,0,233825,,34,49209,83992,48829,182048
16-05-2021,Nagaland,234090,1550,9,182306,51784,108050,74244,12,0,234090,,34,49216,84162,48910,182306
17-05-2021,Nagaland,238157,32114,160,186359,51798,110350,75997,12,0,238157,,34,52695,84593,49053,186359
18-05-2021,Nagaland,243561,28720,145,191742,51819,113040,78689,13,0,243561,,35,57389,85091,49243,191742
19-05-2021,Nagaland,245648,29350,161,193820,51828,114137,79670,13,0,245648,,35,58145,86046,49608,193820
20-05-2021,Nagaland,246683,25520,149,194835,51848,114594,80228,13,0,246683,,35,58534,86520,49760,194835
21-05-2021,Nagaland,247243,15490,83,195390,51853,114950,80427,13,0,247243,0,35,58716,86797,49856,195390
22-05-2021,Nagaland,247345,3660,20,195490,51855,115002,80475,13,0,247345,0,35,58716,86869,49884,195490
23-05-2021,Nagaland,247513,2250,16,195658,51855,115088,80557,13,0,247513,0,35,58716,86958,49963,195658
24-05-2021,Nagaland,253384,20815,109,201525,51859,118183,83327,15,0,253384,0,35,64214,87238,50049,201525
25-05-2021,Nagaland,259736,26165,145,207865,51871,121538,86311,16,0,259736,0,35,70219,87479,50139,207865
26-05-2021,Nagaland,260721,22200,122,208836,51885,122131,86689,16,0,260721,0,35,70609,87937,50261,208836
27-05-2021,Nagaland,261506,15885,94,209608,51898,122715,86876,17,0,261506,0,35,71084,88169,50326,209608
28-05-2021,Nagaland,262228,10030,52,210308,51920,123262,87029,17,0,262228,0,35,71511,88365,50403,210308
29-05-2021,Nagaland,262488,4130,16,210558,51930,123442,87099,17,0,262488,0,35,71682,88422,50425,210558
30-05-2021,Nagaland,262571,1970,10,210641,51930,123492,87132,17,0,262571,0,35,71690,88465,50457,210641
31-05-2021,Nagaland,268922,17756,101,216978,51944,126950,90010,18,0,268922,0,35,77355,88971,50617,216978
01-06-2021,Nagaland,274959,20202,116,223006,51953,130041,92947,18,0,274959,0,35,83088,89180,50696,223006
02-06-2021,Nagaland,277162,13418,62,225169,51993,131156,93994,19,0,277162,0,35,84778,89555,50787,225169
03-06-2021,Nagaland,279796,11160,55,227788,52008,132516,95253,19,0,279796,0,35,87073,89832,50834,227788
04-06-2021,Nagaland,281682,7756,45,229634,52048,133555,96060,19,0,281682,0,36,88620,90064,50901,229634
05-06-2021,Nagaland,281890,1582,10,229841,52049,133674,96148,19,0,281890,0,36,88679,90179,50934,229841
06-06-2021,Nagaland,282481,4650,18,230426,52055,134016,96391,19,0,282481,0,36,89116,90284,50977,230426
07-06-2021,Nagaland,291666,22844,127,239568,52098,138790,100757,21,0,291666,0,36,97609,90764,51138,239568
08-06-2021,Nagaland,301511,25446,148,249356,52155,143879,105451,26,0,301511,0,36,106714,91283,51287,249356
09-06-2021,Nagaland,312189,28749,152,260001,52188,149229,110745,27,0,312189,0,36,116522,91920,51477,260001
10-06-2021,Nagaland,320312,24933,129,268004,52308,153536,114440,28,0,320312,0,38,123400,92780,51738,268004
11-06-2021,Nagaland,329360,27191,126,277015,52345,158251,118729,35,0,329360,0,39,131132,93754,52038,277015
12-06-2021,Nagaland,332870,11308,49,280522,52348,160253,120234,35,0,332870,0,39,133975,94241,52214,280522
13-06-2021,Nagaland,336121,13890,53,283761,52360,161989,121737,35,0,336121,0,39,136505,94715,52448,283761
14-06-2021,Nagaland,349528,33222,155,297104,52424,169238,127828,38,0,349528,0,39,148334,95863,52807,297104
15-06-2021,Nagaland,361734,32826,151,309229,52505,175680,133512,37,0,361734,0,39,159010,96973,53143,309229
16-06-2021,Nagaland,373071,32525,153,320460,52611,181724,138698,38,0,373071,0,39,168421,98363,53567,320460
17-06-2021,Nagaland,382540,29054,127,329664,52876,186802,142822,40,0,382540,0,39,176427,99278,53848,329664
18-06-2021,Nagaland,392226,29783,129,339208,53018,192007,147159,42,0,392226,0,39,184487,100439,54165,339208
19-06-2021,Nagaland,395022,13120,45,341974,53048,193659,148272,43,0,395022,0,39,186875,100745,54237,341974
20-06-2021,Nagaland,399370,35950,91,346298,53072,196111,150144,43,0,399370,0,39,190336,101355,54489,346298
21-06-2021,Nagaland,409572,54640,127,356362,53210,201609,154709,44,0,409572,0,39,199258,102169,54803,356362
22-06-2021,Nagaland,419911,48453,133,366444,53467,207236,159162,46,0,419911,0,39,208191,103036,55079,366444
23-06-2021,Nagaland,430786,46518,116,376992,53794,213155,163789,48,0,430786,0,39,217534,103991,55311,376992
24-06-2021,Nagaland,440810,44136,115,386200,54610,218487,167664,49,0,440810,0,39,225435,104980,55610,386200
25-06-2021,Nagaland,452837,44790,107,398041,54796,262809,189975,53,0,452837,0,40,263651,122319,66867,398041
26-06-2021,Nagaland,458432,16320,37,403587,54845,266077,192302,53,0,458432,0,44,268549,122875,67008,403587
27-06-2021,Nagaland,462512,35865,58,407643,54869,268333,194125,54,0,462512,0,44,271839,123408,67265,407643
28-06-2021,Nagaland,475119,52516,125,419127,55992,275338,199723,58,0,475119,0,44,281683,125417,68019,419127
29-06-2021,Nagaland,487762,54767,138,429862,57900,282477,205225,60,0,487762,0,44,291005,127747,69010,429862
30-06-2021,Nagaland,500218,43766,122,440344,59874,289536,210621,61,0,500218,0,44,299978,130157,70083,440344
01-07-2021,Nagaland,509293,41163,107,447302,61991,294655,214575,63,0,509293,0,44,305872,132336,71085,447302
