Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Odisha,1270396,166180,963,972659,297737,505677,466873,109,93737,1176659,,43,255042,253494,463723,972659
17-03-2021,Odisha,1380895,148450,872,1076777,304118,564072,512583,122,104608,1276287,,43,256790,263105,556478,1076777
18-03-2021,Odisha,1471638,175550,1041,1161063,310575,610350,550579,134,108202,1363436,,45,258558,270074,632023,1161063
19-03-2021,Odisha,1565021,175620,1044,1247971,317050,657339,590482,150,111416,1453605,,46,260431,277813,709325,1247971
20-03-2021,Odisha,1661845,167710,1029,1339420,322425,706460,632798,162,116242,1545603,,46,262235,286518,790265,1339420
21-03-2021,Odisha,1691518,3900,29,1367960,323558,721167,646630,163,117168,1574350,,46,262624,289310,815623,1367960
22-03-2021,Odisha,1750576,175920,1078,1423067,327509,750724,672177,166,121097,1629479,,47,263859,294968,863838,1423067
23-03-2021,Odisha,1855753,167074,1030,1521647,334106,803047,718422,178,126630,1729123,,47,266195,305856,949191,1521647
24-03-2021,Odisha,1916772,154340,953,1579476,337296,834037,745256,183,131227,1785545,,49,267612,312451,999009,1579476
25-03-2021,Odisha,1988898,169460,1054,1646834,342064,870010,776634,190,135538,1853360,,50,269703,320455,1056266,1646834
26-03-2021,Odisha,2054400,164123,1029,1708797,345603,903215,805386,196,139181,1915219,,56,271164,327685,1109534,1708797
27-03-2021,Odisha,2125480,146940,925,1777232,348248,938249,838778,205,144057,1981423,,56,272653,335875,1168286,1777232
28-03-2021,Odisha,2136507,26660,155,1788115,348392,943670,844238,207,144072,1992435,,56,272749,337034,1177913,1788115
29-03-2021,Odisha,2137175,44710,238,1788762,348413,943964,844591,207,144071,1993104,,56,272750,337055,1178538,1788762
30-03-2021,Odisha,2216101,200060,1152,1859488,356613,981145,878132,211,148318,2067783,,56,273782,344100,1241185,1859488
31-03-2021,Odisha,2297640,199194,1151,1931226,366414,1018679,912332,215,152752,2144888,,59,275217,353272,1302314,1931226
01-04-2021,Odisha,2383139,228471,1314,2010503,372636,1060908,949373,222,157272,2225867,,60,276008,399413,1334660,2010503
02-04-2021,Odisha,2600813,236360,1355,2216025,384788,1166206,1049569,250,166547,2434266,,63,277904,535209,1402485,2216025
03-04-2021,Odisha,2788139,232955,1362,2393427,394712,1255279,1137875,273,174118,2614021,,74,279063,656044,1457891,2393427
04-04-2021,Odisha,3069354,249034,1301,2663583,405771,1390656,1272623,304,184918,2884436,,90,280043,843081,1540027,2663583
05-04-2021,Odisha,3208252,272239,1536,2793731,414521,1456017,1337385,329,191897,3016355,,103,280112,931476,1581712,2793731
06-04-2021,Odisha,3375907,225961,1297,2952028,423879,1534662,1417014,352,199932,3175975,,109,280172,1036290,1635136,2952028
07-04-2021,Odisha,3565852,170998,1025,3129687,436165,1625286,1504028,373,213800,3352052,,116,280288,1153723,1695247,3129687
08-04-2021,Odisha,3763100,210060,1214,3311254,451846,1718161,1592685,408,229599,3533501,,121,280487,1275552,1754783,3311254
09-04-2021,Odisha,3950514,272626,1502,3480440,470074,1803350,1676650,440,242664,3707850,,123,281214,1391664,1807129,3480440
10-04-2021,Odisha,4087959,217921,1195,3604413,483546,1865611,1738339,463,255805,3832154,,131,281947,1475646,1846397,3604413
11-04-2021,Odisha,4210619,236114,1275,3715949,494670,1921614,1793847,488,264397,3946222,,132,282545,1550815,1882166,3715949
12-04-2021,Odisha,4351791,252939,1388,3839733,512058,1983292,1855933,508,273915,4077876,,144,283739,1630978,1924590,3839733
13-04-2021,Odisha,4441397,212850,1175,3919536,521861,2024693,1894320,523,281385,4160012,,150,284583,1681215,1953312,3919536
14-04-2021,Odisha,4526576,230520,1323,3991742,534834,2063315,1927895,532,287672,4238904,,150,285502,1729124,1976692,3991742
15-04-2021,Odisha,4675143,269530,1481,4111307,563836,2125632,1985129,546,295282,4379861,,153,286860,1806802,2017218,4111307
16-04-2021,Odisha,4791946,243300,1349,4205256,586690,2173899,2030789,568,304688,4487258,,155,288452,1866000,2050377,4205256
17-04-2021,Odisha,4863969,162920,826,4260933,603036,2203169,2057188,576,313935,4550034,,163,289746,1901332,2069423,4260933
18-04-2021,Odisha,4928619,219195,1202,4310037,618582,2229125,2080324,588,319190,4609429,,164,290635,1933638,2085333,4310037
19-04-2021,Odisha,5068071,270489,1484,4409637,658434,2281998,2127029,610,328090,4739981,,176,292297,1996997,2119909,4409637
20-04-2021,Odisha,5190262,249170,1348,4495861,694401,2329171,2166063,627,336030,4854232,,180,294450,2050869,2150106,4495861
21-04-2021,Odisha,5303528,241920,1353,4577788,725740,2373936,2203203,649,343883,4959645,,180,296383,2102593,2178375,4577788
22-04-2021,Odisha,5394733,229674,1304,4642130,752603,2411040,2230429,661,350608,5044125,,181,299049,2142582,2200063,4642130
23-04-2021,Odisha,5508466,228065,1311,4720273,788193,2453778,2265820,675,362141,5146325,,183,301881,2192649,2225304,4720273
24-04-2021,Odisha,5526978,74070,429,4733651,793327,2460996,2271979,676,362400,5164578,,184,302545,2200676,2229990,4733651
25-04-2021,Odisha,5530079,57380,333,4735952,794127,2462245,2273030,677,362409,5167670,,184,302888,2201892,2230732,4735952
26-04-2021,Odisha,5615286,225330,1296,4789048,826238,2491130,2297232,686,374977,5240309,,187,305076,2235519,2248011,4789048
27-04-2021,Odisha,5691740,212310,1238,4837588,854152,2518139,2318758,691,385280,5306460,,188,391387,2181676,2264079,4837588
28-04-2021,Odisha,5741648,179820,1047,4867136,874512,2534184,2332259,693,394324,5347324,,188,393949,2198745,2273996,4867136
29-04-2021,Odisha,5778140,183415,1092,4889024,889116,2546616,2341714,694,405665,5372475,,188,396984,2211061,2280574,4889024
30-04-2021,Odisha,5856695,238425,1352,4928197,928498,2568280,2359215,702,419555,5437140,,188,400918,2235201,2291671,4928197
01-05-2021,Odisha,5871726,184020,958,4938147,933579,2573879,2363566,702,421482,5450244,,188,402250,2240594,2294896,4938147
02-05-2021,Odisha,5874337,143430,862,4939787,934550,2574854,2364231,702,421843,5452494,,190,401571,2242376,2295466,4939787
03-05-2021,Odisha,5920244,193900,1109,4958904,961340,2585827,2372370,707,435162,5485082,,190,409257,2249466,2299806,4958904
04-05-2021,Odisha,5951030,147870,883,4974065,976965,2594485,2378866,714,449638,5501392,,192,416963,2254155,2302569,4974065
05-05-2021,Odisha,5975193,144150,764,4987030,988163,2602038,2384278,714,466208,5508985,,192,425040,2257767,2303845,4987030
06-05-2021,Odisha,6028359,152725,776,5006410,1021949,2613400,2392291,719,482968,5545391,,192,433961,2264839,2307229,5006410
07-05-2021,Odisha,6115427,192365,984,5032726,1082701,2628610,2403392,724,500886,5614541,,192,443147,2275219,2313978,5032726
08-05-2021,Odisha,6190506,220476,978,5056397,1134109,2642208,2413461,728,517626,5672880,,193,451478,2284847,2319689,5056397
09-05-2021,Odisha,6199403,65100,358,5060884,1138519,2644814,2415341,729,521943,5677460,,194,453008,2286717,2320776,5060884
10-05-2021,Odisha,6344014,205170,1130,5094833,1249181,2663746,2430353,734,539533,5804481,,195,462150,2300827,2331430,5094833
11-05-2021,Odisha,6457266,163240,855,5135650,1321616,2687070,2447837,743,559309,5897957,,196,482847,2312325,2340022,5135650
12-05-2021,Odisha,6522664,138640,829,5170331,1352333,2706783,2462799,749,579528,5943136,,196,501232,2322838,2345793,5170331
13-05-2021,Odisha,6575980,148145,836,5202998,1372982,2725586,2476660,752,598680,5977300,,200,524735,2328984,2348795,5202998
14-05-2021,Odisha,6625243,131355,754,5229023,1396220,2740078,2488187,758,617426,6007817,,202,541084,2335793,2351645,5229023
15-05-2021,Odisha,6661562,157565,768,5256185,1405377,2755958,2499465,762,633354,6028208,,204,559999,2342045,2353606,5256185
16-05-2021,Odisha,6662987,48640,300,5257596,1405391,2756760,2500073,763,634743,6028244,,204,561384,2342065,2353612,5257596
17-05-2021,Odisha,6723547,170247,782,5310623,1412924,2787181,2522662,780,655060,6068487,,210,587585,2362679,2359786,5310623
18-05-2021,Odisha,6830272,237804,1113,5410278,1419994,2845902,2563577,799,674880,6155392,,212,626066,2409551,2374034,5410278
19-05-2021,Odisha,6905443,176835,880,5478370,1427073,2886371,2591191,808,694461,6210982,,220,661769,2434763,2381162,5478370
20-05-2021,Odisha,6965104,156619,777,5532870,1432234,2918071,2613971,828,709774,6255330,,228,695352,2451288,2385533,5532870
21-05-2021,Odisha,7015983,145399,729,5579295,1436688,2945097,2633364,834,724179,6291804,0,233,727457,2462473,2388649,5579295
22-05-2021,Odisha,7101273,171255,788,5660022,1441251,2990838,2668329,855,737476,6363797,0,234,758587,2499480,2401211,5660022
23-05-2021,Odisha,7116916,41279,184,5675506,1441410,2999275,2675374,857,737836,6379080,0,234,763554,2507513,2403684,5675506
24-05-2021,Odisha,7229111,256766,1088,5783311,1445800,3059472,2722957,882,750798,6478313,0,239,824945,2542796,2414761,5783311
25-05-2021,Odisha,7326673,226798,895,5877636,1449037,3113602,2763128,906,760432,6566241,0,247,899586,2558098,2419103,5877636
26-05-2021,Odisha,7376765,140995,631,5927514,1449251,3142678,2783913,923,760432,6616333,0,249,940358,2565110,2421187,5927514
27-05-2021,Odisha,7479227,203888,774,6025025,1454202,3198822,2825262,941,772787,6706440,0,251,1016927,2580891,2426315,6025025
28-05-2021,Odisha,7603639,231370,867,6139613,1464026,3263997,2874649,967,794093,6809546,0,254,1096384,2607480,2434796,6139613
29-05-2021,Odisha,7708912,181950,765,6238288,1470624,3319846,2917450,992,812151,6896761,0,260,1162802,2631241,2443215,6238288
30-05-2021,Odisha,7727970,28655,65,6257322,1470648,3330950,2925372,1000,812156,6915814,0,262,1179750,2632743,2443784,6257322
31-05-2021,Odisha,7857798,247686,1190,6380707,1477091,3398688,2980982,1037,827516,7030282,0,263,1211643,2700783,2467177,6380707
01-06-2021,Odisha,7962783,219024,1067,6479679,1483104,3451951,3026678,1050,842623,7120160,0,265,1226566,2761942,2490041,6479679
02-06-2021,Odisha,8035993,191842,863,6549112,1486881,3490212,3057833,1067,847259,7188734,0,267,1236496,2804698,2506773,6549112
03-06-2021,Odisha,8110698,192400,898,6619136,1491562,3528347,3089681,1108,853397,7257301,0,270,1249450,2845160,2523362,6619136
04-06-2021,Odisha,8201860,223270,990,6703769,1498091,3573712,3128930,1127,860879,7340981,0,272,1258292,2899227,2545059,6703769
05-06-2021,Odisha,8283001,204631,883,6778101,1504900,3613482,3163472,1147,868674,7414327,0,277,1265709,2946060,2565119,6778101
06-06-2021,Odisha,8296256,22924,116,6791199,1505057,3620650,3169400,1149,868695,7427561,0,277,1267013,2954303,2568669,6791199
07-06-2021,Odisha,8462518,311195,1292,6938186,1524332,3700967,3236034,1185,885641,7576877,0,281,1343477,3003570,2589852,6938186
08-06-2021,Odisha,8613888,293597,1210,7068512,1545376,3772584,3294707,1221,904297,7709591,0,286,1412294,3046357,2608532,7068512
09-06-2021,Odisha,8749836,278350,1120,7183142,1566694,3836036,3345862,1244,923549,7826287,0,290,1472974,3082989,2625796,7183142
10-06-2021,Odisha,8806405,157631,645,7225627,1580778,3860563,3363809,1255,938820,7867585,0,291,1490566,3099970,2633675,7225627
11-06-2021,Odisha,8905797,226177,898,7298756,1607041,3900054,3397430,1272,961191,7944606,0,292,1517751,3131517,2648031,7298756
12-06-2021,Odisha,8977717,172319,728,7347971,1629746,3926006,3420687,1278,985033,7992684,0,292,1534506,3154259,2657721,7347971
13-06-2021,Odisha,8987379,17156,76,7356287,1631092,3930233,3424777,1277,985958,8001421,0,292,1536488,3158526,2659770,7356287
14-06-2021,Odisha,9061121,203737,774,7407091,1654030,3957890,3447900,1301,1007911,8053210,0,292,1556611,3178808,2670120,7407091
15-06-2021,Odisha,9186151,270666,958,7503538,1682613,4010456,3491772,1310,1036416,8149735,0,292,1610597,3205864,2685483,7503538
16-06-2021,Odisha,9350452,339987,1219,7631412,1719040,4079269,3550811,1332,1064750,8285702,0,298,1680382,3242785,2706608,7631412
17-06-2021,Odisha,9506300,326356,1203,7756546,1749754,4146605,3608578,1363,1093193,8413107,0,302,1754930,3275427,2724495,7756546
18-06-2021,Odisha,9656101,317649,1160,7882328,1773773,4216658,3664249,1421,1121331,8534770,0,304,1843352,3299562,2737649,7882328
19-06-2021,Odisha,9825907,349030,1150,8019234,1806673,4292815,3724965,1454,1151610,8674297,0,308,1929839,3331886,2755663,8019234
20-06-2021,Odisha,9846132,42524,107,8037617,1808515,4303135,3733024,1458,1151609,8694523,0,308,1942331,3335744,2757686,8037617
21-06-2021,Odisha,10149548,642921,1605,8309521,1840027,4452565,3855436,1520,1179838,8969710,0,309,2159504,3372413,2775542,8309521
22-06-2021,Odisha,10441470,545003,1402,8574489,1866981,4595343,3977550,1596,1203707,9237763,0,310,2381499,3401262,2789481,8574489
23-06-2021,Odisha,10765825,620389,1489,8874332,1891493,4757785,4114888,1659,1231078,9534747,0,311,2636260,3432437,2803184,8874332
24-06-2021,Odisha,11052797,490068,1374,9126091,1926706,4895210,4229144,1737,1257668,9795129,0,313,2848966,3459802,2814722,9126091
25-06-2021,Odisha,11295459,493458,1118,9327880,1967579,6096587,5196860,2012,1285888,10009571,0,320,3469146,4100665,3725648,9327880
26-06-2021,Odisha,11539203,426432,1105,9516596,2022607,6231856,5305292,2055,1315832,10223371,0,325,3632978,4155709,3750516,9516596
27-06-2021,Odisha,11571633,32837,127,9541199,2030434,6248808,5320767,2058,1315992,10255641,0,325,3653036,4164028,3754569,9541199
28-06-2021,Odisha,11832106,576607,1281,9732379,2099727,6387475,5442521,2110,1348640,10483466,0,327,3821155,4229709,3781242,9732379
29-06-2021,Odisha,11960777,242822,616,9824050,2136727,6457357,5501273,2147,1379866,10580827,84,328,3903371,4261758,3795648,9824050
30-06-2021,Odisha,12016338,120149,303,9868098,2148240,6488649,5525516,2173,1405898,10610330,110,332,3944311,4272195,3799832,9868098
01-07-2021,Odisha,12055072,93490,217,9899612,2155460,6511476,5541416,2180,1431691,10623160,221,335,3974470,4278756,3801846,9899612
02-07-2021,Odisha,12089892,82263,196,9927123,2162769,6531919,5555785,2188,1455488,10634103,301,336,4000944,4285192,3803756,9927123
03-07-2021,Odisha,12202018,198549,474,9995817,2206201,6592588,5607223,2207,1483084,10718564,370,337,4061580,4322234,3818204,9995817
04-07-2021,Odisha,12237284,71699,178,10017218,2220066,6611155,5623915,2214,1483093,10753821,370,337,4079449,4334680,3823155,10017218
05-07-2021,Odisha,12586866,657837,1696,10217642,2369224,6794467,5790116,2283,1518447,11067984,435,337,4249899,4464339,3872628,10217642
06-07-2021,Odisha,12923503,645161,1649,10418842,2504661,6967605,5953553,2345,1559054,11363948,501,347,4414489,4583405,3925609,10418842
