Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Puducherry,32136,7100,37,27876,4260,15179,12695,2,0,32136,,11,10903,9159,7788,27876
17-03-2021,Puducherry,36669,7150,38,32194,4475,17454,14737,3,0,36669,,11,11889,10348,9930,32194
18-03-2021,Puducherry,39618,7150,38,34800,4818,18906,15891,3,0,39618,,11,12637,11245,10889,34800
19-03-2021,Puducherry,42192,7100,36,36968,5224,20063,16902,3,0,42192,,11,13346,11945,11648,36968
20-03-2021,Puducherry,45828,7000,38,40127,5701,21511,18612,4,0,45828,,11,14777,12848,12472,40127
21-03-2021,Puducherry,45978,0,0,40268,5710,21591,18673,4,0,45978,,11,14817,12907,12514,40268
22-03-2021,Puducherry,48951,5900,39,43031,5920,22945,20082,4,0,48951,,11,15636,13749,13615,43031
23-03-2021,Puducherry,52280,5900,38,46116,6164,24502,21610,4,38,52242,,11,16697,14695,14691,46116
24-03-2021,Puducherry,56958,6100,37,50684,6274,26685,23995,4,74,56884,,12,18682,16073,15891,50684
25-03-2021,Puducherry,59759,6000,36,53365,6394,28045,25315,5,74,59685,,12,19304,17100,16923,53365
26-03-2021,Puducherry,62652,6100,37,56090,6562,29410,26675,5,74,62578,,12,20337,17928,17787,56090
27-03-2021,Puducherry,64971,6100,36,58304,6667,30460,27839,5,74,64897,,12,20851,18807,18607,58304
28-03-2021,Puducherry,65161,2300,13,58488,6673,30555,27928,5,74,65087,,12,20860,18862,18727,58488
29-03-2021,Puducherry,67152,8050,39,60388,6764,31537,28846,5,74,67078,,12,21143,19516,19690,60388
30-03-2021,Puducherry,71126,12500,37,64226,6900,33373,30847,6,74,71052,,12,22989,20631,20566,64226
31-03-2021,Puducherry,74753,9900,36,67621,7132,35209,32405,7,74,74679,,12,24453,21640,21488,67621
01-04-2021,Puducherry,77091,7400,36,69782,7309,36355,33419,8,74,77017,,12,24897,22688,22157,69782
02-04-2021,Puducherry,78346,7450,33,70861,7485,36927,33926,8,74,78272,,12,25138,23268,22414,70861
03-04-2021,Puducherry,81940,11350,37,74261,7679,38784,35468,9,74,81866,,12,26532,24666,23019,74261
04-04-2021,Puducherry,83745,5800,31,75948,7797,39729,36210,9,74,83671,,12,27322,25344,23237,75948
05-04-2021,Puducherry,85304,7600,37,77297,8007,40449,36839,9,74,85230,,12,27352,26163,23737,77297
06-04-2021,Puducherry,85827,7500,36,77736,8091,40682,37045,9,74,85753,,12,27374,26452,23865,77736
07-04-2021,Puducherry,87366,7700,37,79066,8300,41379,37678,9,74,87292,,12,27431,27205,24385,79066
08-04-2021,Puducherry,90173,7800,39,81449,8724,42669,38770,10,74,90099,,12,27503,28523,25378,81449
09-04-2021,Puducherry,93170,8100,38,83995,9175,44105,39879,11,74,93096,,12,27609,29983,26348,83995
10-04-2021,Puducherry,96811,6900,41,87196,9615,45854,41331,11,74,96737,,12,27776,31970,27393,87196
11-04-2021,Puducherry,103620,10550,62,93853,9767,49329,44512,12,74,103546,,12,27837,35817,30142,93853
12-04-2021,Puducherry,114625,12500,65,104283,10342,54522,49748,13,74,114551,,12,28061,41859,34306,104283
13-04-2021,Puducherry,129315,13400,64,118447,10868,61515,56917,15,74,129241,,12,28538,50007,39845,118447
14-04-2021,Puducherry,138227,14150,62,127116,11111,65715,61386,15,74,138153,,12,28628,55217,43214,127116
15-04-2021,Puducherry,148463,14900,64,136506,11957,69841,66648,17,74,148389,,12,28971,60518,46959,136506
16-04-2021,Puducherry,157568,14700,64,144696,12872,73651,71028,17,74,157494,,13,29454,65114,50070,144696
17-04-2021,Puducherry,163838,13700,63,150119,13719,76011,74090,18,74,163764,,13,29779,68212,52070,150119
18-04-2021,Puducherry,165720,13500,64,151720,14000,76763,74937,20,74,165646,,13,29820,69249,52593,151720
19-04-2021,Puducherry,168746,12600,60,153689,15057,77727,75942,20,74,168672,,13,30091,70219,53321,153689
20-04-2021,Puducherry,170884,13400,65,155023,15861,78365,76638,20,74,170810,,14,30218,70927,53820,155023
21-04-2021,Puducherry,173842,10600,64,157027,16815,79304,77703,20,74,173768,,14,30588,71855,54526,157027
22-04-2021,Puducherry,176632,10700,65,158784,17848,80120,78643,21,74,176558,,15,30709,72837,55180,158784
23-04-2021,Puducherry,179593,10800,65,160575,19018,81029,79525,21,74,179519,,15,30975,73759,55783,160575
24-04-2021,Puducherry,181793,9700,57,161889,19904,81699,80169,21,74,181719,,16,31121,74562,56149,161889
25-04-2021,Puducherry,182376,10400,60,162241,20135,81880,80340,21,74,182302,,16,31156,74776,56252,162241
26-04-2021,Puducherry,185241,15000,62,163596,21645,82629,80945,22,74,185167,,16,31413,75434,56692,163596
27-04-2021,Puducherry,187897,12600,63,164814,23083,83266,81526,22,74,187823,,16,37629,70056,57073,164814
28-04-2021,Puducherry,190808,9800,59,166115,24693,83924,82169,22,74,190734,,16,37883,70664,57512,166115
29-04-2021,Puducherry,193958,10000,61,167707,26251,84738,82947,22,74,193884,,18,38110,71521,58025,167707
30-04-2021,Puducherry,197864,10600,63,169488,28376,85599,83867,22,74,197790,,18,38551,72376,58509,169488
01-05-2021,Puducherry,199568,15020,65,170421,29147,86044,84355,22,74,199494,,18,38649,72922,58798,170421
02-05-2021,Puducherry,200100,9500,55,170746,29354,86191,84533,22,74,200026,,18,38627,73163,58905,170746
03-05-2021,Puducherry,202793,9900,60,171878,30915,86779,85077,22,74,202719,,19,38815,73714,59298,171878
04-05-2021,Puducherry,204860,9000,57,172686,32174,87228,85435,23,74,204786,,19,39019,74098,59517,172686
05-05-2021,Puducherry,207774,9700,57,173767,34007,87766,85978,23,74,207700,,19,39299,74574,59842,173767
06-05-2021,Puducherry,210910,10300,62,174826,36084,88331,86472,23,74,210836,,19,39562,75053,60159,174826
07-05-2021,Puducherry,214047,9900,59,175852,38195,88898,86931,23,74,213973,,19,39826,75563,60412,175852
08-05-2021,Puducherry,216758,9900,60,176721,40037,89319,87379,23,74,216684,,19,40031,76007,60632,176721
09-05-2021,Puducherry,217269,9600,54,176917,40352,89425,87469,23,74,217195,,19,40062,76108,60696,176917
10-05-2021,Puducherry,220887,10500,62,178079,42808,90037,88019,23,74,220813,,19,40293,76649,61086,178079
11-05-2021,Puducherry,223390,11200,60,178838,44552,90444,88371,23,74,223316,,19,40491,77028,61268,178838
12-05-2021,Puducherry,225487,13000,59,179489,45998,90812,88654,23,74,225413,,19,40652,77364,61422,179489
13-05-2021,Puducherry,228252,13100,57,180489,47763,91318,89148,23,74,228178,,19,40886,77880,61672,180489
14-05-2021,Puducherry,230849,13300,60,181667,49182,91975,89669,23,74,230775,,19,41167,78508,61941,181667
15-05-2021,Puducherry,233493,14000,64,183038,50455,92689,90326,23,74,233419,,19,41542,79185,62258,183038
16-05-2021,Puducherry,234107,15194,54,183604,50503,93012,90569,23,74,234033,,19,41728,79452,62371,183604
17-05-2021,Puducherry,235311,16030,56,184667,50644,93560,91084,23,74,235237,,19,41948,80014,62652,184667
18-05-2021,Puducherry,236280,16160,59,185565,50715,94075,91467,23,74,236206,,19,42142,80478,62892,185565
19-05-2021,Puducherry,237296,14160,59,186539,50757,94618,91898,23,74,237222,,19,42334,81032,63120,186539
20-05-2021,Puducherry,239946,14862,60,189131,50815,96153,92955,23,74,239872,,19,43915,81764,63397,189131
21-05-2021,Puducherry,242269,15699,62,191439,50830,97471,93945,23,74,242195,0,19,45536,82241,63604,191439
22-05-2021,Puducherry,244618,15279,60,193758,50860,98753,94982,23,74,244544,0,19,47059,82810,63830,193758
23-05-2021,Puducherry,246119,15025,57,195225,50894,99578,95624,23,74,246045,0,19,48351,82939,63875,195225
24-05-2021,Puducherry,248922,15639,60,197993,50929,101119,96850,24,74,248848,0,19,50132,83624,64177,197993
25-05-2021,Puducherry,251483,15919,61,200518,50965,102536,97956,26,74,251409,0,19,52073,84065,64318,200518
