Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Punjab,411080,95750,736,338578,72502,218611,119950,17,20515,390565,,86,107826,130106,100469,338578
17-03-2021,Punjab,466103,101510,783,390818,75285,248975,141824,19,27711,438392,,87,111279,142833,136524,390818
18-03-2021,Punjab,496341,114820,888,417939,78402,265178,152740,21,31628,464713,,88,115220,151895,150637,417939
19-03-2021,Punjab,530257,127405,990,448570,81687,283314,165230,26,36231,494026,,88,119674,162414,166284,448570
20-03-2021,Punjab,567812,133075,1026,483574,84238,303395,180150,29,41177,526635,,88,125137,175548,182686,483574
21-03-2021,Punjab,578775,83350,647,494076,84699,309474,184573,29,42780,535995,,88,126664,180175,187032,494076
22-03-2021,Punjab,613264,133108,1058,525293,87971,327294,197967,32,46729,566535,,89,131360,191228,202490,525293
23-03-2021,Punjab,649345,133900,1065,558275,91070,346181,212060,34,51280,598065,,90,136875,204051,217130,558275
24-03-2021,Punjab,681673,133000,1047,588402,93271,363826,224539,37,54469,627204,,90,140916,214508,232756,588402
25-03-2021,Punjab,719040,137320,1097,623062,95978,383660,239360,42,57748,661292,,91,145771,226953,250109,623062
26-03-2021,Punjab,755002,130605,1067,657164,97838,403646,253473,45,60930,694072,,91,150818,241773,264338,657164
27-03-2021,Punjab,802200,141310,1125,702391,99809,428611,273730,50,63722,738478,,91,159033,261369,281740,702391
28-03-2021,Punjab,821912,115675,901,721557,100355,439718,281782,57,64477,757435,,91,162546,270231,288523,721557
29-03-2021,Punjab,842376,130650,1021,741177,101199,450817,290303,57,65127,777249,,91,165472,278346,297099,741177
30-03-2021,Punjab,892969,197150,1496,788634,104335,478084,310488,62,67138,825831,,91,173317,297726,317319,788634
31-03-2021,Punjab,944534,217750,1739,836310,108224,506033,330212,65,68748,875786,,92,181939,318025,336057,836310
01-04-2021,Punjab,1004421,290775,2343,892880,111541,538731,354074,75,70684,933737,,92,191034,346202,355342,892880
02-04-2021,Punjab,1076831,311957,2131,961706,115125,579781,381842,83,72956,1003875,,92,202351,380691,378350,961706
03-04-2021,Punjab,1152514,364832,2292,1033601,118913,622631,410881,89,75058,1077456,,93,214034,417037,402205,1033601
04-04-2021,Punjab,1237974,351380,2181,1116418,121556,670370,445942,106,76834,1161140,,94,221470,462199,432404,1116418
05-04-2021,Punjab,1310252,408680,2626,1184561,125691,708672,475777,112,78049,1232203,,94,222128,499594,462493,1184561
06-04-2021,Punjab,1354171,420950,2750,1226129,128042,731981,494033,115,78889,1275282,,94,222546,522770,480464,1226129
07-04-2021,Punjab,1469287,395455,2774,1334736,134551,792437,542169,130,81609,1387678,,97,223227,582327,528829,1334736
08-04-2021,Punjab,1570863,403296,2845,1430914,139949,844326,586454,134,83179,1487684,,97,223663,634561,572333,1430914
09-04-2021,Punjab,1672525,412700,3029,1526823,145702,897127,629552,144,84878,1587647,,97,225771,687388,613304,1526823
10-04-2021,Punjab,1769540,408751,2949,1618233,151307,945976,672103,154,86894,1682646,,97,228148,737388,652333,1618233
