Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Rajasthan,3222996,660114,2833,2751567,471429,1504301,1246933,333,283600,2939396,,244,516827,561173,1672222,2751567
17-03-2021,Rajasthan,3624763,708999,3032,3045459,579304,1655199,1389887,373,312125,3312638,,250,528828,607445,1907825,3045459
18-03-2021,Rajasthan,3686399,194670,976,3093912,592487,1679748,1413783,381,319641,3366758,,253,530733,616355,1945460,3093912
19-03-2021,Rajasthan,3936959,710107,3217,3315225,621734,1788395,1526415,415,327954,3609005,,257,537297,651006,2125547,3315225
20-03-2021,Rajasthan,4180576,674526,3097,3546499,634077,1899686,1646370,443,331638,3848938,,261,542285,690709,2312126,3546499
21-03-2021,Rajasthan,4219462,69150,294,3584419,635043,1917754,1666217,448,332116,3887346,,261,542875,698742,2341421,3584419
22-03-2021,Rajasthan,4395920,703779,3271,3755021,640899,2000672,1753879,470,334418,4061502,,264,546343,725952,2481335,3755021
23-03-2021,Rajasthan,4641690,664998,3177,3995543,646147,2114680,1880377,486,337497,4304193,,267,550702,767991,2675450,3995543
24-03-2021,Rajasthan,4864027,667697,3230,4213791,650236,2217917,1995369,505,339380,4524647,,270,554477,807464,2850447,4213791
25-03-2021,Rajasthan,4936175,315400,1441,4282590,653585,2251349,2030726,515,341110,4595065,,274,556480,821286,2903420,4282590
26-03-2021,Rajasthan,5145466,740114,3408,4487127,658339,2349585,2137000,542,343376,4802090,,274,560393,862260,3063063,4487127
27-03-2021,Rajasthan,5333240,642295,3141,4671741,661499,2436831,2234343,567,344893,4988347,,276,563879,904170,3202273,4671741
28-03-2021,Rajasthan,5341604,182394,806,4680019,661585,2440674,2238775,570,344911,4996693,,277,563976,906517,3208107,4680019
29-03-2021,Rajasthan,5341595,199720,833,4680010,661585,2440662,2238778,570,344910,4996685,,277,563970,906516,3208105,4680010
30-03-2021,Rajasthan,5434584,738471,3322,4756460,678124,2477850,2278029,581,345708,5088876,,280,565474,923343,3266222,4756460
31-03-2021,Rajasthan,5570248,755551,3414,4866824,703424,2531489,2334732,603,347210,5223038,,281,567812,950981,3346601,4866824
01-04-2021,Rajasthan,5740300,798525,3397,5013880,726420,2609025,2404234,621,348954,5391346,,287,570249,1049936,3392252,5013880
02-04-2021,Rajasthan,6080050,845915,3641,5313549,766501,2760765,2552130,654,352408,5727642,,291,573731,1261744,3476625,5313549
03-04-2021,Rajasthan,6369889,741601,3507,5568003,801886,2889210,2678111,682,355537,6014352,,296,576842,1438475,3551236,5568003
04-04-2021,Rajasthan,6802269,814378,3565,5958784,843485,3084650,2873395,739,360390,6441879,,305,579231,1713875,3664226,5958784
05-04-2021,Rajasthan,7140844,985230,4365,6257503,883341,3229952,3026773,778,364815,6776029,,308,579483,1917362,3759205,6257503
06-04-2021,Rajasthan,7456232,1007765,4594,6542132,914100,3369101,3172210,821,367699,7088533,,320,579669,2112737,3848269,6542132
07-04-2021,Rajasthan,8149121,932773,4228,7175412,973709,3675847,3498656,909,375787,7773334,,328,579996,2550085,4043870,7175412
08-04-2021,Rajasthan,8802577,913200,4047,7767712,1034865,3954578,3812144,990,384033,8418544,,349,580274,2956577,4229395,7767712
09-04-2021,Rajasthan,9242464,1021361,4487,8164413,1078051,4142607,4020764,1042,392807,8849657,,357,582172,3226660,4354109,8164413
10-04-2021,Rajasthan,9563597,737480,3333,8448722,1114875,4276726,4170906,1090,406725,9156872,,366,584066,3422052,4441133,8448722
11-04-2021,Rajasthan,9715559,755450,3314,8581755,1133804,4342828,4237808,1119,419409,9296150,,368,584666,3513556,4482063,8581755
12-04-2021,Rajasthan,9924376,847609,3722,8758751,1165625,4428336,4329262,1153,435841,9488535,,378,585747,3632866,4538670,8758751
13-04-2021,Rajasthan,10080259,905490,3938,8885930,1194329,4490062,4394703,1165,443043,9637216,,379,586294,3715993,4582175,8885930
14-04-2021,Rajasthan,10223602,603620,2798,8996238,1227364,4543719,4451331,1188,449571,9774031,,379,586728,3787486,4620558,8996238
15-04-2021,Rajasthan,10357687,843904,3907,9093355,1264332,4593132,4499024,1199,459984,9897703,,380,587658,3848292,4655941,9093355
16-04-2021,Rajasthan,10522686,833373,3843,9206593,1316093,4648129,4557254,1210,472184,10050502,,386,589161,3919390,4696577,9206593
17-04-2021,Rajasthan,10696255,525550,2501,9330653,1365602,4712539,4616890,1224,482336,10213919,,387,590379,4000411,4738393,9330653
18-04-2021,Rajasthan,10883172,862716,4009,9457932,1425240,4777265,4679435,1232,490276,10392896,,387,591249,4082305,4782907,9457932
19-04-2021,Rajasthan,11190106,1024569,4933,9659550,1530556,4878583,4779687,1280,507024,10683082,,394,594175,4206264,4857633,9659550
20-04-2021,Rajasthan,11450316,964799,4707,9828071,1622245,4963543,4863225,1303,521341,10928975,,402,596807,4309932,4919853,9828071
21-04-2021,Rajasthan,11649150,733859,3602,9952126,1697024,5026114,4924689,1323,530945,11118205,,402,598405,4387012,4965231,9952126
22-04-2021,Rajasthan,11834881,893013,4330,10068970,1765911,5084570,4983057,1343,547308,11287573,,411,601034,4461480,5004970,10068970
23-04-2021,Rajasthan,12009834,857427,4142,10178146,1831688,5140847,5035933,1366,564359,11445475,,412,604388,4529947,5042320,10178146
24-04-2021,Rajasthan,12207116,588150,2988,10298265,1908851,5201166,5095715,1384,577931,11629185,,412,607187,4607386,5082192,10298265
25-04-2021,Rajasthan,12347726,538980,2674,10388394,1959332,5246928,5140063,1403,586354,11761372,,412,608950,4666028,5111910,10388394
26-04-2021,Rajasthan,12541830,803097,3925,10507761,2034069,5308015,5198328,1418,595246,11946584,,415,612450,4741079,5152716,10507761
27-04-2021,Rajasthan,12659945,756451,3650,10578840,2081105,5345296,5232108,1436,603228,12056717,,416,778402,4622013,5176907,10578840
28-04-2021,Rajasthan,12811445,619911,3078,10669656,2141789,5392437,5275772,1447,615176,12196269,,418,783319,4678242,5206576,10669656
29-04-2021,Rajasthan,12936289,607850,3028,10745384,2190905,5431773,5312156,1455,626969,12309320,,425,788316,4725257,5230492,10745384
30-04-2021,Rajasthan,13021948,692001,3238,10797155,2224793,5460840,5334849,1466,640765,12381183,,425,793056,4757106,5245660,10797155
01-05-2021,Rajasthan,13084309,746370,3648,10835900,2248409,5482092,5352336,1472,654958,12429351,,426,798436,4781108,5255021,10835900
02-05-2021,Rajasthan,13173409,575794,2795,10894243,2279166,5515534,5377230,1479,663156,12510253,,427,821050,4807878,5264033,10894243
03-05-2021,Rajasthan,13351069,836605,4129,11008158,2342911,5581571,5425088,1499,676497,12674572,,429,875404,4849642,5281828,11008158
04-05-2021,Rajasthan,13497182,831495,4039,11108037,2389145,5640432,5466078,1527,690074,12807108,,432,934240,4878611,5293886,11108037
05-05-2021,Rajasthan,13626322,876934,4117,11195379,2430943,5692350,5501488,1541,703252,12923070,,434,988266,4902645,5303168,11195379
06-05-2021,Rajasthan,13736919,727695,3412,11266670,2470249,5734197,5530910,1563,715559,13021360,,436,1029519,4924146,5311699,11266670
07-05-2021,Rajasthan,13891493,628568,3094,11346992,2544501,5779245,5566171,1576,727581,13163912,,436,1063817,4956556,5325312,11346992
08-05-2021,Rajasthan,14086593,719757,3464,11435174,2651419,5827059,5606528,1587,742510,13344083,,438,1090913,5000844,5342110,11435174
09-05-2021,Rajasthan,14177991,363240,1782,11498654,2679337,5863900,5633158,1596,750745,13427246,,440,1136838,5013696,5346808,11498654
10-05-2021,Rajasthan,14374162,506323,2457,11636945,2737217,5948412,5686907,1626,769632,13604530,,444,1238272,5040858,5356394,11636945
11-05-2021,Rajasthan,14626660,534296,2734,11777805,2848855,6032949,5743188,1668,783988,13842672,,445,1322364,5082652,5371241,11777805
12-05-2021,Rajasthan,14811519,568792,2949,11907840,2903679,6111049,5795095,1696,799889,14011630,,455,1388421,5129426,5388312,11907840
13-05-2021,Rajasthan,14934512,389790,2166,11987039,2947473,6157626,5827702,1711,810885,14123627,,455,1428824,5156324,5400122,11987039
14-05-2021,Rajasthan,14991949,299595,1647,12027499,2964450,6181222,5844560,1717,818326,14173623,,455,1454470,5167435,5403802,12027499
15-05-2021,Rajasthan,15135482,450827,2429,12151403,2984079,6254687,5894955,1761,828697,14306785,,456,1559952,5181411,5408122,12151403
16-05-2021,Rajasthan,15249948,359188,1733,12264148,2985800,6324309,5938050,1789,832498,14417450,,457,1658738,5192335,5411047,12264148
17-05-2021,Rajasthan,15414928,618261,2978,12424705,2990223,6421150,6001737,1818,840830,14574098,,460,1776901,5225982,5419605,12424705
18-05-2021,Rajasthan,15544817,558254,2724,12550082,2994735,6495121,6053116,1845,848193,14696624,,461,1861143,5258910,5427654,12550082
19-05-2021,Rajasthan,15625438,508806,2589,12624961,3000477,6540324,6082770,1867,856353,14769085,,462,1911650,5278724,5432084,12624961
20-05-2021,Rajasthan,15709931,422544,1991,12703604,3006327,6588269,6113431,1904,866754,14843177,,462,1966391,5297922,5436618,12703604
21-05-2021,Rajasthan,15819042,448515,2109,12802925,3016117,6648812,6152189,1924,882926,14936116,0,463,2040519,5317838,5441661,12802925
22-05-2021,Rajasthan,15944503,555419,2807,12918449,3026054,6716293,6200218,1938,898359,15046144,0,464,2119884,5346451,5449020,12918449
23-05-2021,Rajasthan,16036018,432979,2345,13005679,3030339,6767979,6235750,1950,905846,15130172,0,465,2178162,5369549,5454763,13005679
24-05-2021,Rajasthan,16186100,572942,2955,13146014,3040086,6849895,6294132,1987,920851,15265249,0,467,2274869,5404167,5463574,13146014
25-05-2021,Rajasthan,16287494,453422,2271,13236338,3051156,6901382,6332954,2002,936032,15351462,0,468,2327993,5433041,5471765,13236338
26-05-2021,Rajasthan,16367035,506125,2574,13307746,3059289,6941842,6363889,2015,946830,15420205,0,468,2363524,5461492,5479037,13307746
27-05-2021,Rajasthan,16429431,368471,1819,13364120,3065311,6972882,6389212,2026,956652,15472779,0,470,2385895,5488356,5486076,13364120
28-05-2021,Rajasthan,16554847,453420,2063,13476246,3078601,7036042,6438147,2057,1024764,15530083,0,472,2454647,5522259,5495428,13476246
29-05-2021,Rajasthan,16759793,511228,2366,13668689,3091104,7145733,6520864,2092,1156837,15602956,0,474,2584820,5570246,5509377,13668689
30-05-2021,Rajasthan,16865658,390967,1536,13767364,3098294,7201378,6563874,2112,1218555,15647103,0,476,2646119,5599050,5517802,13767364
31-05-2021,Rajasthan,17016331,676781,2614,13900165,3116166,7273533,6624498,2134,1272840,15743491,0,478,2695231,5663531,5536862,13900165
01-06-2021,Rajasthan,17124031,618417,2360,13990636,3133395,7322339,6666148,2149,1306014,15818017,0,479,2723756,5711169,5551103,13990636
02-06-2021,Rajasthan,17240714,741871,2584,14090093,3150621,7374811,6713115,2167,1329533,15911181,0,482,2745626,5770092,5569704,14090093
03-06-2021,Rajasthan,17334159,639364,2189,14169376,3164783,7415624,6751567,2185,1348134,15986025,0,482,2763645,5816255,5584728,14169376
04-06-2021,Rajasthan,17488910,819075,2957,14298417,3190493,7482414,6813762,2241,1374031,16114879,0,482,2785808,5896614,5611132,14298417
