Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Sikkim,50954,4880,24,42816,8138,24070,18741,5,0,50954,,177,14771,10291,17744,42816
17-03-2021,Sikkim,54631,7400,41,46124,8507,25843,20276,5,0,54631,,182,14936,10988,20190,46124
18-03-2021,Sikkim,57312,7110,39,48290,9022,26911,21374,5,0,57312,,184,15049,11515,21716,48290
19-03-2021,Sikkim,59889,5210,28,50370,9519,27973,22392,5,0,59889,,185,15146,12090,23123,50370
20-03-2021,Sikkim,61649,3850,21,51788,9861,28737,23046,5,0,61649,,185,15218,12395,24164,51788
21-03-2021,Sikkim,61716,0,0,51854,9862,28778,23071,5,0,61716,,185,15216,12408,24219,51854
22-03-2021,Sikkim,64495,5200,28,53523,10972,29656,23862,5,0,64495,,187,15323,12774,25414,53523
23-03-2021,Sikkim,67281,5550,31,55534,11747,30675,24854,5,0,67281,,187,15419,13174,26929,55534
24-03-2021,Sikkim,69288,4800,29,57257,12031,31566,25686,5,0,69288,,189,15567,13545,28133,57257
25-03-2021,Sikkim,71024,5250,29,58846,12178,32379,26461,6,0,71024,,190,15669,13940,29224,58846
26-03-2021,Sikkim,72788,5250,28,60509,12279,33221,27282,6,0,72788,,190,15790,14440,30266,60509
27-03-2021,Sikkim,72814,500,3,60535,12279,33236,27293,6,0,72814,,190,15785,14460,30277,60535
28-03-2021,Sikkim,72815,1050,5,60536,12279,33237,27293,6,0,72815,,191,15785,14460,30278,60536
29-03-2021,Sikkim,72815,950,6,60536,12279,33237,27293,6,0,72815,,192,15785,14460,30278,60536
30-03-2021,Sikkim,73752,3420,21,61317,12435,33654,27657,6,0,73752,,192,15845,14646,30813,61317
31-03-2021,Sikkim,74191,4600,21,61697,12494,33864,27827,6,0,74191,,192,15887,14757,31040,61697
01-04-2021,Sikkim,77314,6890,36,64678,12636,35319,29352,7,0,77314,,194,15918,17303,31443,64678
02-04-2021,Sikkim,78293,1200,4,65631,12662,35798,29826,7,0,78293,,195,15922,18133,31562,65631
03-04-2021,Sikkim,78880,1700,9,66218,12662,36108,30103,7,0,78880,,195,15908,18653,31643,66218
04-04-2021,Sikkim,79192,800,3,66530,12662,36263,30260,7,0,79192,,195,15901,18956,31659,66530
05-04-2021,Sikkim,82059,6990,38,69217,12842,37475,31734,8,0,82059,,195,15779,21239,32185,69217
06-04-2021,Sikkim,85747,9450,54,72723,13024,39241,33474,8,0,85747,,196,15761,24257,32690,72723
07-04-2021,Sikkim,94426,10270,55,80892,13534,43424,37458,10,0,94426,,198,15636,31228,34013,80892
08-04-2021,Sikkim,104473,12950,72,90081,14392,48224,41846,11,0,104473,,198,15613,38882,35571,90081
09-04-2021,Sikkim,112414,11950,68,97386,15028,52111,45263,12,0,112414,,200,15598,45008,36765,97386
10-04-2021,Sikkim,115201,8100,40,99963,15238,53501,46450,12,0,115201,,201,15609,47139,37200,99963
11-04-2021,Sikkim,117171,5880,28,101795,15376,54514,47269,12,0,117171,,202,15607,48675,37498,101795
12-04-2021,Sikkim,125831,13380,70,109886,15945,58712,51160,14,0,125831,,205,15719,54937,39215,109886
13-04-2021,Sikkim,135455,12850,72,118962,16493,63554,55393,15,0,135455,,208,15689,62133,41125,118962
14-04-2021,Sikkim,141777,12660,71,124532,17245,66641,57875,16,0,141777,,208,15680,66445,42392,124532
15-04-2021,Sikkim,148555,13810,76,130118,18437,69669,60433,16,0,148555,,208,15776,70727,43600,130118
16-04-2021,Sikkim,155241,13050,75,135490,19751,72614,62859,17,0,155241,,208,15874,74784,44817,135490
17-04-2021,Sikkim,160123,9100,50,139394,20729,74811,64566,17,0,160123,,208,15926,77799,45654,139394
18-04-2021,Sikkim,161058,5750,31,140119,20939,75242,64859,18,0,161058,,208,15927,78345,45832,140119
19-04-2021,Sikkim,166609,12350,67,143952,22657,77319,66615,18,0,166609,,208,16036,81043,46858,143952
20-04-2021,Sikkim,171123,13050,66,146868,24255,78909,67938,21,0,171123,,210,16097,83025,47731,146868
21-04-2021,Sikkim,172465,8350,41,147787,24678,79409,68357,21,0,172465,,211,16127,83722,47923,147787
22-04-2021,Sikkim,177162,13650,74,149886,27276,80504,69361,21,0,177162,,212,16153,85112,48606,149886
23-04-2021,Sikkim,182621,12450,68,152278,30343,81780,70477,21,0,182621,,213,16181,86446,49638,152278
24-04-2021,Sikkim,185449,10400,53,153579,31870,82518,71040,21,0,185449,,214,16237,87240,50089,153579
25-04-2021,Sikkim,185895,4200,21,153939,31956,82716,71202,21,0,185895,,214,16244,87486,50196,153939
26-04-2021,Sikkim,189953,12000,63,155696,34257,83649,72026,21,0,189953,,214,16284,88578,50821,155696
27-04-2021,Sikkim,193834,11380,62,157168,36666,84481,72666,21,0,193834,,215,19796,86030,51329,157168
28-04-2021,Sikkim,196919,10400,56,158440,38479,85196,73223,21,0,196919,,216,19907,86771,51749,158440
29-04-2021,Sikkim,200586,11500,57,159827,40759,85982,73824,21,0,200586,,216,19933,87558,52324,159827
30-04-2021,Sikkim,203966,10900,55,161083,42883,86706,74356,21,0,203966,,217,19974,88292,52804,161083
01-05-2021,Sikkim,204960,4900,28,161364,43596,86858,74485,21,0,204960,,217,19985,88476,52890,161364
02-05-2021,Sikkim,204990,2900,15,161376,43614,86866,74489,21,0,204990,,217,19975,88498,52894,161376
03-05-2021,Sikkim,207754,8500,52,162016,45738,87204,74791,21,0,207754,,217,20022,88803,53182,162016
04-05-2021,Sikkim,210281,8500,56,162666,47615,87549,75096,21,0,210281,,217,20052,89208,53397,162666
05-05-2021,Sikkim,212688,10700,63,163194,49494,87847,75326,21,0,212688,,217,20110,89444,53631,163194
06-05-2021,Sikkim,215456,12050,72,164073,51383,88344,75708,21,0,215456,,217,20176,89974,53914,164073
07-05-2021,Sikkim,218368,11100,68,164598,53770,88646,75931,21,0,218368,,217,20250,90185,54154,164598
08-05-2021,Sikkim,219141,6100,37,164772,54369,88741,76010,21,0,219141,,217,20246,90285,54232,164772
09-05-2021,Sikkim,219312,900,6,164805,54507,88758,76026,21,0,219312,,217,20245,90311,54240,164805
10-05-2021,Sikkim,221248,10000,57,165201,56047,88980,76199,22,0,221248,,217,20332,90489,54370,165201
11-05-2021,Sikkim,222448,9100,55,165440,57008,89096,76322,22,0,222448,,217,20349,90639,54441,165440
12-05-2021,Sikkim,223154,9500,52,165669,57485,89228,76419,22,0,223154,,217,20388,90748,54522,165669
