Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Tamil Nadu,1423843,423030,3437,1282816,141027,620171,662519,126,40810,1383033,,73,322414,540610,418950,1282816
17-03-2021,Tamil Nadu,1581558,444380,3573,1429800,151758,697116,732543,141,53377,1528181,,76,337968,596277,494681,1429800
18-03-2021,Tamil Nadu,1695339,461790,3653,1533516,161823,751309,782055,152,68471,1626868,,77,352791,641931,537882,1533516
19-03-2021,Tamil Nadu,1814949,500350,3899,1642080,172869,807514,834405,161,89414,1725535,,78,368572,691503,581071,1642080
20-03-2021,Tamil Nadu,1941168,543740,4310,1757406,183762,866260,890975,171,119795,1821373,,78,386626,745519,624307,1757406
21-03-2021,Tamil Nadu,1988556,408710,3120,1801246,187310,888940,912132,174,138934,1849622,,78,394846,767452,637988,1801246
22-03-2021,Tamil Nadu,2085366,579005,4594,1889774,195592,935356,954239,179,168271,1917095,,82,407952,806084,674759,1889774
23-03-2021,Tamil Nadu,2217917,583120,4630,2011826,206091,999552,1012083,191,217158,2000759,,82,429721,861452,719630,2011826
24-03-2021,Tamil Nadu,2317475,590990,4676,2105533,211942,1049036,1056302,195,258964,2058511,,83,444533,903357,756597,2105533
25-03-2021,Tamil Nadu,2422220,602240,4783,2204055,218165,1100794,1103055,206,295526,2126694,,83,459325,947779,795893,2204055
26-03-2021,Tamil Nadu,2527792,617041,4885,2302650,225142,1152730,1149696,224,322886,2204906,,83,475284,994093,832176,2302650
27-03-2021,Tamil Nadu,2632190,605970,4792,2401267,230923,1203922,1197107,238,345673,2286517,,84,492512,1042225,865414,2401267
28-03-2021,Tamil Nadu,2653179,543590,3811,2421436,231743,1214411,1206786,239,350269,2302910,,84,495841,1052585,871891,2421436
29-03-2021,Tamil Nadu,2748044,669210,4938,2509568,238476,1258748,1250570,250,366211,2381833,,84,508103,1092063,908271,2509568
30-03-2021,Tamil Nadu,2829551,648260,4922,2583284,246267,1295951,1287074,259,378779,2450772,,84,519616,1125509,937014,2583284
31-03-2021,Tamil Nadu,2905435,657690,4946,2650411,255024,1329998,1320150,263,390439,2514996,,85,529975,1155390,963878,2650411
01-04-2021,Tamil Nadu,2965312,596320,4468,2703180,262132,1357225,1345688,267,398362,2566950,,85,537339,1181454,983213,2703180
02-04-2021,Tamil Nadu,3046904,597370,4523,2774534,272370,1393809,1380453,272,410098,2636806,,85,547546,1217971,1007821,2774534
03-04-2021,Tamil Nadu,3101889,588890,4462,2821427,280462,1418172,1402974,281,417195,2684694,,85,554007,1242126,1024090,2821427
04-04-2021,Tamil Nadu,3141884,550710,4079,2855222,286662,1435695,1419242,285,423427,2718457,,85,557695,1260859,1035458,2855222
05-04-2021,Tamil Nadu,3187087,625230,4692,2892174,294913,1454548,1437337,289,429313,2757774,,85,558032,1281579,1051351,2892174
06-04-2021,Tamil Nadu,3219359,606290,4595,2918808,300551,1468052,1450465,291,434314,2785045,,85,558301,1297088,1062207,2918808
07-04-2021,Tamil Nadu,3280537,636020,4829,2967647,312890,1492854,1474497,296,443519,2837018,,86,558714,1324370,1083351,2967647
08-04-2021,Tamil Nadu,3400924,639010,4932,3061151,339773,1540934,1519910,307,459339,2941585,,86,559387,1374899,1125652,3061151
09-04-2021,Tamil Nadu,3532446,661150,5057,3166812,365634,1598360,1568125,327,475882,3056564,,87,561815,1435320,1168465,3166812
10-04-2021,Tamil Nadu,3665295,628960,4861,3274164,391131,1657055,1616775,334,492256,3173039,,88,564030,1500643,1208278,3274164
11-04-2021,Tamil Nadu,3714682,617770,4769,3316055,398627,1680666,1635052,337,500185,3214497,,89,564869,1526893,1223081,3316055
12-04-2021,Tamil Nadu,3880228,654291,5133,3449290,430938,1753902,1695027,361,517200,3363028,,89,568091,1605441,1274549,3449290
13-04-2021,Tamil Nadu,4019326,660880,5169,3565954,453372,1821956,1743614,384,532413,3486913,,90,571908,1676744,1316094,3565954
14-04-2021,Tamil Nadu,4110125,648770,5096,3641043,469082,1866609,1774045,389,542671,3567454,,90,574452,1722775,1342605,3641043
15-04-2021,Tamil Nadu,4315785,673000,5229,3801731,514054,1953686,1847635,410,563954,3751831,,91,578668,1816091,1405758,3801731
16-04-2021,Tamil Nadu,4528836,664911,5249,3966587,562249,2043812,1922344,431,590463,3938373,,95,584458,1914345,1466567,3966587
17-04-2021,Tamil Nadu,4669044,621790,4900,4063643,605401,2096168,1967033,442,613357,4055687,,100,589328,1972383,1500712,4063643
18-04-2021,Tamil Nadu,4710862,637202,5010,4090953,619909,2110947,1979559,447,624338,4086524,,101,590756,1988812,1510164,4090953
19-04-2021,Tamil Nadu,4813376,668830,5279,4147072,666304,2140772,2005846,454,654271,4159105,,101,594251,2019843,1531756,4147072
20-04-2021,Tamil Nadu,4892064,674276,5337,4187565,704499,2162999,2024108,458,682404,4209660,,103,597311,2042371,1546660,4187565
21-04-2021,Tamil Nadu,4965564,668784,5300,4223251,742313,2182481,2040308,462,708301,4257263,,103,600209,2062235,1559583,4223251
