Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Telangana,722573,88470,595,507868,214705,272223,235602,43,96697,625876,,166,205955,176024,125542,507868
17-03-2021,Telangana,845902,79060,527,630011,215891,336026,293923,62,111405,734497,,230,207730,205713,216215,630011
18-03-2021,Telangana,878581,81890,564,661459,217122,352520,308874,65,117598,760983,,251,209569,216283,235253,661459
19-03-2021,Telangana,906927,85820,582,688667,218260,367119,321481,67,123264,783663,,255,211489,225952,250871,688667
20-03-2021,Telangana,939941,72150,482,720396,219545,383390,336934,72,131175,808766,,270,213895,238469,267674,720396
21-03-2021,Telangana,943919,8850,58,724262,219657,385366,338822,74,132510,811409,,272,214173,240316,269415,724262
22-03-2021,Telangana,979723,95000,679,758722,221001,403367,355273,82,138480,841243,,297,216031,252805,289528,758722
23-03-2021,Telangana,1016879,90950,645,793939,222940,422067,371783,89,145967,870912,,322,218732,266522,308322,793939
24-03-2021,Telangana,1051931,76500,525,828174,223757,440210,387870,94,154960,896971,,322,220971,279669,327168,828174
25-03-2021,Telangana,1093196,97300,689,867030,226166,460950,405981,99,163997,929199,,325,224063,294198,348399,867030
26-03-2021,Telangana,1134829,108552,781,905529,229300,481284,424144,101,173631,961198,,325,227416,309894,367847,905529
27-03-2021,Telangana,1171066,83450,608,940796,230270,499785,440903,108,181227,989839,,326,230312,325718,384392,940796
28-03-2021,Telangana,1173165,23800,143,942868,230297,500837,441923,108,181541,991624,,326,230439,326748,385307,942868
29-03-2021,Telangana,1186001,64970,375,955419,230582,507289,448022,108,184164,1001837,,326,231287,332471,391284,955419
30-03-2021,Telangana,1231006,146920,948,997601,233405,529413,468076,112,188577,1042429,,331,233794,349649,413776,997601
31-03-2021,Telangana,1267237,138097,851,1030664,236573,546656,483891,117,191982,1075255,,331,236090,363260,430930,1030664
01-04-2021,Telangana,1317924,157600,1120,1077830,240094,571707,505993,130,195556,1122368,,333,237922,390227,449293,1077830
02-04-2021,Telangana,1384865,155901,1119,1140121,244744,604985,534994,142,199274,1185591,,334,240543,428505,470684,1140121
03-04-2021,Telangana,1434779,134950,1045,1185843,248936,628999,556695,149,201697,1233082,,335,242735,455798,486919,1185843
04-04-2021,Telangana,1478863,144101,1070,1227030,251833,650825,576047,158,205151,1273712,,338,244568,482299,499769,1227030
05-04-2021,Telangana,1534833,168210,1222,1278480,256353,677183,601131,166,208067,1326766,,338,244692,512896,520497,1278480
06-04-2021,Telangana,1573611,172291,1256,1313584,260027,694979,618428,177,210995,1362616,,338,244791,534194,534203,1313584
07-04-2021,Telangana,1676020,168246,1209,1405944,270076,743023,662719,202,220900,1455120,,339,245075,589716,570758,1405944
08-04-2021,Telangana,1783117,203055,1380,1504570,278547,793811,710538,221,232662,1550455,,339,245353,648331,610489,1504570
09-04-2021,Telangana,1898182,204671,1352,1611380,286802,849966,761168,246,243555,1654627,,339,247132,712951,650897,1611380
10-04-2021,Telangana,2059925,191175,1286,1763427,296498,936035,827126,266,248890,1811035,,341,259197,806404,697424,1763427
11-04-2021,Telangana,2161186,187310,1252,1861282,299904,989927,871070,285,251212,1909974,,344,266656,865782,728436,1861282
12-04-2021,Telangana,2292040,202400,1337,1982573,309467,1059265,923010,298,257338,2034702,,351,277167,936417,768561,1982573
13-04-2021,Telangana,2318151,172425,1190,2006982,311169,1073604,933078,300,258492,2059659,,353,278801,952041,775705,2006982
14-04-2021,Telangana,2452611,201865,1299,2129490,323121,1132706,996466,318,267499,2185112,,353,283574,1021556,823906,2129490
15-04-2021,Telangana,2621835,202175,1338,2283343,338492,1206760,1076217,366,301224,2320611,,353,289657,1108497,884712,2283343
16-04-2021,Telangana,2802063,224375,1470,2447626,354437,1287765,1159471,390,405112,2396951,,356,296167,1204245,946717,2447626
17-04-2021,Telangana,2952245,208595,1370,2584964,367281,1356334,1228196,434,499940,2452305,,363,302095,1288120,994240,2584964
18-04-2021,Telangana,2960202,92975,675,2591096,369106,1359441,1231219,436,504773,2455429,,363,302297,1292208,996080,2591096
19-04-2021,Telangana,3132540,206150,1415,2742005,390535,1430494,1311035,476,518477,2614063,,365,306160,1381368,1053965,2742005
20-04-2021,Telangana,3272099,204300,1305,2861258,410841,1489601,1371160,497,539310,2732789,,366,310623,1453956,1096166,2861258
21-04-2021,Telangana,3394643,198015,1380,2965467,429176,1542539,1422408,520,551525,2843118,,366,314138,1519029,1131784,2965467
22-04-2021,Telangana,3604586,232855,1474,3148315,456271,1628321,1519396,598,561611,3042975,,367,319153,1629612,1199028,3148315
23-04-2021,Telangana,3811861,214731,1450,3332501,479360,1716318,1615538,645,571385,3240476,,367,325257,1744777,1261930,3332501
24-04-2021,Telangana,4003828,199705,1389,3500047,503781,1797477,1701884,686,580553,3423275,,367,331163,1853286,1315047,3500047
25-04-2021,Telangana,4071469,135990,977,3559142,512327,1826899,1731547,696,582589,3488880,,369,333142,1893504,1331943,3559142
26-04-2021,Telangana,4286975,203525,1418,3744656,542319,1914027,1829888,741,589584,3697391,,369,338254,2011580,1394261,3744656
27-04-2021,Telangana,4400003,161530,1166,3837190,562813,1960354,1876080,756,598594,3801409,,370,431082,1983240,1422302,3837190
28-04-2021,Telangana,4542064,175095,1271,3955399,586665,2017093,1937531,775,605152,3936912,,370,436534,2059973,1458318,3955399
29-04-2021,Telangana,4612780,150530,1114,4010610,602170,2043985,1965840,785,612321,4000459,,370,439001,2096390,1474714,4010610
30-04-2021,Telangana,4780184,173565,1240,4151762,628422,2113252,2037704,806,617745,4162439,,370,446819,2189913,1514512,4151762
01-05-2021,Telangana,4787544,79790,645,4157933,629611,2116446,2040680,807,618505,4169039,,370,447462,2193871,1516082,4157933
02-05-2021,Telangana,4787811,45725,405,4158090,629721,2116527,2040756,807,618541,4169270,,370,445480,2196001,1516126,4158090
03-05-2021,Telangana,4815920,123530,918,4178677,637243,2126844,2051023,810,618758,4197162,,370,445996,2210501,1521696,4178677
04-05-2021,Telangana,4881513,138750,1111,4227755,653758,2151299,2075608,848,619907,4261606,,370,446894,2244903,1535444,4227755
05-05-2021,Telangana,4960587,145750,1154,4275187,685400,2174836,2099486,865,622789,4337798,,370,447883,2277994,1548794,4275187
06-05-2021,Telangana,5042065,156760,1154,4325903,716162,2199976,2125049,878,625096,4416969,,370,448559,2313366,1563462,4325903
07-05-2021,Telangana,5122572,136425,1056,4376415,746157,2225004,2150520,891,626360,4496212,,371,449240,2348917,1577742,4376415
08-05-2021,Telangana,5202960,137050,1124,4388638,814322,2231492,2156251,895,635641,4567319,,372,449701,2355564,1582854,4388638
09-05-2021,Telangana,5205226,21160,144,4389592,815634,2232019,2156678,895,636355,4568871,,372,449810,2356121,1583142,4389592
10-05-2021,Telangana,5313900,145950,1112,4406542,907358,2240697,2164944,901,657177,4656723,,373,450634,2364922,1590381,4406542
