Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Tripura,219327,55150,320,162040,57287,97394,64636,10,0,219327,,47,52713,76057,33213,162040
17-03-2021,Tripura,228934,36000,168,170793,58141,101864,68918,11,0,228934,,47,52885,80993,36857,170793
18-03-2021,Tripura,256216,87500,515,194882,61334,114419,80450,13,0,256216,,47,53683,93698,47440,194882
19-03-2021,Tripura,287711,92350,556,223573,64138,128876,94683,14,0,287711,,47,54406,109029,60076,223573
20-03-2021,Tripura,313388,86100,523,247875,65513,140901,106959,15,0,313388,,47,54866,123057,69890,247875
21-03-2021,Tripura,323586,22500,159,257944,65642,145764,112160,20,0,323586,,47,54922,129139,73821,257944
22-03-2021,Tripura,355556,105350,638,287869,67687,160932,126910,27,0,355556,,48,55472,145544,86790,287869
23-03-2021,Tripura,407572,106350,642,337930,69642,185645,152255,30,0,407572,,48,56106,174672,107087,337930
24-03-2021,Tripura,467382,126600,824,396634,70748,214495,182103,36,0,467382,,50,56529,209342,130698,396634
25-03-2021,Tripura,531721,125000,827,459726,71995,245575,214104,47,0,531721,,50,57028,247391,155240,459726
26-03-2021,Tripura,599228,124750,824,526236,72992,278872,247306,58,0,599228,,50,57627,289145,179397,526236
27-03-2021,Tripura,624648,80350,520,551306,73342,291193,260052,61,0,624648,,50,57894,304468,188874,551306
28-03-2021,Tripura,632439,27200,206,559037,73402,295141,263835,61,0,632439,,50,57938,309531,191497,559037
29-03-2021,Tripura,633966,52001,244,560561,73405,295934,264566,61,0,633966,,50,57951,310457,192082,560561
30-03-2021,Tripura,660734,90050,500,585980,74754,308205,277709,66,0,660734,,53,58360,326038,201511,585980
31-03-2021,Tripura,673612,58450,282,597956,75656,313908,283978,70,0,673612,,53,58619,333386,205880,597956
01-04-2021,Tripura,689959,88350,469,613140,76819,321256,291811,73,0,689959,,54,58948,343362,210758,613140
02-04-2021,Tripura,702866,51500,223,625172,77694,326971,298128,73,0,702866,,55,59198,351308,214593,625172
03-04-2021,Tripura,714805,70450,380,635930,78875,332179,303675,76,0,714805,,57,59373,358313,218169,635930
04-04-2021,Tripura,725171,39600,193,645348,79823,336636,308636,76,0,725171,,57,59443,364452,221378,645348
05-04-2021,Tripura,739873,105000,622,657921,81952,342733,315112,76,0,739873,,57,59459,372818,225569,657921
06-04-2021,Tripura,751713,73950,404,668678,83035,347782,320818,78,0,751713,,57,59468,380186,228949,668678
07-04-2021,Tripura,764951,67600,421,680375,84576,353604,326691,80,0,764951,,57,59499,388428,232374,680375
08-04-2021,Tripura,785418,101050,633,698009,87409,362436,335490,83,0,785418,,58,59540,400789,237607,698009
09-04-2021,Tripura,802740,105200,714,712932,89808,370179,342668,85,0,802740,,60,59866,411073,241919,712932
10-04-2021,Tripura,812195,98680,631,720930,91265,374184,346660,86,0,812195,,60,59976,416661,244219,720930
11-04-2021,Tripura,819047,98600,672,727172,91875,377253,349831,88,0,819047,,60,59993,420990,246115,727172
12-04-2021,Tripura,832810,111300,747,737653,95157,382569,354995,89,0,832810,,60,60090,428018,249471,737653
13-04-2021,Tripura,842326,110100,716,744903,97423,386463,358350,90,0,842326,,61,60427,432699,251703,744903
14-04-2021,Tripura,845145,99950,663,746994,98151,387678,359224,92,0,845145,,61,60510,434075,252335,746994
15-04-2021,Tripura,845297,83200,560,747073,98224,387708,359273,92,0,845297,,61,60491,434148,252360,747073
16-04-2021,Tripura,862461,110400,692,756408,106053,392541,363774,93,0,862461,,61,60799,440348,255187,756408
17-04-2021,Tripura,880184,104050,668,766208,113976,397569,368543,96,0,880184,,61,60971,446976,258189,766208
18-04-2021,Tripura,886066,95150,634,769465,116601,399276,370092,97,0,886066,,61,61127,449160,259106,769465
19-04-2021,Tripura,910220,106250,708,780166,130054,404612,375457,97,0,910220,,61,61252,455990,262853,780166
20-04-2021,Tripura,933793,122250,846,790891,142902,410196,380597,98,0,933793,,61,61451,463095,266275,790891
21-04-2021,Tripura,941554,118900,834,794856,146698,412103,382654,99,0,941554,,61,61498,465745,267543,794856
22-04-2021,Tripura,953497,118250,833,799703,153794,414550,385054,99,0,953497,,61,61547,469080,269006,799703
23-04-2021,Tripura,984781,105710,700,811199,173582,420260,390839,100,0,984781,,60,61864,476714,272549,811199
24-04-2021,Tripura,1011821,98350,638,820575,191246,424969,395505,101,0,1011821,,60,62079,482989,275433,820575
25-04-2021,Tripura,1020894,67900,386,824638,196256,427061,397476,101,0,1020894,,60,62134,485702,276726,824638
26-04-2021,Tripura,1066507,120400,795,840232,226275,434799,405329,104,0,1066507,,60,62357,496024,281773,840232
27-04-2021,Tripura,1113260,119150,776,856586,256674,442987,413487,112,0,1113260,,60,87200,482155,287152,856586
28-04-2021,Tripura,1139662,91700,559,866008,273654,447587,418308,113,0,1139662,,60,87508,488175,290243,866008
29-04-2021,Tripura,1189803,114902,745,882252,307551,455623,426509,120,0,1189803,,60,88046,498659,295485,882252
30-04-2021,Tripura,1236761,113300,752,898611,338150,463784,434704,123,0,1236761,,60,88675,509441,300425,898611
01-05-2021,Tripura,1261570,100350,607,907499,354071,468419,438956,124,0,1261570,,60,89531,514832,303066,907499
02-05-2021,Tripura,1267044,31100,234,909670,357374,469535,440011,124,0,1267044,,60,88865,516981,303765,909670
03-05-2021,Tripura,1284939,108700,677,915489,369450,472488,442876,125,0,1284939,,60,89535,520404,305491,915489
04-05-2021,Tripura,1307268,97700,541,921704,385564,475575,446003,126,0,1307268,,60,89903,524284,307458,921704
05-05-2021,Tripura,1328697,97700,633,927468,401229,478275,449067,126,76,1328621,,61,90281,527709,309419,927468
06-05-2021,Tripura,1362400,115480,702,936213,426187,482486,453600,127,76,1362324,,61,90689,533009,312456,936213
07-05-2021,Tripura,1396362,123560,782,946489,449873,487450,458909,130,82,1396280,,61,91185,539388,315857,946489
08-05-2021,Tripura,1418622,115060,711,952947,465675,490520,462297,130,86,1418536,,61,91359,543526,318003,952947
09-05-2021,Tripura,1421511,48150,342,953744,467767,490856,462758,130,86,1421425,,61,91384,544048,318253,953744
10-05-2021,Tripura,1446246,111850,678,960991,485255,494279,466581,131,86,1446160,,61,91614,548665,320652,960991
11-05-2021,Tripura,1465368,125500,796,966997,498371,497276,469590,131,86,1465282,,61,91894,552476,322564,966997
12-05-2021,Tripura,1469744,63150,407,968790,500954,498240,470419,131,86,1469658,,61,92176,553541,323009,968790
13-05-2021,Tripura,1479866,84720,524,974828,505038,502021,472676,131,1348,1478518,,61,95400,555341,324023,974828
14-05-2021,Tripura,1486004,56680,390,980319,505685,505336,474851,132,5912,1480092,,61,100316,555753,324186,980319
15-05-2021,Tripura,1492191,88270,554,985530,506661,508554,476843,133,9235,1482956,,62,104645,556411,324410,985530
16-05-2021,Tripura,1492618,9700,67,985851,506767,508754,476964,133,9235,1483383,,62,104672,556666,324449,985851
17-05-2021,Tripura,1501848,33820,201,995017,506831,513761,481121,135,10568,1491280,,62,112983,557297,324672,995017
18-05-2021,Tripura,1512008,29331,152,1005122,506886,519420,485566,136,11924,1500084,,62,122118,557942,324919,1005122
19-05-2021,Tripura,1520712,21080,117,1013813,506899,524086,489591,136,13120,1507592,,62,130102,558393,325027,1013813
20-05-2021,Tripura,1527785,23740,143,1020857,506928,527829,492891,137,13707,1514078,,62,136357,558882,325178,1020857
21-05-2021,Tripura,1535201,36576,214,1028248,506953,531827,496281,140,14193,1521008,0,62,143030,559319,325311,1028248
22-05-2021,Tripura,1551547,90170,417,1044552,506995,540443,503966,143,14835,1536712,0,62,150597,567639,325649,1044552
23-05-2021,Tripura,1554305,22501,116,1047296,507009,542010,505141,145,15034,1539271,0,62,151241,569576,325812,1047296
24-05-2021,Tripura,1560657,66421,453,1053532,507125,545333,508050,149,15078,1545579,0,62,151845,573761,327249,1053532
25-05-2021,Tripura,1566075,71803,493,1058833,507242,548089,510592,152,15088,1550987,0,62,152330,577461,328358,1058833
26-05-2021,Tripura,1568298,40710,244,1060986,507312,549300,511534,152,15088,1553210,0,62,152744,578762,328795,1060986
27-05-2021,Tripura,1571247,63190,375,1063835,507412,550899,512784,152,15095,1556152,0,62,153215,580613,329319,1063835
28-05-2021,Tripura,1574603,53272,313,1067114,507489,552607,514355,152,15099,1559504,0,63,153421,582848,330157,1067114
29-05-2021,Tripura,1588209,122014,350,1080636,507573,560198,520286,152,15099,1573110,0,63,154852,594067,331028,1080636
30-05-2021,Tripura,1602077,90270,126,1094499,507578,567255,527090,154,15099,1586978,0,63,156564,606134,331112,1094499
31-05-2021,Tripura,1610784,63010,208,1103113,507671,571702,531256,155,15121,1595663,0,63,158800,610069,333552,1103113
01-06-2021,Tripura,1615053,50870,195,1107337,507716,574126,533054,157,15121,1599932,0,63,160635,611624,334385,1107337
02-06-2021,Tripura,1618490,28570,100,1110714,507776,575959,534597,158,15121,1603369,0,63,161707,613587,334727,1110714
03-06-2021,Tripura,1624620,46930,186,1116768,507852,578973,537636,159,15121,1609499,0,63,162847,617786,335442,1116768
04-06-2021,Tripura,1631384,53261,201,1123405,507979,582243,540999,163,15121,1616263,0,63,163632,622825,336252,1123405
05-06-2021,Tripura,1635643,58390,231,1127599,508044,584401,543035,163,15121,1620522,0,63,164124,626181,336598,1127599
06-06-2021,Tripura,1636673,20740,60,1128612,508061,584922,543527,163,15121,1621552,0,63,164149,627132,336635,1128612
07-06-2021,Tripura,1640638,53540,221,1132397,508241,586822,545412,163,15121,1625517,0,63,164464,630231,337006,1132397
08-06-2021,Tripura,1644382,62480,249,1135952,508430,588691,547098,163,15145,1629237,0,63,164738,633127,337391,1135952
09-06-2021,Tripura,1646329,47810,159,1137795,508534,589657,547975,163,15145,1631184,0,63,164843,634631,337625,1137795
10-06-2021,Tripura,1649999,76680,285,1141134,508865,591331,549640,163,15143,1634856,0,63,165017,637465,337956,1141134
11-06-2021,Tripura,1652388,65380,229,1143222,509166,592393,550666,163,15139,1637249,0,63,165141,639070,338315,1143222
12-06-2021,Tripura,1659919,68150,216,1147382,512537,594517,552700,165,17837,1642082,0,63,167474,640529,338683,1147382
13-06-2021,Tripura,1661096,40730,84,1148442,512654,595081,553196,165,17833,1643263,0,63,167545,641326,338875,1148442
14-06-2021,Tripura,1681689,155437,406,1164688,517001,604236,560283,169,20538,1661151,0,63,181038,643504,339441,1164688
15-06-2021,Tripura,1706142,182673,430,1185855,520287,615844,569839,172,21506,1684636,0,63,199044,645964,340134,1185855
16-06-2021,Tripura,1736324,156174,300,1213866,522458,630861,582831,174,22218,1714106,0,63,224877,647738,340522,1213866
17-06-2021,Tripura,1791260,224427,548,1264502,526758,656428,607896,178,23275,1767985,0,63,272848,649842,341051,1264502
18-06-2021,Tripura,1860877,240339,542,1328982,531895,688859,639937,186,23886,1836991,0,63,334209,652289,341697,1328982
19-06-2021,Tripura,1920866,229029,528,1383797,537069,717002,666598,197,24443,1896423,0,63,385968,654571,342462,1383797
20-06-2021,Tripura,1942706,287354,314,1403613,539093,727282,676133,198,24443,1918263,0,63,404567,655468,342780,1403613
21-06-2021,Tripura,2093251,724868,1004,1549142,544109,800622,748286,234,25065,2068186,0,63,546374,658367,343559,1549142
22-06-2021,Tripura,2285345,699868,1008,1733843,551502,892908,840671,264,25841,2259504,0,63,725176,663064,344700,1733843
23-06-2021,Tripura,2344975,276740,388,1788351,556624,921066,867009,276,30419,2314556,0,63,776536,665501,345395,1788351
24-06-2021,Tripura,2396775,285635,590,1834177,562598,944139,889753,285,31927,2364848,0,63,818214,668680,346352,1834177
25-06-2021,Tripura,2428555,187282,436,1861984,566571,1251081,1177130,344,33289,2395266,0,63,916536,973302,538717,1861984
26-06-2021,Tripura,2467674,262948,397,1894007,573667,1270345,1196981,348,34679,2432995,0,64,946827,979558,541289,1894007
27-06-2021,Tripura,2474475,111921,171,1899573,574902,1273862,1200265,348,34899,2439576,0,64,951778,980865,541832,1899573
28-06-2021,Tripura,2510943,251266,471,1926146,584797,1291286,1219305,352,35973,2474970,0,64,975958,989428,545557,1926146
29-06-2021,Tripura,2536995,186350,439,1946066,590929,1304355,1232287,353,37025,2499970,0,64,994257,994846,547892,1946066
30-06-2021,Tripura,2550343,80909,225,1955929,594414,1311059,1238931,353,39582,2510761,0,64,1003509,997588,549246,1955929
01-07-2021,Tripura,2568901,200556,467,1969442,599459,1320377,1248169,355,41751,2527150,0,64,1015841,1002106,550954,1969442
02-07-2021,Tripura,2595949,227050,494,1987663,608286,1334100,1261494,355,42032,2553917,0,64,1032175,1009831,553943,1987663
03-07-2021,Tripura,2613487,200346,407,1998901,614586,1342975,1270157,355,42442,2571045,0,65,1042204,1015167,556116,1998901
04-07-2021,Tripura,2615391,13838,40,2000280,615111,1343954,1271081,356,42442,2572949,0,65,1043418,1015645,556328,2000280
05-07-2021,Tripura,2630048,134211,345,2009213,620835,1351096,1278594,358,43065,2586983,0,65,1051230,1020528,558290,2009213
06-07-2021,Tripura,2642602,150142,380,2017943,624659,1357365,1284879,358,43387,2599215,0,66,1058961,1024037,559604,2017943
