Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Uttar Pradesh,3188522,489856,3027,2456849,731673,1432819,1023810,220,362797,2825725,,989,784171,876701,793270,2456849
17-03-2021,Uttar Pradesh,3464388,331177,1951,2723448,740940,1584905,1138257,286,376630,3087758,,993,790999,934521,995192,2723448
18-03-2021,Uttar Pradesh,3881080,785758,4996,3034854,846226,1771561,1262978,315,418999,3462081,,1002,813451,1030558,1188068,3034854
19-03-2021,Uttar Pradesh,4231527,750573,4881,3348666,882861,1950313,1397998,355,441139,3790388,,1007,828022,1123666,1394172,3348666
20-03-2021,Uttar Pradesh,4390444,337792,1918,3497298,893146,2035408,1461513,377,452418,3938026,,1013,836176,1171556,1486738,3497298
21-03-2021,Uttar Pradesh,4416844,48960,406,3522238,894606,2049491,1472366,381,454527,3962317,,1017,838089,1180626,1500686,3522238
22-03-2021,Uttar Pradesh,4749723,801988,5260,3797621,952102,2207786,1589409,426,483124,4266599,,1021,852790,1259218,1682749,3797621
23-03-2021,Uttar Pradesh,4960199,364750,2186,3982323,977876,2314924,1666947,452,502614,4457585,,1024,863951,1316234,1799257,3982323
24-03-2021,Uttar Pradesh,5070493,346673,2025,4087684,982809,2376980,1710235,469,514209,4556284,,1026,869494,1350524,1864774,4087684
25-03-2021,Uttar Pradesh,5344537,765541,5086,4337751,1006786,2518497,1818750,504,538954,4805583,,1034,880051,1429994,2024781,4337751
26-03-2021,Uttar Pradesh,5563645,742641,4964,4549205,1014440,2634688,1913991,526,558041,5005604,,1036,886533,1498259,2161459,4549205
27-03-2021,Uttar Pradesh,5644759,336472,2067,4627476,1017283,2678999,1947941,536,567886,5076873,,1037,890025,1525091,2209399,4627476
28-03-2021,Uttar Pradesh,5648595,31485,285,4631003,1017592,2680872,1949592,539,568460,5080135,,1037,890464,1526048,2211530,4631003
29-03-2021,Uttar Pradesh,5648658,19465,152,4631064,1017594,2680908,1949617,539,568460,5080198,,1037,890462,1526062,2211578,4631064
30-03-2021,Uttar Pradesh,5677982,177617,1087,4659569,1018413,2696915,1962110,544,572872,5105110,,1038,891701,1535511,2229391,4659569
31-03-2021,Uttar Pradesh,5747886,498385,2572,4726820,1021066,2734855,1991413,552,583666,5164220,,1039,894614,1557541,2271697,4726820
01-04-2021,Uttar Pradesh,5963390,924620,5648,4929565,1033825,2847676,2081317,572,616118,5347272,,1042,899022,1673323,2354238,4929565
02-04-2021,Uttar Pradesh,6335715,796583,5079,5281547,1054168,3038247,2242682,618,676291,5659424,,1047,905796,1885419,2487326,5281547
03-04-2021,Uttar Pradesh,6577701,766093,4723,5511428,1066273,3163765,2347011,652,710725,5866976,,1050,911302,2025760,2571352,5511428
04-04-2021,Uttar Pradesh,6737463,333989,2093,5663490,1073973,3245840,2416985,665,729257,6008206,,1053,915391,2120688,2624381,5663490
05-04-2021,Uttar Pradesh,7024060,1015222,6575,5917539,1106521,3382139,2534709,691,753963,6270097,,1054,915727,2271311,2727469,5917539
06-04-2021,Uttar Pradesh,7340259,991848,6399,6199023,1141236,3531382,2666896,745,780410,6559849,,1058,916089,2441437,2838463,6199023
07-04-2021,Uttar Pradesh,7791657,841201,5232,6619721,1171936,3756137,2862783,801,817628,6974029,,1063,916674,2703621,2996384,6619721
08-04-2021,Uttar Pradesh,8143966,1021432,6571,6950868,1193098,3932633,3017373,862,846469,7297497,,1065,916930,2909878,3121014,6950868
09-04-2021,Uttar Pradesh,8396201,926557,6016,7169348,1226853,4049576,3118869,903,870313,7525888,,1068,918133,3045583,3202585,7169348
10-04-2021,Uttar Pradesh,8493841,620384,3911,7255753,1238088,4096709,3158131,913,883832,7610009,,1069,918968,3103261,3230477,7255753
11-04-2021,Uttar Pradesh,8824093,1015818,6532,7558409,1265684,4255205,3302238,966,894285,7929808,,1076,920624,3299602,3335133,7558409
12-04-2021,Uttar Pradesh,9356612,1239796,7811,8013755,1342857,4497208,3515475,1072,907334,8449278,,1081,923650,3576567,3510485,8013755
13-04-2021,Uttar Pradesh,9718148,1177353,7381,8329706,1388442,4677156,3651403,1147,916001,8802147,,1087,926513,3770670,3629464,8329706
14-04-2021,Uttar Pradesh,10027627,1144026,7425,8605823,1421804,4826390,3778235,1198,924425,9103202,,1093,928615,3945485,3728661,8605823
15-04-2021,Uttar Pradesh,10272414,1039788,6861,8790085,1482329,4930473,3858375,1237,933198,9339216,,1096,930976,4058247,3797801,8790085
16-04-2021,Uttar Pradesh,10538062,1008852,6563,8978071,1559991,5036285,3940518,1268,953649,9584413,,1099,933617,4172669,3868724,8978071
17-04-2021,Uttar Pradesh,10712197,881781,5704,9102301,1609896,5108217,3992782,1302,974094,9738103,,1106,935863,4250685,3912686,9102301
18-04-2021,Uttar Pradesh,10718349,481042,3323,9106335,1612014,5110551,3994481,1303,975462,9742887,,1106,935869,4253234,3914165,9106335
19-04-2021,Uttar Pradesh,10909053,927982,6132,9224739,1684314,5180547,4042875,1317,996628,9912425,,1109,937806,4323149,3960712,9224739
20-04-2021,Uttar Pradesh,11120514,953112,6360,9356225,1764289,5259926,4094964,1335,1018393,10102121,,1111,940405,4401019,4011732,9356225
21-04-2021,Uttar Pradesh,11259040,983007,6507,9449601,1809439,5313227,4134975,1399,1032111,10226929,,1112,941990,4459969,4044567,9449601
22-04-2021,Uttar Pradesh,11440742,1017018,6841,9563554,1877188,5377729,4184398,1427,1065189,10375553,,1113,944193,4530141,4086144,9563554
23-04-2021,Uttar Pradesh,11623304,928524,6183,9679629,1943675,5443500,4234615,1514,1095389,10527915,,1112,946539,4603057,4126955,9679629
24-04-2021,Uttar Pradesh,11776922,856799,5416,9779700,1997222,5500723,4277413,1564,1114240,10662682,,1112,948902,4669674,4158041,9779700
25-04-2021,Uttar Pradesh,11783929,114165,776,9783480,2000449,5502900,4279015,1565,1114989,10668940,,1112,949144,4671843,4159410,9783480
26-04-2021,Uttar Pradesh,11947377,900143,5822,9883742,2063635,5559233,4322917,1592,1134086,10813291,,1113,951532,4735193,4193919,9883742
27-04-2021,Uttar Pradesh,12061238,874081,5674,9953817,2107421,5598797,4353410,1610,1153996,10907242,,1115,1212247,4521122,4217344,9953817
28-04-2021,Uttar Pradesh,12169041,869712,5519,10018842,2150199,5635333,4381884,1625,1174101,10994940,,1118,1214542,4562511,4238680,10018842
29-04-2021,Uttar Pradesh,12353995,965605,6330,10125866,2228129,5695500,4428709,1657,1196960,11157035,,1120,1217554,4630721,4274674,10125866
30-04-2021,Uttar Pradesh,12557806,994322,6482,10240750,2317056,5759852,4479210,1688,1230635,11327171,,1121,1221985,4703223,4312603,10240750
01-05-2021,Uttar Pradesh,12700692,893296,5679,10331285,2369407,5813773,4515800,1712,1271629,11429063,,1121,1241607,4753289,4333447,10331285
02-05-2021,Uttar Pradesh,12705437,153652,1084,10334346,2371091,5815570,4517064,1712,1272354,11433083,,1121,1234550,4762436,4334546,10334346
03-05-2021,Uttar Pradesh,12884995,978835,6316,10439785,2445210,5876658,4561356,1771,1316011,11568984,,1124,1256071,4819934,4360964,10439785
04-05-2021,Uttar Pradesh,13062635,998553,6379,10544891,2517744,5937921,4605162,1808,1357973,11704662,,1124,1278459,4877400,4386194,10544891
05-05-2021,Uttar Pradesh,13228006,933296,5826,10642247,2585759,5994986,4645434,1827,1398479,11829527,,1124,1300823,4929744,4408839,10642247
06-05-2021,Uttar Pradesh,13402535,881732,5837,10742503,2660032,6054233,4686425,1845,1441050,11961485,,1128,1323026,4983023,4433609,10742503
07-05-2021,Uttar Pradesh,13559957,927554,6023,10833025,2726932,6107405,4723751,1869,1479703,12080254,,1129,1343866,5031020,4455292,10833025
08-05-2021,Uttar Pradesh,13694748,844661,5387,10914754,2779994,6154586,4758280,1888,1515553,12179195,,1129,1364744,5073975,4473182,10914754
09-05-2021,Uttar Pradesh,13697577,374375,2644,10916895,2780682,6155890,4759115,1890,1516757,12180820,,1129,1365103,5075349,4473590,10916895
10-05-2021,Uttar Pradesh,13881053,881462,5983,11025900,2855153,6220403,4803566,1931,1546417,12334636,,1131,1416849,5113130,4492958,11025900
11-05-2021,Uttar Pradesh,14073046,966667,6569,11141255,2931791,6287885,4851408,1962,1571848,12501198,,1134,1469442,5156017,4512722,11141255
12-05-2021,Uttar Pradesh,14300912,917620,6371,11291626,3009286,6374550,4915068,2008,1601801,12699111,,1135,1522216,5222458,4543759,11291626
13-05-2021,Uttar Pradesh,14581474,932872,6433,11465614,3115860,6476440,4987124,2050,1643608,12937866,,1138,1577130,5303701,4581443,11465614
14-05-2021,Uttar Pradesh,14771189,964989,6586,11590929,3180260,6548660,5040182,2087,1678012,13093177,,1142,1630443,5354834,4602188,11590929
15-05-2021,Uttar Pradesh,14983606,951475,6405,11723371,3260235,6625417,5095812,2142,1711653,13271953,,1144,1682810,5411510,4625425,11723371
16-05-2021,Uttar Pradesh,14984918,110130,795,11724458,3260460,6626107,5096208,2143,1711947,13272971,,1144,1683303,5411935,4625587,11724458
17-05-2021,Uttar Pradesh,15222236,1174058,6479,11943385,3278851,6754499,5186665,2221,1752442,13469794,,1145,1799174,5486849,4653529,11943385
18-05-2021,Uttar Pradesh,15436461,1181702,6607,12144409,3292052,6872146,5269970,2293,1783566,13652895,,1148,1914024,5549792,4676599,12144409
19-05-2021,Uttar Pradesh,15621166,958776,5456,12319537,3301629,6975620,5341562,2355,1809189,13811977,,1150,2024961,5596533,4693926,12319537
20-05-2021,Uttar Pradesh,15815757,1016127,5802,12501172,3314585,7082792,5415953,2427,1838566,13977191,,1158,2133764,5649643,4713501,12501172
21-05-2021,Uttar Pradesh,16034048,1102930,6260,12704166,3329882,7201633,5500032,2501,1873025,14161023,0,1162,2245271,5716279,4738189,12704166
22-05-2021,Uttar Pradesh,16250118,1091012,5998,12905372,3344746,7319575,5583222,2575,1906300,14343818,0,1164,2355708,5781756,4763364,12905372
23-05-2021,Uttar Pradesh,16257569,119431,764,12912199,3345370,7323562,5586060,2577,1907425,14350144,0,1165,2358678,5784416,4764541,12912199
24-05-2021,Uttar Pradesh,16545766,1204313,6299,13182141,3363625,7481900,5697573,2668,1934361,14611405,0,1171,2507051,5871706,4798658,13182141
25-05-2021,Uttar Pradesh,16819746,1179737,6192,13439732,3380014,7632152,5804799,2781,1957341,14862405,0,1173,2658653,5947702,4828525,13439732
26-05-2021,Uttar Pradesh,17077311,1108294,5632,13683971,3393340,7774770,5906320,2881,1977487,15099824,0,1177,2813929,6011459,4853570,13683971
27-05-2021,Uttar Pradesh,17358612,1134930,5701,13951426,3407186,7931523,6016874,3029,1997997,15360615,0,1179,2972597,6089349,4884319,13951426
28-05-2021,Uttar Pradesh,17668206,1162678,5852,14243858,3424348,8102589,6138104,3165,2021584,15646622,0,1179,3129312,6186696,4922528,14243858
29-05-2021,Uttar Pradesh,17994300,1108562,5433,14544503,3449797,8279433,6261789,3281,2054347,15939953,0,1181,3290729,6286269,4961992,14544503
30-05-2021,Uttar Pradesh,18010911,125603,656,14560582,3450329,8288250,6269049,3283,2055533,15955378,0,1181,3296049,6293411,4965579,14560582
31-05-2021,Uttar Pradesh,18335009,1036451,5300,14854570,3480439,8457244,6393940,3386,2094524,16240485,0,1181,3423859,6410999,5013947,14854570
01-06-2021,Uttar Pradesh,18685319,1094807,5791,15179836,3505483,8651298,6525022,3516,2131224,16554095,0,1187,3605445,6512865,5055603,15179836
02-06-2021,Uttar Pradesh,19045624,1106072,5775,15512608,3533016,8849033,6659926,3649,2175806,16869818,0,1191,3795181,6614916,5096413,15512608
03-06-2021,Uttar Pradesh,19436908,1180457,6033,15875135,3561773,9064437,6806907,3791,2225958,17210950,0,1197,3987739,6734712,5146396,15875135
04-06-2021,Uttar Pradesh,19850174,1226617,6184,16254617,3595557,9288158,6962496,3963,2277630,17572544,0,1199,4181737,6865588,5200744,16254617
05-06-2021,Uttar Pradesh,20252136,1173348,5919,16624925,3627211,9506659,7114170,4096,2328265,17923871,0,1203,4374801,6991866,5251472,16624925
06-06-2021,Uttar Pradesh,20272802,127375,372,16643702,3629100,9517213,7122391,4098,2330233,17942569,0,1203,4385040,6997573,5254215,16643702
07-06-2021,Uttar Pradesh,20735794,1286409,6626,17079924,3655870,9770940,7304716,4268,2403994,18331800,0,1205,4618418,7140860,5313534,17079924
08-06-2021,Uttar Pradesh,21181060,1260031,6538,17502314,3678746,10017033,7480850,4431,2482109,18698951,0,1208,4850991,7274757,5369225,17502314
09-06-2021,Uttar Pradesh,21584490,1206576,6122,17883157,3701333,10241944,7636593,4620,2557097,19027393,0,1209,5068887,7389580,5417108,17883157
10-06-2021,Uttar Pradesh,22025903,1303707,6507,18297125,3728778,10486507,7805825,4793,2631087,19394816,0,1217,5282718,7528842,5477771,18297125
11-06-2021,Uttar Pradesh,22504047,1317229,6558,18741039,3763008,10745878,7990211,4950,2711461,19792586,0,1218,5513053,7678414,5541566,18741039
12-06-2021,Uttar Pradesh,22979323,1314990,6286,19184501,3794822,11008238,8171136,5127,2788863,20190460,0,1218,5751293,7824429,5600529,19184501
13-06-2021,Uttar Pradesh,23001682,83547,233,19205507,3796175,11020423,8179949,5135,2790299,20211383,0,1218,5762647,7830971,5603586,19205507
14-06-2021,Uttar Pradesh,23445493,1298345,6667,19608395,3837098,11253732,8349395,5268,2868862,20576631,0,1230,5957638,7975723,5666569,19608395
15-06-2021,Uttar Pradesh,23871523,1279060,6652,19995723,3875800,11477660,8512653,5410,2949887,20921636,0,1231,6147190,8114771,5725121,19995723
16-06-2021,Uttar Pradesh,24254164,1192646,6183,20343637,3910527,11680599,8657504,5534,3022768,21231396,0,1240,6333886,8227524,5773398,20343637
17-06-2021,Uttar Pradesh,24673597,1285674,6537,20725526,3948071,11910176,8809681,5669,3090462,21583135,0,1240,6560825,8335081,5820639,20725526
18-06-2021,Uttar Pradesh,25149677,1351827,6605,21162728,3986949,12171567,8985343,5818,3142293,22007384,0,1242,6805952,8468612,5878958,21162728
19-06-2021,Uttar Pradesh,25610808,1333665,6372,21587631,4023177,12430468,9151204,5959,3193148,22417660,0,1264,7065962,8585050,5927195,21587631
20-06-2021,Uttar Pradesh,25627085,70336,217,21602698,4024387,12438499,9158238,5961,3194980,22432105,0,1264,7073629,8589826,5929795,21602698
21-06-2021,Uttar Pradesh,26359410,3009555,8496,22296504,4062906,12836202,9454074,6228,3230749,23128661,0,1271,7531675,8753113,6001893,22296504
22-06-2021,Uttar Pradesh,27232439,3196627,8510,23129586,4102853,13299545,9823589,6452,3268447,23963992,0,1273,8083787,8947983,6087677,23129586
23-06-2021,Uttar Pradesh,28060510,3145683,7915,23918186,4142324,13744007,10167502,6677,3320308,24740202,0,1273,8628938,9115423,6163351,23918186
24-06-2021,Uttar Pradesh,28976470,3302270,8290,24782239,4194231,14226770,10548614,6855,3381149,25595321,0,1290,9213328,9307171,6250925,24782239
25-06-2021,Uttar Pradesh,29857504,3458237,8424,25598956,4258548,17186133,12663779,7592,3446953,26410551,0,1305,10818593,11029239,8009672,25598956
26-06-2021,Uttar Pradesh,30451330,2868604,7489,26129782,4321548,17532228,12911302,7800,3516854,26934217,259,1329,11214061,11166504,8070765,26129782
27-06-2021,Uttar Pradesh,30479424,153364,234,26154179,4325245,17547679,12923942,7803,3520255,26958910,259,1329,11231466,11173466,8074492,26154179
28-06-2021,Uttar Pradesh,31002019,2420327,6437,26591964,4410055,17844625,13149395,7999,3568749,27433011,259,1346,11556194,11306374,8139451,26591964
29-06-2021,Uttar Pradesh,31209641,1643480,4427,26740850,4468791,17963272,13238302,8067,3616526,27592598,517,1346,11670292,11370492,8168857,26740850
30-06-2021,Uttar Pradesh,31281400,1192048,2930,26792784,4488616,18005374,13267937,8089,3647048,27633835,517,1360,11713082,11390782,8177536,26792784
