Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,Uttarakhand,398546,80120,439,300292,98254,168902,131362,28,0,398546,,236,108420,86666,105080,300292
17-03-2021,Uttarakhand,459272,62850,341,357365,101907,199594,157732,39,0,459272,,237,109421,91883,155928,357365
18-03-2021,Uttarakhand,491749,87320,455,385031,106718,213944,171044,43,0,491749,,237,110941,94726,179230,385031
19-03-2021,Uttarakhand,523715,92560,480,413175,110540,228398,184729,48,0,523715,,239,112640,97745,202655,413175
20-03-2021,Uttarakhand,542470,65950,313,429295,113175,236823,192423,49,0,542470,,241,113870,99997,215288,429295
21-03-2021,Uttarakhand,545854,15850,69,432481,113373,238519,193912,50,0,545854,,242,114177,100629,217531,432481
22-03-2021,Uttarakhand,575163,90950,487,458968,116195,251825,207091,52,0,575163,,243,115105,103210,240508,458968
23-03-2021,Uttarakhand,604131,93200,492,485452,118679,265140,220258,54,0,604131,,246,116178,106183,262939,485452
24-03-2021,Uttarakhand,623127,70600,388,502979,120148,274143,228778,58,0,623127,,246,116836,108226,277763,502979
25-03-2021,Uttarakhand,651083,97050,523,529381,121702,287634,241684,63,0,651083,,247,117672,111100,300454,529381
26-03-2021,Uttarakhand,677407,96650,525,554351,123056,300030,254258,63,0,677407,,249,118479,113895,321815,554351
27-03-2021,Uttarakhand,691740,61700,360,567912,123828,306948,260900,64,355,691385,,249,119145,115813,332791,567912
28-03-2021,Uttarakhand,692153,17030,85,568301,123852,307148,261089,64,355,691798,,249,119171,115913,333054,568301
29-03-2021,Uttarakhand,692153,17762,81,568301,123852,307148,261089,64,355,691798,,249,119171,115913,333054,568301
30-03-2021,Uttarakhand,709629,74710,422,583674,125955,315062,268546,66,355,709274,,249,119811,118218,345478,583674
31-03-2021,Uttarakhand,729248,79690,410,600464,128784,323648,276749,67,355,728893,,249,120637,120657,359002,600464
01-04-2021,Uttarakhand,766976,116670,565,635483,131493,340800,294615,68,407,766569,,249,121523,141452,372336,635483
02-04-2021,Uttarakhand,819787,104950,478,684342,135445,364780,319487,75,407,819380,,250,122857,173771,387541,684342
03-04-2021,Uttarakhand,864109,94900,455,724528,139581,384005,340446,77,407,863702,,254,123971,200392,399992,724528
04-04-2021,Uttarakhand,911431,83300,366,768440,142991,405763,362588,89,407,911024,,256,124753,231235,412279,768440
05-04-2021,Uttarakhand,963846,145120,678,816359,147487,427701,388567,91,407,963439,,260,124858,262203,429126,816359
06-04-2021,Uttarakhand,1010592,154760,724,859144,151448,446923,412126,95,407,1010185,,262,124908,290091,443972,859144
07-04-2021,Uttarakhand,1103202,136340,612,943113,160089,485930,457072,111,407,1102795,,264,125034,346048,471856,943113
08-04-2021,Uttarakhand,1183048,161827,735,1015354,167694,519086,496142,126,407,1182641,,266,125098,393660,496422,1015354
09-04-2021,Uttarakhand,1243903,156622,737,1070092,173811,545031,524925,136,407,1243496,,271,125419,429295,515200,1070092
10-04-2021,Uttarakhand,1284053,122500,517,1105047,179006,561620,543289,138,434,1283619,,272,125540,452743,526586,1105047
11-04-2021,Uttarakhand,1309345,97550,433,1127677,181668,572510,555026,141,434,1308911,,272,125545,468019,533933,1127677
12-04-2021,Uttarakhand,1362476,148660,673,1171473,191003,592678,578641,154,434,1362042,,273,125660,496352,549282,1171473
13-04-2021,Uttarakhand,1403514,156100,712,1205463,198051,609525,595778,160,434,1403080,,273,125827,518112,561345,1205463
