Updated On,State,TotalDosesAdministered,TotalSessionsConducted,TotalSites ,FirstDoseAdministered,SecondDoseAdministered,Male,Female,Transgender,Covaxin,CoviShield,SputnikV,AEFI,18_45_years,45_60_years,60_+_years,Total_Individuals_Vaccinated
16-03-2021,West Bengal,2818171,608310,2994,2400215,417956,1422806,977119,290,234263,2583908,,328,637601,876972,884944,2400215
17-03-2021,West Bengal,3121794,444160,2135,2688119,433675,1577709,1110077,333,254897,2866897,,341,645126,938148,1104140,2688119
18-03-2021,West Bengal,3260568,431000,2145,2808898,451670,1645672,1162885,341,264813,2995755,,349,653312,973162,1181717,2808898
19-03-2021,West Bengal,3561127,733370,3765,3086159,474968,1790533,1295254,372,281268,3279859,,374,662779,1052248,1370409,3086159
20-03-2021,West Bengal,3758013,466270,2372,3263416,494597,1882984,1380032,400,301990,3456023,,395,671633,1111828,1479223,3263416
21-03-2021,West Bengal,3791481,157450,759,3294084,497397,1898738,1394941,405,307460,3484021,,397,673305,1123335,1496711,3294084
22-03-2021,West Bengal,4029095,597271,3402,3505433,523662,2010192,1494805,436,333598,3695497,,400,682468,1183291,1638937,3505433
23-03-2021,West Bengal,4284851,466180,2652,3727569,557282,2126625,1600493,451,371779,3913072,,470,694023,1256628,1776170,3727569
24-03-2021,West Bengal,4428925,338660,1800,3850626,578299,2192309,1657860,457,396831,4032094,,496,701264,1298082,1850519,3850626
25-03-2021,West Bengal,4577280,367690,1996,3976580,600700,2261811,1714302,467,418638,4158642,,534,708631,1337743,1929437,3976580
26-03-2021,West Bengal,4883468,627390,3806,4261110,622358,2405782,1854839,489,446642,4436826,,565,716714,1437469,2106148,4261110
27-03-2021,West Bengal,5082386,484750,2899,4448531,633855,2499459,1948561,511,463250,4619136,,584,722285,1514568,2210891,4448531
28-03-2021,West Bengal,5087735,96180,533,4453685,634050,2502055,1951119,511,463391,4624344,,584,722454,1516801,2213643,4453685
29-03-2021,West Bengal,5110946,188205,1061,4475456,635490,2513314,1961626,516,467291,4643655,,602,723395,1525921,2225353,4475456
30-03-2021,West Bengal,5323718,650031,3453,4671332,652386,2613576,2057218,538,486308,4837410,,626,729498,1595242,2345801,4671332
31-03-2021,West Bengal,5467439,521560,2608,4798424,669015,2676605,2121264,555,502999,4964440,,672,733567,1646753,2417309,4798424
01-04-2021,West Bengal,5614451,527960,2701,4932709,681742,2742833,2189310,566,515820,5098631,,686,737390,1728144,2466374,4932709
02-04-2021,West Bengal,5796984,476940,2498,5103078,693906,2825920,2276577,581,530967,5266017,,701,741155,1837066,2524047,5103078
03-04-2021,West Bengal,5967900,564020,3077,5260046,707854,2902501,2356946,599,543432,5424468,,709,744699,1937086,2577444,5260046
04-04-2021,West Bengal,6148158,453950,2309,5427490,720668,2985675,2441198,617,556008,5592150,,737,747850,2051440,2627379,5427490
05-04-2021,West Bengal,6396475,831225,4350,5657151,739324,3097050,2559453,648,572148,5824327,,743,748892,2197559,2709880,5657151
06-04-2021,West Bengal,6639763,701330,3630,5881580,758183,3204767,2676149,664,589806,6049957,,749,749699,2345417,2785641,5881580
07-04-2021,West Bengal,7020613,534293,2733,6222811,797802,3370530,2851586,695,626747,6393866,,789,751226,2570448,2900312,6222811
08-04-2021,West Bengal,7311686,662418,3304,6465014,846672,3492756,2971542,716,663838,6647848,,828,753266,2730921,2980002,6465014
09-04-2021,West Bengal,7673269,764510,4195,6783892,889377,3647663,3135469,760,710993,6962276,,869,754956,2941770,3086335,6783892
10-04-2021,West Bengal,7891168,516270,2808,6972586,918582,3741766,3230032,788,753017,7138151,,908,756105,3069839,3145811,6972586
11-04-2021,West Bengal,7982276,607140,3113,7051017,931259,3782206,3268014,797,776483,7205793,,913,757054,3122325,3170808,7051017
12-04-2021,West Bengal,8224788,781951,4132,7241680,983108,3877922,3362932,826,835631,7389157,,932,759141,3245849,3235858,7241680
13-04-2021,West Bengal,8345059,567710,2976,7328009,1017050,3926414,3400769,826,872814,7472245,,946,761383,3301863,3263928,7328009
14-04-2021,West Bengal,8442892,494751,2493,7398413,1044479,3964545,3433037,831,896362,7546530,,956,763554,3348262,3285761,7398413
15-04-2021,West Bengal,8468805,647120,3331,7415379,1053426,3974353,3440191,835,903609,7565196,,959,764252,3359541,3290749,7415379
16-04-2021,West Bengal,8608782,615570,3320,7499090,1109692,4018864,3479382,844,930115,7678667,,968,766666,3412658,3318930,7499090
17-04-2021,West Bengal,8739716,366910,1943,7577053,1162663,4060679,3515521,853,953764,7785952,,976,768339,3463694,3344181,7577053
18-04-2021,West Bengal,8764150,489171,2889,7593056,1171094,4069772,3522428,856,960216,7803934,,979,768887,3474490,3348840,7593056
